metric,error_statistic,units,n,fluxv_old,fluxv_v4b,fluxv_v5a_proxy,v4b_over_old,v5a_over_v4b,conclusion
Yang lift,MAE,gf,6,6.854868776285728,4.554509816656029,3.951385437999497,0.6644196942780668,0.8675764455593263,v5a_improves_v4b
Yang drag,MAE,gf,6,12.921644405737517,2.643997473596851,2.062566960238017,0.2046177243836592,0.7800941494214572,v5a_improves_v4b
Figure 14 CT (14 markers),RMSE,1,14,0.05114662300705755,0.02594916701432961,0.09469550728255667,0.507348588991867,3.6492696366809794,v5a_regresses_vs_v4b
Figure 14 CT (12 conditions),RMSE,1,12,0.04351217201418444,0.027508176241588446,0.08930454168688041,0.6321949690909733,3.246472645171753,v5a_regresses_vs_v4b
Baik CL (filtered macro),RMSE,1,1600,0.69484037203046,0.6575418666678028,0.8016489911517024,0.9463207567319906,1.219160378660275,v5a_regresses_vs_v4b
Baik CD (filtered macro),RMSE,1,1600,0.4072770179039473,0.34515241896270754,0.40440906359275886,0.8474635292190945,1.1716825418988408,v5a_regresses_vs_v4b
