benchmark,case_id,phase,strip_id,alpha_rad,relative_speed_m_s,delta_t_tilde,strip_area_m2,normalized_strip_weight,strip_persistence,previous_cycle_strip_persistence,global_persistence,previous_cycle_global_persistence,signed_fast_rad,signed_slow_rad,magnitude_fast_rad,magnitude_slow_rad,reference_fraction_chord,canonical_eligible
yang2025,aoa_0,0.0,0,-0.15134069402900135,5.56359276355274,0.267480421324651,0.00270833333333333,0.08333333333333331,0.09451519611447283,0.09451519611447283,0.08986362243880715,0.08986362243880715,-0.11367749489227591,0.00954757577392478,0.12684338636899278,0.10101630390060407,0.75,false
yang2025,aoa_0,0.0,1,-0.18548960005408732,5.595993262194666,0.26903813760551276,0.0027083333333333304,0.08333333333333333,0.09401663648058445,0.09401663648058445,0.08986362243880715,0.08986362243880715,-0.1397050991895022,0.011665186577677181,0.15573005403486415,0.12407577014400191,0.75,false
yang2025,aoa_0,0.0,2,-0.21920656024084356,5.634840065068589,0.27090577235906677,0.002708333333333331,0.08333333333333334,0.09341445666994551,0.09341445666994551,0.08986362243880715,0.08986362243880715,-0.16562964422465284,0.013732235514572377,0.18440974534500132,0.1470033226558442,0.75,false
yang2025,aoa_0,0.0,3,-0.25242465912464224,5.680000910543825,0.27307696685306854,0.0027083333333333295,0.0833333333333333,0.0927083785557051,0.0927083785557051,0.08986362243880715,0.08986362243880715,-0.1914314041654054,0.01573967377047216,0.2128471015657871,0.1697761735851605,0.75,false
yang2025,aoa_0,0.0,4,-0.285083333045629,5.731326543232169,0.27554454534770045,0.0027083333333333304,0.08333333333333333,0.09189812761223172,0.09189812761223172,0.08986362243880715,0.08986362243880715,-0.2170905413655516,0.017678670496743733,0.24100841754001362,0.19237247761281578,0.75,false
yang2025,aoa_0,0.0,5,-0.3171287970526403,5.788652983470241,0.27830062420530005,0.0027083333333333313,0.08333333333333336,0.09098345217108028,0.09098345217108028,0.08986362243880715,0.08986362243880715,-0.24258716119701068,0.019540647785097655,0.26886183182215395,0.21477144820087168,0.75,false
yang2025,aoa_0,0.0,6,-0.34851428789275357,5.851803875509043,0.28133672478408867,0.0027083333333333282,0.08333333333333326,0.08996414248893969,0.08996414248893969,0.08986362243880715,0.08986362243880715,-0.2679013879305109,0.021317314840035257,0.2963774889495868,0.23695346001498357,0.75,false
yang2025,aoa_0,0.0,7,-0.37920013386125234,5.920592846017096,0.28464388682774494,0.002708333333333331,0.08333333333333334,0.08884004889925982,0.08884004889925982,0.08986362243880715,0.08986362243880715,-0.29301345892914377,0.02300070075601089,0.32352767218860967,0.25890013615472607,0.75,false
yang2025,aoa_0,0.0,8,-0.40915366861128627,5.9948258119562885,0.28821277942097545,0.002708333333333331,0.08333333333333334,0.08761109844253448,0.08761109844253448,0.08986362243880715,0.08986362243880715,-0.31790383347252554,0.024583185279666613,0.35028690584897154,0.28059441916244343,0.75,false
yang2025,aoa_0,0.0,9,-0.43834901044974145,6.074303186340664,0.2920338070356089,0.0027083333333333287,0.08333333333333327,0.08627730951144451,0.08627730951144451,0.08986362243880715,0.08986362243880715,-0.3425533119099854,0.026057526956792965,0.3766320270283332,0.302020625171865,0.75,false
