theta_max_deg,phase_offset_deg,old_fluxv_CT,attached_ullt_CT,persistent_polar_CT,v4_CT,persistence_fraction,ldvm_delta_CT,ldvm_shedding_fraction,lesp_critical
15.0,15.0,0.25061642364265885,0.2388151102751092,-0.2349577972043304,0.13705273740175838,0.011861900608038255,-0.10776584966010228,0.4921875,0.23931566428755777
15.0,30.0,0.23699089504971355,0.22580815812707464,-0.1413231708614507,0.16110523981640332,0.011858945673432514,-0.07106211785406392,0.46875,0.23931566428755777
15.0,45.0,0.22365860775936844,0.21168446754642195,-0.053618110081386866,0.18471618239735296,0.011842203663591497,-0.03504880459119586,0.4140625,0.23931566428755777
15.0,60.0,0.21199313802880002,0.19758734406172604,0.023625972677405824,0.2101537916617322,0.011796874864306904,0.0012761113619218002,0.34375,0.23931566428755777
15.0,75.0,0.20311578289311827,0.18462482324736162,0.08905713546640565,0.21094398172220186,0.011728601714611512,0.010004916231819604,0.203125,0.23931566428755777
15.0,90.0,0.1977414696647283,0.17375650208115645,0.1530149688460516,0.19684807083382042,0.0116946077856708,-2.580109240409455e-06,0.0,0.23931566428755777
15.0,105.0,0.1961129737363473,0.16570173190432105,0.19225233132969155,0.19594477344733707,0.011738682536382558,0.0,0.0,0.23931566428755777
25.0,45.0,0.11968876282358074,0.1274338191725328,-0.22779618341265095,0.06399157713091816,0.012012967145436716,-0.05115077015962449,0.4375,0.23931566428755777
25.0,60.0,0.09692827746013025,0.10177943115004079,-0.10514466030135933,0.10112491071623457,0.012046676235561138,0.007492112189050578,0.3359375,0.23931566428755777
25.0,75.0,0.07958366197720826,0.0788421815284886,-0.006743180591028598,0.07794510727501827,0.011934341529843271,0.0,0.0,0.23931566428755777
25.0,90.0,0.06908804703750882,0.06042423047281193,0.06892285459128092,0.0690414665907452,0.011466136473664228,0.0,0.0,0.23931566428755777
25.0,105.0,0.0658269238104921,0.04777564297481443,0.06582692381049196,0.06577677084906773,0.011982459095846066,0.0,0.0,0.23931566428755777
