aoa_deg,model,model_label,phase,lift_n,drag_n,thrust_n,CL,CD,CT
0.0,fluxv_uvpm,FluxV current load channel,0.0,-0.5707877184583913,-0.11935693310819469,0.11935693310819469,-0.9440407998112726,-0.19740756668487175,0.19740756668487175
0.0,fluxv_uvpm,FluxV current load channel,0.0078125,-0.5658963507615268,-0.12002221138138354,0.12002221138138354,-0.9359508383012554,-0.19850788789503115,0.19850788789503115
0.0,fluxv_uvpm,FluxV current load channel,0.015625,-0.5596208796722207,-0.12031374509586336,0.12031374509586336,-0.9255716718357581,-0.19899006316280463,0.19899006316280463
0.0,fluxv_uvpm,FluxV current load channel,0.0234375,-0.5519841881367977,-0.12022732576246557,0.12022732576246557,-0.9129411471207484,-0.1988471319574165,0.1988471319574165
0.0,fluxv_uvpm,FluxV current load channel,0.03125,-0.5430107485531005,-0.11975876545520985,0.11975876545520985,-0.8980997396978079,-0.19807216775808822,0.19807216775808822
0.0,fluxv_uvpm,FluxV current load channel,0.0390625,-0.5325182375482965,-0.11883820900937314,0.11883820900937314,-0.8807459001517214,-0.19654963527307567,0.19654963527307567
0.0,fluxv_uvpm,FluxV current load channel,0.046875,-0.5204984119045553,-0.11743635205926875,0.11743635205926875,-0.8608659948080034,-0.19423106724226402,0.19423106724226402
0.0,fluxv_uvpm,FluxV current load channel,0.0546875,-0.5072790495390542,-0.11563620364530236,0.11563620364530236,-0.8390021441732558,-0.1912537544978874,0.1912537544978874
0.0,fluxv_uvpm,FluxV current load channel,0.0625,-0.49290025586189046,-0.11343524190848822,0.11343524190848822,-0.8152206796386428,-0.18761352607113035,0.18761352607113035
0.0,fluxv_uvpm,FluxV current load channel,0.0703125,-0.4774038219149021,-0.11083139279665478,0.11083139279665478,-0.7895907205059396,-0.18330695163262956,0.18330695163262956
0.0,fluxv_uvpm,FluxV current load channel,0.078125,-0.4605119559003532,-0.10768930053443806,0.10768930053443806,-0.7616528196244193,-0.17811016271026925,0.17811016271026925
0.0,fluxv_uvpm,FluxV current load channel,0.0859375,-0.44260264908566405,-0.1041245997296865,0.1041245997296865,-0.7320321466795492,-0.17221441041921698,0.17221441041921698
0.0,fluxv_uvpm,FluxV current load channel,0.09375,-0.42378939943706856,-0.10016561492471909,0.10016561492471909,-0.7009164189388096,-0.16566654146398374,0.16566654146398374
0.0,fluxv_uvpm,FluxV current load channel,0.1015625,-0.40412907772641066,-0.09582006625140374,0.09582006625140374,-0.6683996964655152,-0.15847932437344206,0.15847932437344206
0.0,fluxv_uvpm,FluxV current load channel,0.109375,-0.38360526597037886,-0.09105851967900544,0.09105851967900544,-0.6344548251258341,-0.15060407743104803,0.15060407743104803
0.0,fluxv_uvpm,FluxV current load channel,0.1171875,-0.3622203136753215,-0.08585265087658338,0.08585265087658338,-0.5990856908300274,-0.1419939542818946,0.1419939542818946
0.0,fluxv_uvpm,FluxV current load channel,0.125,-0.3402581255226956,-0.08033337383798862,0.08033337383798862,-0.5627618509877692,-0.13286547701898582,0.13286547701898582
0.0,fluxv_uvpm,FluxV current load channel,0.1328125,-0.3177874009468283,-0.07453119705425368,0.07453119705425368,-0.5255969293979452,-0.1232691044369734,0.1232691044369734
0.0,fluxv_uvpm,FluxV current load channel,0.140625,-0.2948776457103344,-0.06847984410725223,0.06847984410725223,-0.48770588346697585,-0.11326061285369841,0.11326061285369841
0.0,fluxv_uvpm,FluxV current load channel,0.1484375,-0.27153871070655783,-0.06218682091959081,0.06218682091959081,-0.4491050058461048,-0.1028524165117096,0.1028524165117096
0.0,fluxv_uvpm,FluxV current load channel,0.15625,-0.24795618656708107,-0.05577578151910654,0.05577578151910654,-0.41010124975561146,-0.09224903005553106,0.09224903005553106
0.0,fluxv_uvpm,FluxV current load channel,0.1640625,-0.22423709770456296,-0.04932864329218365,0.04932864329218365,-0.37087162568268467,-0.08158593880213753,0.08158593880213753
0.0,fluxv_uvpm,FluxV current load channel,0.171875,-0.2004495599131988,-0.042908448872774674,0.042908448872774674,-0.33152879212846675,-0.07096741061969462,0.07096741061969462
0.0,fluxv_uvpm,FluxV current load channel,0.1796875,-0.17666644892559796,-0.03659285353994314,0.03659285353994314,-0.29219328018126695,-0.06052188161393125,0.06052188161393125
0.0,fluxv_uvpm,FluxV current load channel,0.1875,-0.15302198746020468,-0.03056192568442428,0.03056192568442428,-0.2530870843206007,-0.050547171625942716,0.050547171625942716
0.0,fluxv_uvpm,FluxV current load channel,0.1953125,-0.12956357225453585,-0.024852095324116266,0.024852095324116266,-0.21428859525556507,-0.04110353321919798,0.04110353321919798
0.0,fluxv_uvpm,FluxV current load channel,0.203125,-0.10633528038875684,-0.01952844294939835,0.01952844294939835,-0.17587071322676978,-0.032298604726132926,0.032298604726132926
0.0,fluxv_uvpm,FluxV current load channel,0.2109375,-0.08337718069190254,-0.014652948509323548,0.014652948509323548,-0.13789970912299948,-0.024234896412445462,0.024234896412445462
0.0,fluxv_uvpm,FluxV current load channel,0.21875,-0.06080229168764862,-0.010416740620733406,0.010416740620733406,-0.10056250724909452,-0.017228520917694893,0.017228520917694893
0.0,fluxv_uvpm,FluxV current load channel,0.2265625,-0.03863085007653616,-0.006869482146282656,0.006869482146282656,-0.06389257761561498,-0.011361616954865645,0.011361616954865645
0.0,fluxv_uvpm,FluxV current load channel,0.234375,-0.01681537931786545,-0.003944504570320665,0.003944504570320665,-0.02781139752488355,-0.006523919714814595,0.006523919714814595
0.0,fluxv_uvpm,FluxV current load channel,0.2421875,0.004642773839539589,-0.0016558749663815127,0.0016558749663815127,0.007678805599846333,-0.002738695099944098,0.002738695099944098
0.0,fluxv_uvpm,FluxV current load channel,0.25,0.025746054170504885,-1.1442363427145415e-05,1.1442363427145415e-05,0.04258207523587347,-1.8924825416125434e-05,1.8924825416125434e-05
0.0,fluxv_uvpm,FluxV current load channel,0.2578125,0.04638083830036718,0.0007569786153798795,-0.0007569786153798795,0.07671048669942215,0.0012519868147011378,-0.0012519868147011378
0.0,fluxv_uvpm,FluxV current load channel,0.265625,0.06670463207877939,0.0009303018965017009,-0.0009303018965017009,0.11032454305226616,0.0015386507418404286,-0.0015386507418404286
0.0,fluxv_uvpm,FluxV current load channel,0.2734375,0.08673631269817247,0.000540354929325455,-0.000540354929325455,0.14345546577879353,0.0008937072105197236,-0.0008937072105197236
0.0,fluxv_uvpm,FluxV current load channel,0.28125,0.10649536998646163,-0.0003787715824796836,0.0003787715824796836,0.17613548961731104,-0.0006264602690395275,0.0006264602690395275
0.0,fluxv_uvpm,FluxV current load channel,0.2890625,0.12596689808726946,-0.0018587736680341258,0.0018587736680341258,0.20833996138044042,-0.003074274591924293,0.003074274591924293
0.0,fluxv_uvpm,FluxV current load channel,0.296875,0.14517817031096406,-0.003845038026064197,0.003845038026064197,0.24011398911255744,-0.006359409384690551,0.006359409384690551
0.0,fluxv_uvpm,FluxV current load channel,0.3046875,0.16420187613773915,-0.006190644709629724,0.006190644709629724,0.27157779585420916,-0.010238869888109365,0.010238869888109365
0.0,fluxv_uvpm,FluxV current load channel,0.3125,0.18305450978015955,-0.008857234733107466,0.008857234733107466,0.3027586618167918,-0.014649213168325188,0.014649213168325188
0.0,fluxv_uvpm,FluxV current load channel,0.3203125,0.2017514917479536,-0.011807511716941459,0.011807511716941459,0.3336820913863786,-0.01952875376356745,0.01952875376356745
