benchmark,case_id,phase,strip_id,alpha_rad,alpha_sep_rad,strip_area_m2,normalized_strip_weight,region_A,region_L,region_P,wA,wL,wP,canonical_eligible
yang2025,aoa_0,0.0,0,-0.15134069402900135,0.08726646259971647,0.00270833333333333,0.08333333333333331,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,1,-0.18548960005408732,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,2,-0.21920656024084356,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,3,-0.25242465912464224,0.08726646259971647,0.0027083333333333295,0.0833333333333333,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,4,-0.285083333045629,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,5,-0.3171287970526403,0.08726646259971647,0.0027083333333333313,0.08333333333333336,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,6,-0.34851428789275357,0.08726646259971647,0.0027083333333333282,0.08333333333333326,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,7,-0.37920013386125234,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,8,-0.40915366861128627,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,9,-0.43834901044974145,0.08726646259971647,0.0027083333333333287,0.08333333333333327,0,0,1,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,10,-0.4667667311757227,0.08726646259971647,0.0027083333333333317,0.08333333333333337,0,0,1,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0,11,-0.4943934393160814,0.08726646259971647,0.0027083333333333326,0.0833333333333334,0,0,1,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0078125,0,-0.15129856201539577,0.08726646259971647,0.00270833333333333,0.08333333333333331,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0078125,1,-0.1854383586018273,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0078125,2,-0.21914655872280916,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0078125,3,-0.2523562935813112,0.08726646259971647,0.0027083333333333295,0.0833333333333333,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0078125,4,-0.2850070380913505,0.08726646259971647,0.0027083333333333304,0.08333333333333333,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0078125,5,-0.31704503753910834,0.08726646259971647,0.0027083333333333313,0.08333333333333336,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0078125,6,-0.3484235506257392,0.08726646259971647,0.0027083333333333282,0.08333333333333326,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0078125,7,-0.37910291962964965,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0078125,8,-0.4090504847405835,0.08726646259971647,0.002708333333333331,0.08333333333333334,0,1,0,0.0,0.7499999999999999,0.25000000000000006,false
yang2025,aoa_0,0.0078125,9,-0.4382403640401608,0.08726646259971647,0.0027083333333333287,0.08333333333333327,0,0,1,0.0,0.7499999999999999,0.25000000000000006,false
