t_star,experiment_CL_fast_pitch,experiment_CL_slow_pitch,source_figure,data_role
0.92000000,4.685014984,0.667758760,4.13b,digitized_experimental_curve
0.93000000,4.720977121,0.672039967,4.13b,digitized_experimental_curve
0.94000000,4.756939258,0.676321173,4.13b,digitized_experimental_curve
0.95000000,4.792901395,0.680602380,4.13b,digitized_experimental_curve
0.96000000,4.828863532,0.684883587,4.13b,digitized_experimental_curve
0.97000000,4.823818580,0.686664361,4.13b,digitized_experimental_curve
0.98000000,4.785186146,0.688125288,4.13b,digitized_experimental_curve
0.99000000,4.725249251,0.696687702,4.13b,digitized_experimental_curve
1.00000000,4.642620447,0.705250115,4.13b,digitized_experimental_curve
1.01000000,4.546828175,0.710869064,4.13b,digitized_experimental_curve
1.02000000,4.439798006,0.710869064,4.13b,digitized_experimental_curve
1.03000000,4.312852985,0.714852034,4.13b,digitized_experimental_curve
1.04000000,4.171138774,0.719133241,4.13b,digitized_experimental_curve
1.05000000,4.015243200,0.723414448,4.13b,digitized_experimental_curve
1.06000000,3.843994929,0.727695655,4.13b,digitized_experimental_curve
1.07000000,3.663883846,0.731976861,4.13b,digitized_experimental_curve
1.08000000,3.476239050,0.736258068,4.13b,digitized_experimental_curve
1.09000000,3.279303538,0.740539275,4.13b,digitized_experimental_curve
1.10000000,3.074976948,0.744820482,4.13b,digitized_experimental_curve
1.11000000,2.871404593,0.749101689,4.13b,digitized_experimental_curve
1.12000000,2.670343476,0.753382895,4.13b,digitized_experimental_curve
1.13000000,2.473407964,0.757664102,4.13b,digitized_experimental_curve
1.14000000,2.287139811,0.761945309,4.13b,digitized_experimental_curve
1.15000000,2.106432256,0.767123386,4.13b,digitized_experimental_curve
1.16000000,1.922340364,0.775685800,4.13b,digitized_experimental_curve
1.17000000,1.765513341,0.780840105,4.13b,digitized_experimental_curve
1.18000000,1.620585523,0.783483172,4.13b,digitized_experimental_curve
1.19000000,1.483586906,0.783483172,4.13b,digitized_experimental_curve
1.20000000,1.388082065,0.787632550,4.13b,digitized_experimental_curve
1.21000000,1.305792560,0.794293165,4.13b,digitized_experimental_curve
1.22000000,1.233621485,0.801636699,4.13b,digitized_experimental_curve
1.23000000,1.165122176,0.801636699,4.13b,digitized_experimental_curve
1.24000000,1.127829645,0.804757377,4.13b,digitized_experimental_curve
1.25000000,1.115649493,0.809038583,4.13b,digitized_experimental_curve
1.26000000,1.132774320,0.813319790,4.13b,digitized_experimental_curve
1.27000000,1.180794721,0.821462944,4.13b,digitized_experimental_curve
1.28000000,1.236353158,0.827933379,4.13b,digitized_experimental_curve
1.29000000,1.296934071,0.832214586,4.13b,digitized_experimental_curve
1.30000000,1.365433379,0.836495793,4.13b,digitized_experimental_curve
1.31000000,1.445265675,0.840777000,4.13b,digitized_experimental_curve
1.32000000,1.534079645,0.845058207,4.13b,digitized_experimental_curve
1.33000000,1.632547401,0.849339413,4.13b,digitized_experimental_curve
1.34000000,1.741738704,0.853620620,4.13b,digitized_experimental_curve
1.35000000,1.851245534,0.856097280,4.13b,digitized_experimental_curve
1.36000000,1.958206547,0.856166436,4.13b,digitized_experimental_curve
1.37000000,2.056674303,0.864728850,4.13b,digitized_experimental_curve
1.38000000,2.144958794,0.870745447,4.13b,digitized_experimental_curve
1.39000000,2.225525876,0.875026654,4.13b,digitized_experimental_curve
1.40000000,2.302587598,0.879307861,4.13b,digitized_experimental_curve
1.41000000,2.373075150,0.883589068,4.13b,digitized_experimental_curve
1.42000000,2.435505994,0.889387391,4.13b,digitized_experimental_curve
1.43000000,2.486880475,0.897949804,4.13b,digitized_experimental_curve
1.44000000,2.530198248,0.894427155,4.13b,digitized_experimental_curve
1.45000000,2.557201619,0.896921104,4.13b,digitized_experimental_curve
1.46000000,2.565649493,0.905483518,4.13b,digitized_experimental_curve
1.47000000,2.539962252,0.914045931,4.13b,digitized_experimental_curve
1.48000000,2.511275357,0.919608691,4.13b,digitized_experimental_curve
1.49000000,2.478847539,0.923889897,4.13b,digitized_experimental_curve
1.50000000,2.440316678,0.928171104,4.13b,digitized_experimental_curve
1.51000000,2.394303971,0.936193234,4.13b,digitized_experimental_curve
1.52000000,2.349181651,0.942784693,4.13b,digitized_experimental_curve
1.53000000,2.305565641,0.947065900,4.13b,digitized_experimental_curve
1.54000000,2.245628746,0.951347107,4.13b,digitized_experimental_curve
1.55000000,2.191116298,0.955628314,4.13b,digitized_experimental_curve
1.56000000,2.138799562,0.959909521,4.13b,digitized_experimental_curve
1.57000000,2.083143874,0.964190727,4.13b,digitized_experimental_curve
1.58000000,2.055116125,0.968471934,4.13b,digitized_experimental_curve
1.59000000,2.030343044,0.974436664,4.13b,digitized_experimental_curve
1.60000000,2.000374597,0.982999078,4.13b,digitized_experimental_curve
1.61000000,1.970406149,0.987366730,4.13b,digitized_experimental_curve
1.62000000,1.945287287,0.989223144,4.13b,digitized_experimental_curve
1.63000000,1.924536077,0.989877968,4.13b,digitized_experimental_curve
1.64000000,1.907411249,0.994159175,4.13b,digitized_experimental_curve
1.65000000,1.902950669,0.998440382,4.13b,digitized_experimental_curve
1.66000000,1.907138947,1.002721588,4.13b,digitized_experimental_curve
1.67000000,1.919982567,1.007002795,4.13b,digitized_experimental_curve
1.68000000,1.940640848,1.011284002,4.13b,digitized_experimental_curve
1.69000000,1.959909521,1.017702570,4.13b,digitized_experimental_curve
1.70000000,1.977034348,1.026264984,4.13b,digitized_experimental_curve
1.71000000,1.994159175,1.034827397,4.13b,digitized_experimental_curve
1.72000000,2.017041263,1.037632550,4.13b,digitized_experimental_curve
1.73000000,2.041619842,1.037632550,4.13b,digitized_experimental_curve
1.74000000,2.063025876,1.037632550,4.13b,digitized_experimental_curve
1.75000000,2.080812010,1.044872349,4.13b,digitized_experimental_curve
1.76000000,2.099786768,1.049734901,4.13b,digitized_experimental_curve
1.77000000,2.121032878,1.049814863,4.13b,digitized_experimental_curve
1.78000000,2.133876498,1.054096070,4.13b,digitized_experimental_curve
1.79000000,2.146720119,1.058377276,4.13b,digitized_experimental_curve
1.80000000,2.157921277,1.063479714,4.13b,digitized_experimental_curve
1.81000000,2.162202484,1.072042128,4.13b,digitized_experimental_curve
1.82000000,2.163151222,1.077272072,4.13b,digitized_experimental_curve
1.83000000,2.155338722,1.079990779,4.13b,digitized_experimental_curve
1.84000000,2.133932688,1.079990779,4.13b,digitized_experimental_curve
1.85000000,2.124747868,1.088138255,4.13b,digitized_experimental_curve
1.86000000,2.111577916,1.094396899,4.13b,digitized_experimental_curve
1.87000000,2.094453089,1.098678106,4.13b,digitized_experimental_curve
1.88000000,2.077328262,1.102959313,4.13b,digitized_experimental_curve
1.89000000,2.060203435,1.104195482,4.13b,digitized_experimental_curve
1.90000000,2.041803538,1.108020689,4.13b,digitized_experimental_curve
1.91000000,2.020397505,1.120864310,4.13b,digitized_experimental_curve
1.92000000,2.006564085,1.122349009,4.13b,digitized_experimental_curve
1.93000000,1.991704126,1.122349009,4.13b,digitized_experimental_curve
1.94000000,1.974825669,1.122841747,4.13b,digitized_experimental_curve
1.95000000,1.961982048,1.131404161,4.13b,digitized_experimental_curve
1.96000000,1.954653642,1.139966574,4.13b,digitized_experimental_curve
1.97000000,1.950372435,1.146553711,4.13b,digitized_experimental_curve
1.98000000,1.946091229,1.146553711,4.13b,digitized_experimental_curve
1.99000000,1.945308898,1.150052588,4.13b,digitized_experimental_curve
2.00000000,1.945308898,1.156062702,4.13b,digitized_experimental_curve
2.01000000,1.945308898,1.164625115,4.13b,digitized_experimental_curve
2.02000000,1.953789189,1.164707238,4.13b,digitized_experimental_curve
2.03000000,1.962351602,1.169647591,4.13b,digitized_experimental_curve
