case_id,t_star,experiment_CL,data_role
fast_pitch,0.85,4.34763644,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.86,4.399475565,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.87,4.454943234,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.88,4.514603504,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.89,4.570259192,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.9,4.61309071,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.91,4.649052847,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.92,4.685014984,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.93,4.720977121,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.94,4.756939258,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.95,4.792901395,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.96,4.828863532,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.97,4.82381858,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.98,4.785186146,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.99,4.725249251,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.0,4.642620447,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.01,4.546828175,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.02,4.439798006,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.03,4.312852985,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.04,4.171138774,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.05,4.0152432,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.06,3.843994929,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.07,3.663883846,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.08,3.47623905,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.09,3.279303538,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.1,3.074976948,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.11,2.871404593,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.12,2.670343476,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.13,2.473407964,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.14,2.287139811,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.15,2.106432256,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.16,1.922340364,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.17,1.765513341,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.18,1.620585523,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.19,1.483586906,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.2,1.388082065,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.21,1.30579256,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.22,1.233621485,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.23,1.165122176,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.24,1.127829645,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.25,1.115649493,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.26,1.13277432,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.27,1.180794721,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.28,1.236353158,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.29,1.296934071,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.3,1.365433379,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.31,1.445265675,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.32,1.534079645,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.33,1.632547401,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.34,1.741738704,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.35,1.851245534,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.36,1.958206547,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.37,2.056674303,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.38,2.144958794,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.39,2.225525876,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.4,2.302587598,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.41,2.37307515,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.42,2.435505994,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.43,2.486880475,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.44,2.530198248,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.45,2.557201619,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.46,2.565649493,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.47,2.539962252,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.48,2.511275357,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.49,2.478847539,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.5,2.440316678,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.51,2.394303971,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.52,2.349181651,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.53,2.305565641,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.54,2.245628746,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.55,2.191116298,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.56,2.138799562,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.57,2.083143874,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.58,2.055116125,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.59,2.030343044,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.6,2.000374597,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.61,1.970406149,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.62,1.945287287,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.63,1.924536077,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.64,1.907411249,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.65,1.902950669,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.66,1.907138947,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.67,1.919982567,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.68,1.940640848,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.69,1.959909521,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.7,1.977034348,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.71,1.994159175,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.72,2.017041263,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.73,2.041619842,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.74,2.063025876,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.75,2.08081201,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.76,2.099786768,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.77,2.121032878,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.78,2.133876498,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.79,2.146720119,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.8,2.157921277,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.81,2.162202484,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.82,2.163151222,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.83,2.155338722,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.84,2.133932688,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.85,2.124747868,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.86,2.111577916,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.87,2.094453089,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.88,2.077328262,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.89,2.060203435,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.9,2.041803538,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.91,2.020397505,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.92,2.006564085,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.93,1.991704126,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.94,1.974825669,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.95,1.961982048,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.96,1.954653642,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.97,1.950372435,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.98,1.946091229,digitized_experimental_whole_wing_lift_curve
fast_pitch,1.99,1.945308898,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.0,1.945308898,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.01,1.945308898,digitized_experimental_whole_wing_lift_curve
fast_pitch,2.02,1.953789189,digitized_experimental_whole_wing_lift_curve
