case_id,case_label_zh,model,window,observation_count,rmse,mae,bias,correlation,experiment_peak_CL,experiment_peak_t_star,prediction_peak_CL,prediction_peak_t_star,v4b_rmse_change_vs_uvlm_percent,v4b_improves_uvlm
fast_pitch,快速俯仰,fluxv_uvlm,0<=t_star<=5,501,1.4004268692194932,1.1565168991703039,1.0090223861425003,0.5757644326076541,4.828863532,0.96,7.042569650275357,0.03,-12.996847259841802,True
fast_pitch,快速俯仰,fluxv_v4b,0<=t_star<=5,501,1.2184155280412512,0.7756944402329515,0.5017969000683529,0.6102529092116862,4.828863532,0.96,7.042569650275357,0.03,-12.996847259841802,True
slow_pitch,慢速俯仰,fluxv_uvlm,0<=t_star<=5,501,0.3777715428377396,0.3634323618780882,0.3634323618780882,0.9903744125050219,2.048178884,4.97,2.759550729814768,5.0,-23.023577854327048,True
slow_pitch,慢速俯仰,fluxv_v4b,0<=t_star<=5,501,0.2907950175610002,0.24535404832291072,0.23982375496988242,0.9680034853061362,2.048178884,4.97,2.2054641160946917,4.46,-23.023577854327048,True
