case_id,case_label_zh,model,window,observation_count,rmse,mae,bias,correlation,experiment_peak_CL,experiment_peak_t_star,prediction_peak_CL,prediction_peak_t_star,v4b_rmse_change_vs_uvlm_percent,v4b_improves_uvlm
fast_pitch,快速俯仰,fluxv_uvlm,0<=t_star<=5,501,1.4804654209360024,1.2262136485620476,1.0883795481535528,0.6038712250338311,4.828863532,0.96,7.394054536460658,0.05,-16.452169284331877,True
fast_pitch,快速俯仰,fluxv_v4b,0<=t_star<=5,501,1.2368967436876148,0.6278783370216354,0.42492304629227673,0.6605348665326327,4.828863532,0.96,7.3672678921791315,0.05,-16.452169284331877,True
