case_id,model,t_star,pitch_deg,experiment_CL,prediction_CL,prediction_CD_diagnostic_only,ldvm_delta_CL,shed_lev
fast_pitch,fluxv_uvlm,0.0,1.0397207708397769,0.343908483,4.911259582690148,0.08782068098878208,0.0,False
fast_pitch,fluxv_uvlm,0.01,1.2815328667026016,0.437580682,5.519068578915212,0.1293277964881958,0.0,False
fast_pitch,fluxv_uvlm,0.02,1.5562319257285733,0.550046104,6.126877575140274,0.17083491198760956,0.0,False
fast_pitch,fluxv_uvlm,0.03,1.861730812097786,0.687044721,6.734686571365337,0.2123420274870233,0.0,False
fast_pitch,fluxv_uvlm,0.04,2.1949237010065827,0.842672314,7.342495567590401,0.253849142986437,0.0,False
fast_pitch,fluxv_uvlm,0.05,2.552119916973499,0.991297833,7.394054536460658,0.28715106939117563,0.0,False
fast_pitch,fluxv_uvlm,0.06,2.929466415788262,1.132013601,7.334363499859966,0.3188119579769793,0.0,False
fast_pitch,fluxv_uvlm,0.07,3.323279284768488,1.354636353,7.274672463259273,0.35047284656278305,0.0,False
fast_pitch,fluxv_uvlm,0.08,3.7302542282293745,1.590744583,7.214981426658581,0.3821337351485868,0.0,False
fast_pitch,fluxv_uvlm,0.09,4.147565342662796,1.834773369,6.978521561062206,0.39951421237606166,0.0,False
fast_pitch,fluxv_uvlm,0.1,4.572881027357794,2.078802155,6.653677280967999,0.40975448392437325,0.0,False
fast_pitch,fluxv_uvlm,0.11,5.004328888302185,2.309077484,6.328833000873794,0.4199947554726848,0.0,False
fast_pitch,fluxv_uvlm,0.12,5.440435639507175,2.530976256,6.003988720779589,0.43023502702099625,0.0,False
fast_pitch,fluxv_uvlm,0.13,5.880059650883662,2.745036595,5.75321986223875,0.441464200476452,0.0,False
fast_pitch,fluxv_uvlm,0.14,6.322326381998515,2.950737667,5.576526425251281,0.453682275839052,0.0,False
fast_pitch,fluxv_uvlm,0.15,6.7665716172602535,3.144187269,5.399832988263811,0.465900351201652,0.0,False
fast_pitch,fluxv_uvlm,0.16,7.212294100990345,3.325080682,5.22313955127634,0.47811842656425196,0.0,False
fast_pitch,fluxv_uvlm,0.17,7.6591173548796485,3.48776654,5.088216309357406,0.49319095559737935,0.0,False
fast_pitch,fluxv_uvlm,0.18,8.106759617667796,3.628395862,5.036833457575554,0.5139723919715624,0.0,False
fast_pitch,fluxv_uvlm,0.19,8.5550105702136,3.754208449,4.985450605793701,0.5347538283457456,0.0,False
fast_pitch,fluxv_uvlm,0.2,9.00371352764997,3.865519825,4.934067754011847,0.5555352647199286,0.0,False
fast_pitch,fluxv_uvlm,0.21,9.452751931169445,3.949585783,4.8911533677906585,0.5772081563369428,0.0,False
fast_pitch,fluxv_uvlm,0.22,9.902039165259707,4.022439776,4.890581309372785,0.603338324168113,0.0,False
fast_pitch,fluxv_uvlm,0.23,10.351510916792071,4.083839759,4.890009250954913,0.6294684919992832,0.0,False
fast_pitch,fluxv_uvlm,0.24,10.80111946068973,4.113808207,4.88943719253704,0.6555986598304534,0.0,False
fast_pitch,fluxv_uvlm,0.25,11.250829396959258,4.106551118,4.888865134119167,0.6817288276616237,0.0,False
fast_pitch,fluxv_uvlm,0.26,11.700614476248218,4.076489742,4.906340447093952,0.7106389436134071,0.0,False
fast_pitch,fluxv_uvlm,0.27,12.15045523915667,4.033677674,4.923815760068737,0.7395490595651905,0.0,False
fast_pitch,fluxv_uvlm,0.28,12.600337262443759,3.980051291,4.941291073043523,0.7684591755169738,0.0,False
fast_pitch,fluxv_uvlm,0.29,13.050249857063076,3.9225608,4.958766386018307,0.797369291468757,0.0,False
fast_pitch,fluxv_uvlm,0.3,13.500185102147203,3.862429403,4.981786233230483,0.8276648451807416,0.0,False
fast_pitch,fluxv_uvlm,0.31,13.950137128543501,3.789648888,5.005914987290138,0.8582374864447662,0.0,False
fast_pitch,fluxv_uvlm,0.32,14.400101587592058,3.711716229,5.030043741349793,0.8888101277087909,0.0,False
fast_pitch,fluxv_uvlm,0.33,14.850075257337512,3.631179403,5.054172495409447,0.9193827689728156,0.0,False
fast_pitch,fluxv_uvlm,0.34,15.300055750665583,3.554117681,5.080035350940469,0.9507745085183225,0.0,False
fast_pitch,fluxv_uvlm,0.35000000000000003,15.750041299007945,3.4704212769999994,5.106765257207175,0.9825757972045704,0.0,False
fast_pitch,fluxv_uvlm,0.36,16.200030592062244,3.39098663,5.133495163473881,1.0143770858908183,0.0,False
