axis,pivot_fraction_chord,s_over_c,pitch_deg,experiment_CL,fluxv_old_CL,fluxv_old_CD_diagnostic_only,fluxv_v4_ldvm_increment_CL,fluxv_v4_ldvm_increment_CD_diagnostic_only,ldvm_diagnostic_CL,ldvm_diagnostic_CD_diagnostic_only,source_figure,experimental_drag_available
leading_edge_axis,0.0,0.0,1.41780105057477,-1.589376975,5.111154438763927,0.10881553285606504,5.111154438763927,0.10881553285606504,3.561383897484927,0.06859924280357094,21,False
leading_edge_axis,0.0,0.01,1.6551511744152332,6.546412752,5.3974922767350595,0.13406519295095018,5.3974922767350595,0.13406519295095018,3.7176443319853716,0.08271446195573798,21,False
leading_edge_axis,0.0,0.02,1.9169068293388407,11.070177689,5.6291475782101354,0.15998143453614685,5.6291475782101354,0.15998143453614685,3.822177113073222,0.09726798221448603,21,False
leading_edge_axis,0.0,0.03,2.202211422303825,9.890534935,5.790496761333143,0.18675470946602993,5.790496761333143,0.18675470946602993,3.8767064974544674,0.11174051766637416,21,False
leading_edge_axis,0.0,0.04,2.5097238395722656,8.913919641,5.845084164696753,0.21280056088039018,5.845084164696753,0.21280056088039018,3.886946785712313,0.12568891037897167,21,False
leading_edge_axis,0.0,0.05,2.8377313451129247,8.347666259,5.8545524905346396,0.23794142835203191,5.8480076552625935,0.23999035725676104,3.8564417996798372,0.14142710100275763,21,False
leading_edge_axis,0.0,0.06,3.1842791260205145,7.844273259,5.798312548026027,0.2613199499688574,5.768385501471062,0.267133942367051,3.785025170843213,0.15982545122850514,21,False
leading_edge_axis,0.0,0.07,3.547297972167766,7.459282995,5.6984375478173686,0.2823232331242872,5.63806843502227,0.2919518150227023,3.689895189795026,0.17792452709070586,21,False
leading_edge_axis,0.0,0.08,3.924715844686317,7.157184025,5.579755297719285,0.3020260330171791,5.494805811156133,0.3156746006319151,3.5902397438798452,0.19544952297995913,21,False
leading_edge_axis,0.0,0.09,4.314545126703971,6.887451101,5.442603381444871,0.31952430543886756,5.341487299995009,0.33765844267915357,3.495404600161649,0.21280993858744984,21,False
leading_edge_axis,0.0,0.1,4.714943148922904,6.630807029,5.307457880503249,0.3359890218919447,5.197779341701824,0.35914988232316014,3.4097355935754714,0.23029280567810773,21,False
leading_edge_axis,0.0,0.11,5.124247898731505,6.375673681,5.174649552396898,0.3518036132674232,5.063838438997268,0.3806616513675124,3.335989000060742,0.2481945996758631,21,False
leading_edge_axis,0.0,0.12,5.540993285163457,6.111065692,5.058841078824441,0.3671683321964267,4.952974194411121,0.4024188810166864,3.275786904061781,0.2668110816490452,21,False
leading_edge_axis,0.0,0.13,5.963909188788076,5.821306604,4.9551238397540285,0.3827775943030167,4.860017610457163,0.4252260621211459,3.229597517653202,0.28639208113769143,21,False
