benchmark,case_id,model,phase,baseline_CL,baseline_CD,equilibrium_CL,equilibrium_CD,raw_ldvm_CL,raw_ldvm_CD,state_CL,state_CD,transient_CL,transient_CD,prediction_CL,prediction_CD,ledger_residual_CL,ledger_residual_CD,incidence_source,aggregation_scope,equilibrium_provider
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.0,-0.9440407998112726,-0.19740756668487175,0.19020929000931797,0.1780371554263962,1.1920973328662385,0.10743704613160715,-1.3286625816305437,0.0823845117522529,2.877068655617048,0.028593703427324396,2.1232371458150934,0.009223292168848846,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.0078125,-0.9359508383012554,-0.19850788789503115,0.1888853440265612,0.17797583879951517,0.5836036343202111,0.110898357160648,-1.0918391861366687,0.08591579083456738,1.9122662159507549,0.02851384540839509,1.1652007216760607,0.00798179631287911,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.015625,-0.9255716718357581,-0.19899006316280463,0.18699416068458652,0.17709981998010138,0.042700112968864,0.11647813977466014,-0.9513328869120985,0.08970076553625285,1.1345392991055328,0.030562348940092757,0.3959617879543612,0.008672105757389512,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.0234375,-0.9129411471207484,-0.1988471319574165,0.1845418388153982,0.1753958734220567,0.2512797856042085,0.11583455435374518,-0.8023960839745049,0.09293728802106872,1.2026126725163069,0.02613378881749233,0.4742133642109567,0.002682530282132542,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.03125,-0.8980997396978079,-0.19807216775808822,0.1815352358366552,0.17285020410085422,0.008985894091874558,0.11901605891622755,-0.7019109980145042,0.09616699684622186,0.8113819780663795,0.026078770895158823,0.09481747420522679,0.0008568072379248198,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.0390625,-0.8807459001517214,-0.19654963527307567,0.17789412496298618,0.1693005615869649,-0.13349367060055622,0.12130135703836298,-0.6315157149661154,0.09927974572742797,0.5684173274139479,0.025134360192141117,-0.1344344477747873,-0.002114713493969647,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.046875,-0.8608659948080034,-0.19423106724226402,0.1736112991005354,0.16467785897122816,-0.12400583734989243,0.12130101440784094,-0.5686634763702472,0.1020069557667401,0.5075098776162229,0.022021268680412973,-0.1797448180912451,-0.007531939590622885,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.0546875,-0.8390021441732558,-0.1912537544978874,0.16882573160849357,0.1591800288467256,0.7194046250427804,0.121033528753971,-0.40914350009313777,0.10436328961914138,1.2880681014130275,0.0190265729872309,0.6178916888482653,-0.013047152663930889,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.0625,-0.8152206796386428,-0.18761352607113035,0.16355861970664698,0.15282657129251975,0.6107743698720717,0.12118862578698264,-0.28283241899193734,0.10644701269512165,1.0199178699652094,0.016825336167841265,0.3682558100332136,-0.017961618610769337,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.0703125,-0.7895907205059396,-0.18330695163262956,0.1578337453575781,0.14564689480852805,0.0284078100367927,0.12064862839442986,-0.24428707042171852,0.10820580277537055,0.31124022902873005,0.01420161569930821,-0.32051674611963143,-0.023458441124793297,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.078125,-0.7616528196244193,-0.17811016271026925,0.15156334580804431,0.1374957244623435,-0.05683076947071683,0.11894462759019099,-0.2210716638388721,0.10953574571691607,0.1874563009510017,0.010738824814820441,-0.42263317286537333,-0.029875613433105297,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.0859375,-0.7320321466795492,-0.17221441041921698,0.14487588515046101,0.1284468942694458,-0.09204192668747727,0.11660791953827851,-0.20509205795712368,0.11041159459398533,0.12902973715139485,0.0070721738213624374,-0.4581265243776933,-0.03669534232840874,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.09375,-0.7009164189388096,-0.16566654146398374,0.1378123164389532,0.11849523120309655,-0.1275676213960787,0.11338894599613561,-0.1954910933283531,0.11078032278818455,0.07752443656104499,0.0029773514021502745,-0.4855796659388114,-0.04419395885873692,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.1015625,-0.6683996964655152,-0.15847932437344206,0.13041073742654996,0.10770905840349002,-0.1651698292978172,0.10954893893848429,-0.19173597563423664,0.11062782283707426,0.030321264030535894,-0.0012313838497002572,-0.5076676950084293,-0.0520016498196523,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.109375,-0.6344548251258341,-0.15060407743104803,0.12271620357708257,0.09626874582346681,-0.1514079616662924,0.10520898343587999,-0.186741578347003,0.10995673011163551,0.04032801396794425,-0.005418839401194267,-0.4714106075808072,-0.05975417100877549,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.1171875,-0.5990856908300274,-0.1419939542818946,0.11469632198350749,0.08383620871781328,0.014149332841614182,0.10032836832788297,-0.16186237098837025,0.1087643117591845,0.20089091118861718,-0.009628361783752537,-0.2834984576579027,-0.06778610734783386,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.125,-0.5627618509877692,-0.13286547701898582,0.10649860508086612,0.07080617310959747,0.09640346361751875,0.09484731632724315,-0.12987760266414583,0.10704077029525373,0.25826583460588903,-0.013916995431941345,-0.19799741130101406,-0.0759762993413297,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.1328125,-0.5255969293979452,-0.1232691044369734,0.09816130635775183,0.05724128950433491,-0.01731452645147394,0.08920288618660871,-0.11593729995233591,0.10483164886237038,0.11256307621267189,-0.017837884108645022,-0.3148725468275215,-0.08386569904128352,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.140625,-0.48770588346697585,-0.11326061285369841,0.08971857895003638,0.04318276783825034,-0.1408182646669156,0.08565167747124786,-0.11901866723149397,0.10245631748202559,-0.024880964714579692,-0.019179971391122527,-0.42286826923151916,-0.0892578164065706,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.1484375,-0.4491050058461048,-0.1028524165117096,0.08119733613335323,0.028503070380724818,0.3807917534184961,0.07695735208286127,-0.05711996299553478,0.09929841430042881,0.49981042064999004,-0.025498965399164325,0.13190275093723847,-0.0998483115301491,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.15625,-0.41010124975561146,-0.09224903005553106,0.07281766004182261,0.014268572409518551,0.03549454679226764,0.07029833734136547,-0.04565017782807412,0.09570691818041058,0.09261450978780242,-0.029000076959063342,-0.24466907992598644,-0.10698053460507585,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.1640625,-0.37087162568268467,-0.08158593880213753,0.0649540736128974,0.002889056023341899,-0.2723425428806608,0.06439080630221386,-0.07372474986018974,0.09182859418618926,-0.22669236505258666,-0.03131611187819672,-0.5326099171223739,-0.11001299465699235,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.171875,-0.33152879212846675,-0.07096741061969462,0.05775360613820746,-0.004541675667081954,-0.3007035331990058,0.058039720407807874,-0.10183479318312805,0.08764403256429618,-0.22697878333881605,-0.033788873778381384,-0.5007539693290753,-0.10929796006515796,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.1796875,-0.29219328018126695,-0.06052188161393125,0.0512478981757713,-0.007487915188474206,-0.052860061524854576,0.05127067549552003,-0.09576954863298724,0.08313939725008816,0.04897473165827347,-0.036373357068776146,-0.19197065034722216,-0.1043831538711816,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.1875,-0.2530870843206007,-0.050547171625942716,0.04493644732081195,-0.009173486653106258,0.009664836986546826,0.04462194131113951,-0.08271209408196689,0.07836922737250536,0.10543438561953407,-0.038517455938948654,-0.10271625138025466,-0.09823811421799764,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.1953125,-0.21428859525556507,-0.04110353321919798,0.03867068439952298,-0.01072263082120875,0.04520991872569255,0.03804584393062865,-0.06686967361831894,0.07337540354983282,0.12792201280765944,-0.040323383441876706,-0.047695898048382646,-0.09214954748228343,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.203125,-0.17587071322676978,-0.032298604726132926,0.032454469241062184,-0.012167000357408836,-0.0008416537026967319,0.03181909443566622,-0.058692475410390375,0.06822888883001023,0.06602801991562221,-0.041556309114166606,-0.07738822407008539,-0.08602191419770837,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.2109375,-0.13789970912299948,-0.024234896412445462,0.026297755725315092,-0.013489779372169369,0.06645711162295533,0.025798586629637684,-0.04319340425666121,0.06297413499128936,0.1251495870333457,-0.04243030220037254,0.013547633635661305,-0.08015497798498737,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.21875,-0.10056250724909452,-0.017228520917694893,0.020226965851430828,-0.014639112422604374,0.02104553853603726,0.020254650624397547,-0.03523777316920836,0.057683567570745976,0.06423894279269847,-0.04271948436689181,-0.01609659860496522,-0.07458711770719108,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.2265625,-0.06389257761561498,-0.011361616954865645,0.014247775573523122,-0.01560152538965986,0.00418922830558701,0.01564268832921619,-0.030354961202172327,0.052477041571134087,0.03942700147479537,-0.042040879241529786,-0.010217800567296487,-0.06900402158605529,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
yang2025,aoa_0,fluxv_v5a_cache_adapter,0.234375,-0.02781139752488355,-0.006523919714814595,0.008349955533129394,-0.016395106226164368,0.2000556613907766,0.011155112300113797,-0.0018199039255420019,0.04735955347418766,0.23041062259294892,-0.04132192927102029,0.21094918060119477,-0.06424095521199925,0.0,0.0,kinematic-proxy,projected_integrated_proxy,frozen_fluxv_periodic_v1_minus_uvlm_kinematic_quarter_chord
