twist_amplitude_peak_to_peak_deg,phase,old_lift_n,old_net_thrust_n,polar_lift_n,polar_net_thrust_n
0.0,0.0,1.724001550341821,-0.22769497105096762,1.724001550341821,-0.22769497105096762
0.0,0.0078125,2.3165078216814896,-0.24160524224844362,2.3165078216814896,-0.24160524224844362
0.0,0.015625,2.9090140930211588,-0.25551551344591966,2.9090140930211588,-0.25551551344591966
0.0,0.0234375,3.501520364360828,-0.26942578464339567,3.501520364360828,-0.26942578464339567
0.0,0.03125,4.094026635700496,-0.2833360558408717,4.094026635700496,-0.2833360558408717
0.0,0.0390625,4.686532907040165,-0.2972463270383477,4.686532907040165,-0.2972463270383477
0.0,0.046875,5.2977101316218835,-0.26940348511412265,5.289550794578621,-0.2879904585760184
0.0,0.0546875,5.9182228328246245,-0.22068408662904887,5.897824490216468,-0.26715152028378747
0.0,0.0625,6.538735534027365,-0.17196468814397511,6.506098185854315,-0.24631258199155653
0.0,0.0703125,7.159248235230107,-0.12324528965890133,7.114371881492163,-0.22547364369932557
0.0,0.078125,7.779760936432849,-0.07452589117382757,7.722645577130011,-0.20463470540709464
0.0,0.0859375,8.404700533575955,-0.007154471765636994,8.319259689213583,-0.1951901565688209
0.0,0.09375,9.038493922599791,0.0975209894887856,8.892554634188604,-0.2085343866384606
0.0,0.1015625,9.672287311623627,0.20219645074320816,9.465849579163626,-0.22187861670810047
0.0,0.109375,10.306080700647463,0.3068719119976307,10.039144524138647,-0.23522284677774014
0.0,0.1171875,10.939874089671301,0.4115473732520533,10.61243946911367,-0.24856707684737994
0.0,0.125,11.573667478695137,0.5162228345064759,11.18573441408869,-0.2619113069170197
0.0,0.1328125,12.189469938265889,0.6585132274803167,11.72720608125402,-0.24593624996039887
0.0,0.140625,12.805272397836642,0.8008036204541576,12.268677748419348,-0.22996119300377804
0.0,0.1484375,13.421074857407394,0.9430940134279986,12.810149415584677,-0.21398613604715666
0.0,0.15625,14.036877316978146,1.0853844064018394,13.351621082750004,-0.19801107909053606
0.0,0.1640625,14.652679776548897,1.2276747993756802,13.893092749915333,-0.18203602213391523
0.0,0.171875,15.22102653542369,1.3761366446773757,14.395592088177397,-0.1382799934838741
0.0,0.1796875,15.765645443950502,1.5276842161429984,14.87860526198783,-0.0806334789871237
0.0,0.1875,16.310264352477315,1.6792317876086207,15.361618435798263,-0.02298696449037374
0.0,0.1953125,16.854883261004126,1.8307793590742434,15.844631609608694,0.03465955000637644
0.0,0.203125,17.39950216953094,1.9823269305398659,16.32764478341913,0.0923060645031264
0.0,0.2109375,17.89871047493826,2.124901479338917,16.77682301008509,0.16156136354917994
0.0,0.21875,18.307097574106596,2.2495299828048267,17.1583313424621,0.2540342316938413
0.0,0.2265625,18.715484673274933,2.374158486270736,17.53983967483911,0.34650709983850225
0.0,0.234375,19.12387177244327,2.498786989736646,17.92134800721612,0.4389799679831632
0.0,0.2421875,19.532258871611607,2.6234154932025557,18.302856339593134,0.5314528361278246
0.0,0.25,19.940645970779943,2.748043996668465,18.684364671970144,0.6239257042724855
0.0,0.2578125,20.149624795613388,2.809117260068337,18.907478102838578,0.7170738580465303
0.0,0.265625,20.358603620446832,2.870190523468209,19.130591533707012,0.8102220118205747
0.0,0.2734375,20.567582445280276,2.931263786868081,19.353704964575446,0.9033701655946196
0.0,0.28125,20.776561270113724,2.992337050267953,19.576818395443887,0.9965183193686642
0.0,0.2890625,20.98554009494717,3.053410313667825,19.79993182631232,1.089666473142709
0.0,0.296875,21.03747861289289,3.0596300439754147,19.893263553831755,1.1691492526485059
0.0,0.3046875,21.010896977394758,3.0384230077368657,19.921704429676698,1.241799345020179
0.0,0.3125,20.984315341896625,3.0172159714983167,19.95014530552164,1.3144494373918525
0.0,0.3203125,20.957733706398493,2.9960089352597676,19.978586181366584,1.3870995297635256
0.0,0.328125,20.93115207090036,2.9748018990212186,20.007027057211527,1.4597496221351989
0.0,0.3359375,20.82896016239932,2.9285972922752657,19.967035010822322,1.5182120960205236
0.0,0.34375,20.575547707892472,2.8323975445145066,19.790177119964827,1.5482993329331531
0.0,0.3515625,20.32213525338562,2.736197796753748,19.61331922910733,1.5783865698457826
0.0,0.359375,20.068722798878774,2.6399980489929895,19.436461338249835,1.6084738067584121
0.0,0.3671875,19.815310344371923,2.5437983012322305,19.259603447392337,1.6385610436710412
0.0,0.375,19.561897889865076,2.447598553471472,19.082745556534846,1.6686482805836707
0.0,0.3828125,19.12314797436552,2.3022463151135226,18.714417411288224,1.641372524289195
0.0,0.390625,18.684398058865963,2.1568940767555738,18.346089266041602,1.6140967679947198
0.0,0.3984375,18.245648143366406,2.0115418383976245,17.977761120794984,1.586821011700244
0.0,0.40625,17.80689822786685,1.8661896000396756,17.609432975548362,1.5595452554057687
0.0,0.4140625,17.368148312367293,1.7208373616817263,17.24110483030174,1.5322694991112928
0.0,0.421875,16.84619687827637,1.5674435947843062,16.755573514459453,1.4368856889703552
0.0,0.4296875,16.282644684889767,1.4100290636171506,16.211440613319333,1.3074478519061892
0.0,0.4375,15.719092491503163,1.252614532449995,15.66730771217921,1.1780100148420232
0.0,0.4453125,15.155540298116561,1.0952000012828398,15.12317481103909,1.0485721777778574
0.0,0.453125,14.591988104729959,0.9377854701156844,14.57904190989897,0.9191343407136916
0.0,0.4609375,14.006988294536184,0.7891355355772008,14.006988294536184,0.7891355355772008
0.0,0.46875,13.379093250728067,0.6580147942960607,13.379093250728067,0.6580147942960607
0.0,0.4765625,12.75119820691995,0.5268940530149206,12.75119820691995,0.5268940530149206
0.0,0.484375,12.123303163111833,0.39577331173378044,12.123303163111833,0.39577331173378044
0.0,0.4921875,11.495408119303717,0.26465257045264035,11.495408119303717,0.26465257045264035
0.0,0.5,10.8675130754956,0.13353182917150017,10.8675130754956,0.13353182917150017
0.0,0.5078125,10.221644412599897,0.057110520092537184,10.221644412599897,0.057110520092537184
0.0,0.515625,9.575775749704196,-0.019310788986425798,9.575775749704196,-0.019310788986425798
0.0,0.5234375,8.929907086808493,-0.09573209806538877,8.929907086808493,-0.09573209806538877
