model,theta_max_deg,phase_offset_deg,phase,CT,persistence,ldvm_delta_CT,owned_old_CT,owned_polar_CT,target_old_CT,target_polar_CT,profile_reference_delta_CT,polar_reference_delta_CT
v5c0_corrected_v4b_075c,15.0,15.0,0.3984375,-0.06352708730575929,0.0034633706358513545,-0.009233470452187004,-0.0541025968996835,-0.018163612824546493,-0.05445006580613155,-0.01851108173099454,-0.0003474689064480521,3.469446951953614e-18
v4b_legacy_025c,15.0,15.0,0.40625,-0.13586636079397643,0.004357699227718007,-0.027598015319029688,-0.10857006817973877,-0.06692909085034307,-0.10895216112585249,-0.06731118379645679,-0.0003820929461137157,0.0
v5c0_corrected_v4b_075c,15.0,15.0,0.40625,-0.13624845374009018,0.004357699227718007,-0.027598015319029688,-0.10857006817973877,-0.06692909085034307,-0.10895216112585249,-0.06731118379645679,-0.0003820929461137157,0.0
v4b_legacy_025c,15.0,15.0,0.4140625,-0.159340956352209,0.005243656586377539,-0.0002213907240161475,-0.15936675882568646,-0.11244677150145736,-0.15976036535598184,-0.11284037803175276,-0.00039360653029538173,-1.3877787807814457e-17
v5c0_corrected_v4b_075c,15.0,15.0,0.4140625,-0.1597345628825044,0.005243656586377539,-0.0002213907240161475,-0.15936675882568646,-0.11244677150145736,-0.15976036535598184,-0.11284037803175276,-0.00039360653029538173,-1.3877787807814457e-17
v4b_legacy_025c,15.0,15.0,0.421875,-0.19719942151372824,0.006119186304688225,0.008596317684059235,-0.2060596978333293,-0.1543271488925722,-0.20644105357898385,-0.15470850463822675,-0.000381355745654538,0.0
v5c0_corrected_v4b_075c,15.0,15.0,0.421875,-0.19758077725938275,0.006119186304688225,0.008596317684059235,-0.2060596978333293,-0.1543271488925722,-0.20644105357898385,-0.15470850463822675,-0.000381355745654538,0.0
v4b_legacy_025c,15.0,15.0,0.4296875,-0.22533464931701613,0.006982235596143908,0.02269391592785686,-0.248261397208938,-0.19222114673550786,-0.24860622281314987,-0.19256597233971973,-0.00034482560421186803,0.0
v5c0_corrected_v4b_075c,15.0,15.0,0.4296875,-0.225679474921228,0.006982235596143908,0.02269391592785686,-0.248261397208938,-0.19222114673550786,-0.24860622281314987,-0.19256597233971973,-0.00034482560421186803,0.0
v4b_legacy_025c,15.0,15.0,0.4375,-0.23754021349755536,0.007830746077712612,0.047998666350181546,-0.2856313699325397,-0.22582155763471776,-0.2859150431428272,-0.22610523084500522,-0.0002836732102874939,2.7755575615628914e-17
v5c0_corrected_v4b_075c,15.0,15.0,0.4375,-0.23782388670784285,0.007830746077712612,0.047998666350181546,-0.2856313699325397,-0.22582155763471776,-0.2859150431428272,-0.22610523084500522,-0.0002836732102874939,2.7755575615628914e-17
v4b_legacy_025c,15.0,15.0,0.4453125,-0.2747483709233494,0.008662642886224769,0.04295373518023967,-0.3178758721497457,-0.25486289541483265,-0.31807363646038295,-0.2550606597254699,-0.00019776431063722733,0.0
v5c0_corrected_v4b_075c,15.0,15.0,0.4453125,-0.27494613523398664,0.008662642886224769,0.04295373518023967,-0.3178758721497457,-0.25486289541483265,-0.31807363646038295,-0.2550606597254699,-0.00019776431063722733,0.0
v4b_legacy_025c,15.0,15.0,0.453125,-0.27516137884199793,0.009475853559923338,0.06962464060216053,-0.34474813377707053,-0.2791216202933083,-0.3448353448467919,-0.2792088313630297,-8.721106972137127e-05,-5.551115123125783e-17
v5c0_corrected_v4b_075c,15.0,15.0,0.453125,-0.27524858991171924,0.009475853559923338,0.06962464060216053,-0.34474813377707053,-0.2791216202933083,-0.3448353448467919,-0.2792088313630297,-8.721106972137127e-05,-5.551115123125783e-17
v4b_legacy_025c,15.0,15.0,0.4609375,-0.29666836485126397,0.010268316538138485,0.06939929687092831,-0.3660495176425158,-0.2984172173000961,-0.3660019260835217,-0.29836962574110204,4.7591558994086736e-05,0.0
v5c0_corrected_v4b_075c,15.0,15.0,0.4609375,-0.2966207732922699,0.010268316538138485,0.06939929687092831,-0.3660495176425158,-0.2984172173000961,-0.3660019260835217,-0.29836962574110204,4.7591558994086736e-05,0.0
v4b_legacy_025c,15.0,15.0,0.46875,-0.3346540679875323,0.01103798920254896,0.046729442708538446,-0.381629523234725,-0.31261227663909574,-0.38142358946358595,-0.3124063428679567,0.000205933771139033,0.0
