phase,paper_uvlm_CLalpha,paper_uvlm_CDalpha,6_state_CLalpha,6_state_CDalpha,1_state_CLalpha,1_state_CDalpha,qs_added_mass_CLalpha,qs_added_mass_CDalpha
0.50000000,1.20963794,0.04128728,1.23396777,-0.28335194,1.22403023,-0.27889718,1.07750299,-0.23613151
0.50781250,0.97479680,0.05988790,0.98027122,-0.24592503,0.98027122,-0.24045062,0.76774978,-0.17984919
0.51562500,0.71435431,0.06520590,0.69268609,-0.21690275,0.69268609,-0.20660283,0.39522503,-0.14535250
0.52343750,0.52623047,0.06520590,0.46659588,-0.20660283,0.47470548,-0.20660283,0.11258486,-0.13505258
0.53125000,0.35144450,0.05278729,0.25469177,-0.20660283,0.26903810,-0.20660283,-0.16822202,-0.14747119
0.53906250,0.13657965,0.01371972,0.03188455,-0.22494417,0.05063710,-0.22494417,-0.45313883,-0.18653876
0.54687500,-0.08445676,-0.04259173,-0.19883536,-0.25937348,-0.17039931,-0.25937348,-0.75026414,-0.24285020
0.55468750,-0.25488865,-0.08673752,-0.37184242,-0.29658744,-0.34083120,-0.29658744,-0.99139977,-0.31536937
0.56250000,-0.42455833,-0.15521463,-0.55348389,-0.34108082,-0.51030701,-0.34108082,-1.21738091,-0.39741710
0.57031250,-0.62028002,-0.24155633,-0.75064511,-0.41344143,-0.70787944,-0.41178456,-1.49783477,-0.51667879
0.57812500,-0.76435423,-0.31675956,-0.91361108,-0.48846875,-0.87066952,-0.47407646,-1.70456474,-0.62948966
0.58593750,-0.89561360,-0.40257861,-1.07437807,-0.56341667,-1.02056536,-0.54932826,-1.91077204,-0.74218114
0.59375000,-1.06344476,-0.49988691,-1.23175427,-0.64141841,-1.16020402,-0.62743732,-2.10791401,-0.87403705
0.60156250,-1.31804670,-0.64851004,-1.41684433,-0.75708613,-1.34529407,-0.74310504,-2.35244988,-1.05921666
0.60937500,-1.50905019,-0.76517157,-1.56639359,-0.85070560,-1.49475195,-0.83663045,-2.53940664,-1.20864500
0.61718750,-1.61734151,-0.87305437,-1.71669813,-0.96360535,-1.63103512,-0.93062354,-2.71309459,-1.35922639
0.62500000,-1.76092687,-1.00335517,-1.90331037,-1.10369001,-1.81736783,-1.06053362,-2.94634561,-1.55923438
0.63281250,-1.93482291,-1.13604906,-2.05555851,-1.21765186,-1.96991162,-1.17488619,-3.12239267,-1.73052036
0.64062500,-2.11375711,-1.27567832,-2.21409194,-1.33872531,-2.11964614,-1.29571669,-3.30132687,-1.90760960
0.64843750,-2.26955254,-1.41244580,-2.36951774,-1.46960376,-2.28249008,-1.41385899,-3.46969019,-2.08186196
0.65625000,-2.48012963,-1.57743732,-2.58027777,-1.63459528,-2.48012963,-1.57743732,-3.69607277,-2.30824453
0.66406250,-2.66139733,-1.72128172,-2.73702463,-1.76608590,-2.63668978,-1.70892794,-3.86533967,-2.48951225
0.67187500,-2.84708931,-1.88357029,-2.90674344,-1.90045874,-2.80398375,-1.84046473,-4.04905136,-2.66364797
0.67968750,-3.05748667,-2.04955232,-3.11857595,-2.07803803,-3.00426003,-2.00648777,-4.24898775,-2.88560157
0.68750000,-3.24148799,-2.20783878,-3.29864595,-2.22399131,-3.18614203,-2.15062905,-4.43086976,-3.07182610
0.69531250,-3.41733449,-2.34614278,-3.47449245,-2.37451616,-3.36819813,-2.28875563,-4.61292585,-3.25388220
0.70312500,-3.60472632,-2.49584085,-3.65136830,-2.51369825,-3.53674308,-2.42785762,-4.78147080,-3.42242716
0.71093750,-3.84042160,-2.66439941,-3.87760576,-2.69868262,-3.76312567,-2.60724144,-4.99346110,-3.63441745
0.71875000,-4.01780051,-2.79568808,-4.05680630,-2.83857292,-3.94207917,-2.73853011,-5.16248543,-3.79292853
0.72656250,-4.20043103,-2.92617823,-4.22921562,-2.96959719,-4.11448848,-2.86926948,-5.33084283,-3.95690848
0.73437500,-4.39079072,-3.05328742,-4.42671844,-3.11758852,-4.30505226,-3.01746080,-5.51405938,-4.11204294
0.74218750,-4.58146034,-3.18060355,-4.61056549,-3.25215381,-4.49592901,-3.15181897,-5.69747984,-4.26752707
0.75000000,-4.74678865,-3.27073910,-4.77935979,-3.36466594,-4.66504386,-3.26054456,-5.84421812,-4.38076181
0.75781250,-4.89653490,-3.34561222,-4.93954795,-3.46858655,-4.82498464,-3.35427062,-5.98401720,-4.48468242
0.76562500,-5.03422030,-3.40765756,-5.09023662,-3.56279994,-4.97588712,-3.44848401,-6.12148879,-4.57851818
0.77343750,-5.19872619,-3.45611148,-5.26415289,-3.65006630,-5.14156823,-3.53551927,-6.27828368,-4.66593106
0.78125000,-5.31747494,-3.48088775,-5.38902519,-3.70619994,-5.27248593,-3.59183072,-6.39037086,-4.72188460
0.78906250,-5.42765451,-3.49444234,-5.50151910,-3.75715844,-5.38720317,-3.63110005,-6.48618055,-4.74446972
0.79687500,-5.52847508,-3.47231063,-5.62480688,-3.77959572,-5.51049095,-3.66527979,-6.58703105,-4.75621218
0.80468750,-5.59187593,-3.43599989,-5.70821521,-3.78132604,-5.60626822,-3.66701011,-6.65073746,-4.75227787
0.81250000,-5.64184800,-3.38523275,-5.77730680,-3.76237507,-5.66276612,-3.64805914,-6.69418371,-4.70803655
0.82031250,-5.67953881,-3.31038957,-5.82263932,-3.72188546,-5.71898865,-3.60756954,-6.71302911,-4.65203878
0.82812500,-5.68636551,-3.19595529,-5.84934644,-3.65127925,-5.74942281,-3.54521362,-6.72493541,-4.54101786
0.83593750,-5.67598915,-3.09177153,-5.84746304,-3.57421509,-5.74753941,-3.45989916,-6.69568975,-4.42645774
0.84375000,-5.64159128,-2.96411939,-5.82839088,-3.47950519,-5.72805604,-3.36517390,-6.65713422,-4.29425209
0.85156250,-5.57798145,-2.80811559,-5.77845365,-3.34501874,-5.67811881,-3.23798583,-6.57200704,-4.12439356
0.85937500,-5.48651035,-2.64020168,-5.68718003,-3.19804759,-5.61530209,-3.09771743,-6.45959318,-3.92802275
0.86718750,-5.38422117,-2.46651535,-5.58883106,-3.04326882,-5.51728081,-2.94757228,-6.32835558,-3.73567624
0.87500000,-5.24421718,-2.28786206,-5.46742968,-2.87465640,-5.39587942,-2.78871386,-6.17953803,-3.52960680
0.88281250,-5.03324041,-2.05721727,-5.29474693,-2.65840390,-5.22319668,-2.57246135,-5.94889324,-3.24792629
0.89062500,-4.85413878,-1.87003993,-5.11793927,-2.47099102,-5.05463279,-2.39329225,-5.74522833,-3.01251321
0.89843750,-4.66057892,-1.68300113,-4.93072480,-2.28377655,-4.86088630,-2.21222630,-5.52053145,-2.77532243
0.90625000,-4.44436785,-1.48106865,-4.70598954,-2.07763883,-4.63864452,-2.01029382,-5.24131665,-2.51292216
0.91406250,-4.16842337,-1.25952836,-4.42813780,-1.84591150,-4.37097984,-1.78875354,-4.91919328,-2.22488338
0.92187500,-3.91180491,-1.08794711,-4.18143846,-1.65769879,-4.12645568,-1.60054082,-4.63245988,-1.98035922
0.92968750,-3.66822856,-0.91932544,-3.91937522,-1.47062477,-3.87619835,-1.41995690,-4.31424153,-1.74346384
0.93750000,-3.34678156,-0.72349645,-3.57427209,-1.25116908,-3.54548750,-1.20840341,-3.91301783,-1.46275914
0.94531250,-3.07698114,-0.57279700,-3.29163192,-1.08169327,-3.26284733,-1.04503881,-3.58000280,-1.25574823
0.95312500,-2.79585654,-0.44397923,-3.01050731,-0.92369448,-2.98172272,-0.89501915,-3.24034491,-1.06005075
0.96093750,-2.53853066,-0.32911954,-2.72232313,-0.78578722,-2.69498661,-0.75738422,-2.89213452,-0.86965606
0.96875000,-2.22376602,-0.19984446,-2.36149339,-0.63357656,-2.34722768,-0.60479197,-2.46474697,-0.67081106
0.97656250,-1.98068712,-0.12070069,-2.08104230,-0.52123799,-2.06665001,-0.50683552,-2.12383820,-0.53564016
0.98437500,-1.72155784,-0.04985711,-1.80295199,-0.43156331,-1.78855969,-0.41717101,-1.78475837,-0.41262261
0.99218750,-1.43283800,0.00634901,-1.47732721,-0.33873352,-1.46332151,-0.32434123,-1.37993965,-0.29641842
