series,model_label,data_role,theta_max_deg,phase_offset_deg,observation_id,replicate,CT,CT_error_minus,CT_error_plus,mean_thrust_n,mean_drag_n,profile_drag_coefficient
authors_qs_added_mass,Authors' quasi-steady + added mass,numerical_reference,25.0,90.0,,1,0.120535915,,,,,0.057
authors_qs_added_mass,Authors' quasi-steady + added mass,numerical_reference,25.0,105.0,,1,0.12678588,,,,,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,15.0,15.0,,1,0.25061642364265885,,,36.05106745436225,-36.05106745436225,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,15.0,15.0,,1,-0.23495779720433044,,,-33.79858060706869,33.79858060706869,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,15.0,15.0,,1,-0.23495779720433044,,,-33.79858060706869,33.79858060706869,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,15.0,15.0,,1,0.2388151102751092,,,34.35345347488009,-34.35345347488009,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,15.0,30.0,,1,0.23699089504971355,,,34.09104087962343,-34.09104087962343,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,15.0,30.0,,1,-0.1413231708614505,,,-20.32927886982778,20.32927886982778,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,15.0,30.0,,1,-0.1413231708614505,,,-20.32927886982778,20.32927886982778,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,15.0,30.0,,1,0.22580815812707464,,,32.482408862364764,-32.482408862364764,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,15.0,45.0,,1,0.22365860775936844,,,32.173196943303864,-32.173196943303864,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,15.0,45.0,,1,-0.053618110081386734,,,-7.71294265245619,7.71294265245619,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,15.0,45.0,,1,-0.053618110081386734,,,-7.71294265245619,7.71294265245619,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,15.0,45.0,,1,0.21168446754642195,,,30.450721894579857,-30.450721894579857,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,15.0,60.0,,1,0.21199313802880002,,,30.495124014040506,-30.495124014040506,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,15.0,60.0,,1,0.02362597267740586,,,3.398586262975856,-3.398586262975856,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,15.0,60.0,,1,0.02362597267740586,,,3.398586262975856,-3.398586262975856,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,15.0,60.0,,1,0.19758734406172604,,,28.422856592408415,-28.422856592408415,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,15.0,75.0,,1,0.20311578289311827,,,29.218120200159905,-29.218120200159905,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,15.0,75.0,,1,0.08905713546640565,,,12.810831594059866,-12.810831594059866,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,15.0,75.0,,1,0.08905713546640565,,,12.810831594059866,-12.810831594059866,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,15.0,75.0,,1,0.18462482324736162,,,26.558203408610918,-26.558203408610918,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,15.0,90.0,,1,0.1977414696647283,,,28.445027495773477,-28.445027495773477,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,15.0,90.0,,1,0.1530149688460518,,,22.011139107394005,-22.011139107394005,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,15.0,90.0,,1,0.1530149688460518,,,22.011139107394005,-22.011139107394005,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,15.0,90.0,,1,0.17375650208115645,,,24.994799966076744,-24.994799966076744,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,15.0,105.0,,1,0.1961129737363473,,,28.210769039324802,-28.210769039324802,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,15.0,105.0,,1,0.19225233132969163,,,27.65541724794354,-27.65541724794354,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,15.0,105.0,,1,0.19225233132969163,,,27.65541724794354,-27.65541724794354,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,15.0,105.0,,1,0.16570173190432105,,,23.83612465360592,-23.83612465360592,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,25.0,45.0,,1,0.11968876282358074,,,17.217178345160967,-17.217178345160967,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,25.0,45.0,,1,-0.2277961834126508,,,-32.76838546609076,32.76838546609076,0.057
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),local_model_prediction,25.0,45.0,,1,-0.2277961834126508,,,-32.76838546609076,32.76838546609076,0.057
one_state_ullt_local,Local one-state ULLT + source Cd0,local_model_prediction,25.0,45.0,,1,0.1274338191725328,,,18.331301453357696,-18.331301453357696,0.057
fluxv_uvpm,FluxV old (UVLM + source Cd0),local_model_prediction,25.0,60.0,,1,0.09692827746013025,,,13.943092069387822,-13.943092069387822,0.057
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),local_model_prediction,25.0,60.0,,1,-0.10514466030135917,,,-15.125015295865422,15.125015295865422,0.057
