steps_per_cycle,delta_time_s,core_ratio,step,phase_t_over_T,active_strip_count,material_ring_count,max_abs_q_m2_s,q_l2_m2_s,max_abs_q_over_Uc,augmented_condition_number,no_penetration_max_abs,lesp_constraint_max_abs,eq9_max_abs_m2_s,material_geometry_finite,force_scoring_status,canonical_eligible
20,0.02,0.49,8,0.4,4,19,2.5116044343068697,2.5410553934225035,3.5127334745550622,301.8060622147566,3.552713678800501e-15,2.7755575615628914e-17,0.0,True,blocked_mechanical_time_march_unscored,False
20,0.02,0.49,9,0.45,4,23,7.426481690800968,7.787981881054232,10.386687679441913,1731.2996218424053,4.440892098500626e-15,8.326672684688674e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,0,0.0,4,4,0.05041876685350753,0.07630563041297808,0.07051575783707346,84.94014618881016,4.440892098500626e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,1,0.025,1,5,0.07552245929405786,0.07552245929405786,0.10562581719448651,66.06040667348118,2.220446049250313e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,2,0.05,0,5,0.0,0.0,0.0,2.1638598949664707,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,3,0.075,0,5,0.0,0.0,0.0,2.1631572337534926,4.440892098500626e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,4,0.1,0,5,0.0,0.0,0.0,2.1620508397054974,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,5,0.125,0,5,0.0,0.0,0.0,2.160522645482222,1.1102230246251565e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,6,0.15,0,5,0.0,0.0,0.0,2.1585787050256733,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,7,0.175,0,5,0.0,0.0,0.0,2.156271149598691,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,8,0.2,0,5,0.0,0.0,0.0,2.153715856835117,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,9,0.225,1,6,0.0012712571067799354,0.0012712571067799354,0.001777981967524385,68.46899209522765,4.440892098500626e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,10,0.25,4,10,0.048184736663392035,0.06788175658775815,0.06739124008866018,83.79019588484135,4.440892098500626e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,11,0.275,4,14,0.11806559746337764,0.1756435581316907,0.16512670973898969,80.87136401966583,8.881784197001252e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,12,0.3,4,18,0.24392475590738774,0.3658013275802757,0.3411535047655772,78.79000316087046,8.881784197001252e-16,2.7755575615628914e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,13,0.325,4,22,0.6225925864536339,0.9407812434199294,0.8707588621729144,76.35552227617121,1.7763568394002505e-15,4.163336342344337e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,14,0.35,4,26,1.2745963406006782,1.8560625118755263,1.782652224616333,78.59754064058973,2.6645352591003757e-15,2.498001805406602e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,15,0.375,4,30,1.1963097081825742,1.7412469767118215,1.6731604310245791,81.7769926622338,3.552713678800501e-15,1.249000902703301e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,16,0.4,4,34,1.0578377884257055,1.8858622736367723,1.479493410385602,91.38795679957497,1.7763568394002505e-15,1.5265566588595902e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,17,0.425,4,38,1.0443931830673077,1.8936788113262337,1.4606897665277028,94.6230087494444,3.552713678800501e-15,1.942890293094024e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,18,0.45,4,42,1.1459999119749456,1.7978497471534676,1.6027970796852384,90.8690939884334,3.552713678800501e-15,1.8041124150158794e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.1,19,0.475,4,46,2.3949511442056837,2.568241887786307,3.349582019868089,85.28469329945621,3.552713678800501e-15,2.914335439641036e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,0,0.0,4,4,0.05041876685350753,0.07630563041297808,0.07051575783707346,84.94014618881016,4.440892098500626e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,1,0.025,0,4,0.0,0.0,0.0,2.1641834767402273,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,2,0.05,0,4,0.0,0.0,0.0,2.1638598949664707,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,3,0.075,0,4,0.0,0.0,0.0,2.1631572337534926,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,4,0.1,0,4,0.0,0.0,0.0,2.1620508397054974,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,5,0.125,0,4,0.0,0.0,0.0,2.160522645482222,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,6,0.15,0,4,0.0,0.0,0.0,2.1585787050256733,1.1102230246251565e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,7,0.175,0,4,0.0,0.0,0.0,2.156271149598691,3.3306690738754696e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,8,0.2,0,4,0.0,0.0,0.0,2.153715856835117,3.3306690738754696e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,9,0.225,1,5,0.0008954315184548056,0.0008954315184548056,0.001252351774062665,68.46868480420986,2.220446049250313e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,10,0.25,4,9,0.04776139606087149,0.06735468279812265,0.0667991553298902,83.79004352918311,4.440892098500626e-16,2.7755575615628914e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,11,0.275,4,13,0.11775440101096253,0.17656160638373333,0.16469146994540212,80.72086012965666,8.881784197001252e-16,4.163336342344337e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,12,0.3,4,17,0.2423741093850756,0.36043140616936625,0.33898476837073505,78.83408116001236,1.3322676295501878e-15,2.7755575615628914e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,13,0.325,4,21,0.4254937695839233,0.7412137630607732,0.5950961812362563,76.20867373494846,1.7763568394002505e-15,9.71445146547012e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,14,0.35,4,25,1.8759412717838977,2.24532960391132,2.6236940864110454,79.48978382624776,3.552713678800501e-15,4.3021142204224816e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,15,0.375,4,29,1.459467176356184,2.043520823170007,2.0412128340645928,86.08110548507794,1.7763568394002505e-15,2.636779683484747e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,16,0.4,4,33,1.2512596885523999,2.0952630889603627,1.7500135504229366,82.98907108792251,1.7763568394002505e-15,3.469446951953614e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,17,0.425,4,37,1.1887566651598078,2.078451697642442,1.6625967344892416,89.88695688695468,3.552713678800501e-15,8.326672684688674e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,18,0.45,4,41,1.678809940899253,2.4552769273771844,2.347985931327626,88.04933002536985,1.7763568394002505e-15,1.942890293094024e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.25,19,0.475,4,45,1.9269686807923914,3.26666573661641,2.69506109201733,85.88450779365573,7.105427357601002e-15,5.689893001203927e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,0,0.0,4,4,0.05041876685350753,0.07630563041297808,0.07051575783707346,84.94014618881016,4.440892098500626e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,1,0.025,0,4,0.0,0.0,0.0,2.1641834767402273,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,2,0.05,0,4,0.0,0.0,0.0,2.1638598949664707,4.440892098500626e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,3,0.075,0,4,0.0,0.0,0.0,2.1631572337534926,4.440892098500626e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,4,0.1,0,4,0.0,0.0,0.0,2.1620508397054974,2.220446049250313e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,5,0.125,0,4,0.0,0.0,0.0,2.160522645482222,1.1102230246251565e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,6,0.15,0,4,0.0,0.0,0.0,2.1585787050256733,1.1102230246251565e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,7,0.175,0,4,0.0,0.0,0.0,2.156271149598691,5.551115123125783e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,8,0.2,0,4,0.0,0.0,0.0,2.153715856835117,4.440892098500626e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,9,0.225,1,5,0.0007330431159822797,0.0007330431159822797,0.0010252351272479435,68.46855211776916,2.220446049250313e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,10,0.25,4,9,0.04756380974484464,0.0671022124045721,0.06652281083195054,83.78995513130745,6.661338147750939e-16,1.3877787807814457e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,11,0.275,4,13,0.11770348717954292,0.17743221941216838,0.16462026178957048,80.60990038857533,8.881784197001252e-16,2.7755575615628914e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,12,0.3,4,17,0.23857113240479635,0.34316217082941114,0.3336659194472676,79.10668317423811,8.881784197001252e-16,4.163336342344337e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,13,0.325,4,21,0.37779076372891945,0.6079434214483733,0.5283786905299572,76.10407717704615,8.881784197001252e-16,1.1102230246251565e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,14,0.35,4,25,0.87873185465564,1.16577390306698,1.228995600916979,77.27134329424898,1.7763568394002505e-15,2.0816681711721685e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,15,0.375,3,28,0.6471234330087671,0.9770645192317038,0.9050677384738,78.65015539958904,3.552713678800501e-15,1.1102230246251565e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,16,0.4,4,32,1.7650230169866776,2.07274991685986,2.468563660121227,84.08541220355926,3.552713678800501e-15,1.942890293094024e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,17,0.425,3,35,1.2820114693649456,1.62971985334646,1.7930230340768467,78.9918525754285,3.552713678800501e-15,2.3592239273284576e-16,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,18,0.45,3,38,0.5556069839978787,0.8236029687192937,0.7770727048921379,86.92010287157875,1.7763568394002505e-15,5.551115123125783e-17,0.0,True,blocked_mechanical_time_march_unscored,False
40,0.01,0.49,19,0.475,4,42,1.2904625603088518,1.8463549642538808,1.8048427416907016,112.68092621557692,8.881784197001252e-16,9.71445146547012e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,0,0.0,4,4,0.041625737414392544,0.061716923416499446,0.05821781456558397,87.98412739420374,8.881784197001252e-16,2.7755575615628914e-17,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,1,0.0125,0,4,0.0,0.0,0.0,2.0762853912477652,3.3306690738754696e-16,0.0,0.0,True,blocked_mechanical_time_march_unscored,False
80,0.005,0.1,2,0.025,1,5,0.10604539381815375,0.10604539381815375,0.14831523610930594,71.19981887914963,2.220446049250313e-16,2.7755575615628914e-17,0.0,True,blocked_mechanical_time_march_unscored,False
