theta_max_deg,phase_offset_deg,old_fluxv_CT,attached_ullt_CT,persistent_polar_CT,v4_CT,persistence_fraction,ldvm_delta_CT,ldvm_shedding_fraction,lesp_critical
15.0,15.0,0.25061642364265885,0.2388151102751092,-0.2349577972043304,0.12563248561353998,0.011860735596017535,-0.11930034703168726,0.5,0.23931566428755777
15.0,30.0,0.23699089504971355,0.22580815812707464,-0.1413231708614507,0.15774481675345803,0.011859693886742118,-0.0744555269830103,0.4609375,0.23931566428755777
15.0,45.0,0.22365860775936844,0.21168446754642195,-0.053618110081386866,0.18526592827182323,0.011843101280999933,-0.034487275192480786,0.40625,0.23931566428755777
15.0,60.0,0.21199313802880002,0.19758734406172604,0.023625972677405824,0.21560882955971306,0.011796575360356373,0.006757096346498409,0.34375,0.23931566428755777
15.0,75.0,0.20311578289311827,0.18462482324736162,0.08905713546640565,0.21242681657604617,0.011728650405911766,0.011497463206654013,0.1953125,0.23931566428755777
15.0,90.0,0.1977414696647283,0.17375650208115645,0.1530149688460516,0.1968505800454342,0.0116966696792086,6.382013216485917e-07,0.0,0.23931566428755777
15.0,105.0,0.1961129737363473,0.16570173190432105,0.19225233132969155,0.1959443533029437,0.01174117450737027,0.0,0.0,0.23931566428755777
25.0,45.0,0.11968876282358074,0.1274338191725328,-0.22779618341265095,0.06136984545005239,0.012014385693051507,-0.05378715599105048,0.4375,0.23931566428755777
25.0,60.0,0.09692827746013025,0.10177943115004079,-0.10514466030135933,0.10287447026925897,0.012047164703369475,0.009250586316038933,0.3359375,0.23931566428755777
25.0,75.0,0.07958366197720826,0.0788421815284886,-0.006743180591028598,0.07794576740217207,0.011936392266427485,0.0,0.0,0.23931566428755777
25.0,90.0,0.06908804703750882,0.06042423047281193,0.06892285459128092,0.06904120092253989,0.011469033419262675,0.0,0.0,0.23931566428755777
25.0,105.0,0.0658269238104921,0.04777564297481443,0.06582692381049196,0.06577577718673688,0.011981080856502084,0.0,0.0,0.23931566428755777
