figure,series,wing_type,marker,U_m_s,Re,alpha_deg,Cn,digitization_uncertainty,evidence_role
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,10,0.48,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,10,0.4492,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,10,0.4508,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,11,0.9615,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,11,0.7662,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,11,0.62,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,11,0.5446,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,11,0.5215,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,11,0.5246,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,12,1.0154,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,12,0.8108,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,12,0.6692,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,12,0.5969,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,12,0.5677,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,12,0.5692,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,13,1.1015,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,13,0.8831,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,13,0.74,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,13,0.6523,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,13,0.6323,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,13,0.6323,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,14,1.1646,0.012,digitized_approx
