figure,series,wing_type,marker,U_m_s,Re,alpha_deg,zmax_over_c,digitization_uncertainty,evidence_role
6,flexible_U7p5,flexible_membrane,square,7.5,36500,22,0.06106,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,22,0.0486,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,23,0.07449,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,23,0.06135,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,23,0.04715,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,24,0.07739,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,24,0.05942,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,24,0.04773,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,25,0.08,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,25,0.06193,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,25,0.04696,0.0007,digitized_approx
