figure,AR,alpha_deg,Re,fc_over_U,PSD,digitization_uncertainty,evidence_role
12,2,15,48700,0.95,0.008074,0.00035,digitized_trace_approx
12,2,15,48700,0.96,0.007299,0.00035,digitized_trace_approx
12,2,15,48700,0.97,0.007317,0.00035,digitized_trace_approx
12,2,15,48700,0.98,0.007101,0.00035,digitized_trace_approx
12,2,15,48700,0.99,0.006668,0.00035,digitized_trace_approx
12,2,15,48700,1.0,0.006488,0.00035,digitized_trace_approx
12,2,15,48700,1.01,0.00656,0.00035,digitized_trace_approx
12,2,15,48700,1.02,0.006344,0.00035,digitized_trace_approx
12,2,15,48700,1.03,0.006164,0.00035,digitized_trace_approx
12,2,15,48700,1.04,0.005875,0.00035,digitized_trace_approx
12,2,15,48700,1.05,0.005875,0.00035,digitized_trace_approx
12,2,15,48700,1.06,0.005875,0.00035,digitized_trace_approx
12,2,15,48700,1.07,0.005875,0.00035,digitized_trace_approx
12,2,15,48700,1.08,0.005731,0.00035,digitized_trace_approx
12,2,15,48700,1.09,0.005551,0.00035,digitized_trace_approx
12,2,15,48700,1.1,0.005227,0.00035,digitized_trace_approx
12,2,15,48700,1.11,0.004938,0.00035,digitized_trace_approx
12,2,15,48700,1.12,0.005227,0.00035,digitized_trace_approx
12,2,15,48700,1.13,0.005227,0.00035,digitized_trace_approx
12,2,15,48700,1.14,0.004686,0.00035,digitized_trace_approx
12,2,15,48700,1.15,0.004866,0.00035,digitized_trace_approx
12,2,15,48700,1.16,0.004902,0.00035,digitized_trace_approx
12,2,15,48700,1.17,0.00474,0.00035,digitized_trace_approx
12,2,15,48700,1.18,0.004398,0.00035,digitized_trace_approx
12,2,15,48700,1.19,0.004614,0.00035,digitized_trace_approx
12,2,15,48700,1.2,0.00465,0.00035,digitized_trace_approx
12,2,15,48700,1.21,0.00456,0.00035,digitized_trace_approx
12,2,15,48700,1.22,0.004289,0.00035,digitized_trace_approx
12,2,15,48700,1.23,0.003767,0.00035,digitized_trace_approx
12,2,15,48700,1.24,0.003965,0.00035,digitized_trace_approx
12,2,15,48700,1.25,0.004037,0.00035,digitized_trace_approx
12,2,15,48700,1.26,0.003965,0.00035,digitized_trace_approx
12,2,15,48700,1.27,0.003767,0.00035,digitized_trace_approx
12,2,15,48700,1.28,0.003749,0.00035,digitized_trace_approx
12,2,15,48700,1.29,0.003677,0.00035,digitized_trace_approx
12,2,15,48700,1.3,0.003677,0.00035,digitized_trace_approx
12,2,15,48700,1.31,0.003713,0.00035,digitized_trace_approx
12,2,15,48700,1.32,0.00346,0.00035,digitized_trace_approx
12,2,15,48700,1.33,0.00346,0.00035,digitized_trace_approx
12,2,15,48700,1.34,0.003514,0.00035,digitized_trace_approx
12,2,15,48700,1.35,0.003496,0.00035,digitized_trace_approx
12,2,15,48700,1.36,0.003424,0.00035,digitized_trace_approx
12,2,15,48700,1.37,0.003316,0.00035,digitized_trace_approx
12,2,15,48700,1.38,0.00283,0.00035,digitized_trace_approx
12,2,15,48700,1.39,0.002775,0.00035,digitized_trace_approx
12,2,15,48700,1.4,0.002703,0.00035,digitized_trace_approx
12,2,15,48700,1.41,0.002541,0.00035,digitized_trace_approx
12,2,15,48700,1.42,0.002775,0.00035,digitized_trace_approx
12,2,15,48700,1.43,0.002992,0.00035,digitized_trace_approx
12,2,15,48700,1.44,0.003028,0.00035,digitized_trace_approx
12,2,15,48700,1.45,0.002992,0.00035,digitized_trace_approx
