figure,case_id,quantity,point_index,phase,coefficient,x_pdf,y_pdf,is_plot_boundary_intersection
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,0,2.4340033400984433e-10,0.5518544024514085,111.80519104003906,384.92218017578125,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,1,0.016492642818245664,0.5599567892582333,114.5182113647461,384.04437255859375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,2,0.03298343020791718,0.5638961537240048,117.23092651367188,383.6175842285156,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,3,0.04947704675497876,0.5633015167281346,119.94410705566406,383.6820068359375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,4,0.06597010674648819,0.5580466833989273,122.65719604492188,384.2513122558594,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,5,0.08246325949725632,0.5482226379853956,125.37030029296875,385.3156433105469,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,6,0.0989540005072985,0.5341096570440962,128.0830078125,386.8446350097656,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,7,0.11544715325806662,0.5161691405746665,130.79611206054688,388.7882995605469,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,8,0.13194030600883475,0.4950030493824947,133.50921630859375,391.0814208984375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,9,0.14843336600034418,0.47133869408972034,136.22230529785156,393.64520263671875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,10,0.16492419976964504,0.4460163409960502,138.93502807617188,396.38861083984375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,11,0.18141725976115447,0.4199520296612043,141.6481170654297,399.21240234375,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,12,0.1979104125119226,0.3941294040404543,144.36122131347656,402.010009765625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,13,0.21440347250343203,0.3695591498472925,147.07431030273438,404.67193603515625,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,14,0.23089421351347422,0.3472525161651738,149.78701782226562,407.088623046875,0
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,15,0.24738736626424235,0.3281959637991844,152.5001220703125,409.1531982421875,0
