coarse_steps_per_cycle,fine_steps_per_cycle,relative_l2_loss_fraction,fine_mean_loss_fraction,fine_max_loss_fraction
32,64,0.02084592215543788,0.17037250684625005,0.38827721511356966
64,128,0.013494283187868491,0.1687740098082373,0.38691977664620203
128,256,0.0037278172657489346,0.1682380760977945,0.38634214765536473
