figure,case_id,model,quantity,phase,experiment,experiment_std,prediction
10,razak2014_fig10,fluxv_old,CL,2.4340033400984433e-10,-0.014209355108113386,0.28665053144978514,-0.32714722248026845
10,razak2014_fig10,fluxv_old,CL,0.016796800427492643,-0.05321095152651745,0.2898937368157408,-0.3267873337478065
10,razak2014_fig10,fluxv_old,CL,0.03359471372268924,-0.09432739713333305,0.29024527860181715,-0.3210453444120273
10,razak2014_fig10,fluxv_old,CL,0.0503915602864109,-0.13582443320145665,0.2884741544650559,-0.310246471428834
10,razak2014_fig10,fluxv_old,CL,0.06718673718347612,-0.1759019925504416,0.2861125499844947,-0.2948528619682909
10,razak2014_fig10,fluxv_old,CL,0.08398395478423254,-0.2127703598913785,0.2851652462773035,-0.27541797079500935
10,razak2014_fig10,fluxv_old,CL,0.10078117238498896,-0.24471333949158047,0.2876315316202451,-0.2525509963249875
10,razak2014_fig10,fluxv_old,CL,0.11757848274500406,-0.27018057714604715,0.294888947008578,-0.2268388264911389
10,razak2014_fig10,fluxv_old,CL,0.1343757003457605,-0.2878425942130848,0.3071929095212484,-0.19885000119294527
10,razak2014_fig10,fluxv_old,CL,0.1511730107057756,-0.2966564904361034,0.3235374899428703,-0.16913344470650354
10,razak2014_fig10,fluxv_old,CL,0.167970228306532,-0.295911471140071,0.3419939618696074,-0.13807665437348207
10,razak2014_fig10,fluxv_old,CL,0.18476521968507983,-0.28525303685561465,0.3601775875122594,-0.10595898283204984
10,razak2014_fig10,fluxv_old,CL,0.20156243728583625,-0.2647240739905311,0.37570088266142243,-0.07293759229642673
10,razak2014_fig10,fluxv_old,CL,0.21835974764585137,-0.23473527799682292,0.3864613570196016,-0.039086887051674145
10,razak2014_fig10,fluxv_old,CL,0.23515696524660779,-0.1960767728407914,0.39078749699819376,-0.004387997588940227
10,razak2014_fig10,fluxv_old,CL,0.2519542756066229,-0.1498830413296659,0.3875786218847846,0.031191223434671504
10,razak2014_fig10,fluxv_old,CL,0.2687514932073793,-0.09757588407660367,0.37634058730579684,0.06767990390050445
10,razak2014_fig10,fluxv_old,CL,0.2855487108081357,-0.040834103246902176,0.3573041981898894,0.10507728829970736
10,razak2014_fig10,fluxv_old,CL,0.30234592840889213,0.018508009357991684,0.33154277667898574,0.1433078627398922
10,razak2014_fig10,fluxv_old,CL,0.31914091978743997,0.07849046039653773,0.301205185319405,0.1821873935763629
10,razak2014_fig10,fluxv_old,CL,0.3359381373881964,0.13714501726658457,0.26989166410358656,0.22142188588912293
10,razak2014_fig10,fluxv_old,CL,0.35273544774821153,0.1925565800337683,0.24308068754867626,0.2605446167973213
10,razak2014_fig10,fluxv_old,CL,0.3695327581082266,0.24292497588609607,0.22785675220171886,0.29895786060079893
10,razak2014_fig10,fluxv_old,CL,0.38632997570898303,0.28666794989158584,0.2303258895964104,0.3359575001421197
10,razak2014_fig10,fluxv_old,CL,0.40312719330973945,0.322457924776377,0.2513327295769414,0.370752979876935
10,razak2014_fig10,fluxv_old,CL,0.41992441091049587,0.3492845348001392,0.28594734224608626,0.40250820653904884
10,razak2014_fig10,fluxv_old,CL,0.4367194022890437,0.366494871375211,0.327365471549126,0.43038801083105493
10,razak2014_fig10,fluxv_old,CL,0.45351661988980013,0.37380499690514624,0.3697258342451346,0.45356850076286753
10,razak2014_fig10,fluxv_old,CL,0.47031383749055655,0.37132550761891747,0.4086670094190568,0.47130467160590606
10,razak2014_fig10,fluxv_old,CL,0.48711124060983035,0.35953364684269484,0.44104075446505786,0.4832097870762563
10,razak2014_fig10,fluxv_old,CL,0.5039084582105867,0.3392719317897426,0.46462437038595705,0.4889901848130314
10,razak2014_fig10,fluxv_old,CL,0.5207056758113432,0.3116867816320217,0.4779458815841061,0.48856685108945747
10,razak2014_fig10,fluxv_old,CL,0.5375028934120996,0.2781978843517636,0.4802050234647593,0.4820762476676116
10,razak2014_fig10,fluxv_old,CL,0.5542978847906475,0.24041907871329338,0.4712365882895081,0.46985646732387804
10,razak2014_fig10,fluxv_old,CL,0.5710951023914038,0.20010289770122358,0.4515022915472166,0.45230876642465334
10,razak2014_fig10,fluxv_old,CL,0.5878923199921603,0.15904412691868608,0.42214601725273465,0.4301505188086774
10,razak2014_fig10,fluxv_old,CL,0.6046897231114341,0.11902973523438665,0.3850440985629352,0.40414475310004316
10,razak2014_fig10,fluxv_old,CL,0.6214869407121905,0.08173873607671567,0.34298299003758587,0.3750150473715973
10,razak2014_fig10,fluxv_old,CL,0.6382841583129469,0.048685674556478764,0.29995894433619336,0.3434513232921154
10,razak2014_fig10,fluxv_old,CL,0.655081468672962,0.021147741699952816,0.2615739192535247,0.3100706586540903
10,razak2014_fig10,fluxv_old,CL,0.6718786862737185,0.00011724025305126506,0.23504888729444026,0.27538848471902033
10,razak2014_fig10,fluxv_old,CL,0.6886736776522663,-0.01374753398770312,0.2270722267073713,0.23978732465431557
10,razak2014_fig10,fluxv_old,CL,0.7054708952530226,-0.020136658065474933,0.23916587681136445,0.2035685381321966
10,razak2014_fig10,fluxv_old,CL,0.7222681128537791,-0.019116046065153713,0.2660738231257754,0.1669027051050241
10,razak2014_fig10,fluxv_old,CL,0.7390654232137942,-0.011102731331519733,0.30000088006007325,0.1298748353678534
10,razak2014_fig10,fluxv_old,CL,0.7558626408145507,0.003147809316311201,0.3344553553050319,0.09252161101363411
10,razak2014_fig10,fluxv_old,CL,0.7726599511745658,0.022559296053119127,0.3650132940701882,0.05486710092756604
10,razak2014_fig10,fluxv_old,CL,0.7894571687753222,0.045815031654312555,0.3889038752646263,0.016959130036118673
10,razak2014_fig10,fluxv_old,CL,0.8062520673946114,0.07139540069486316,0.4045449495879104,-0.02108293915545882
10,razak2014_fig10,fluxv_old,CL,0.8230492849953678,0.09766321983871451,0.4112751579286752,-0.05906101491545174
10,razak2014_fig10,fluxv_old,CL,0.8398466881146416,0.12292606045109644,0.4091866109952916,-0.09666081228925379
10,razak2014_fig10,fluxv_old,CL,0.8566439057153981,0.14552043694092454,0.39905041907572747,-0.13345956373944695
