case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
W1,fluxv_old,0.0,0.4364289963306539,0.03848638877537684,,,,
W1,fluxv_old,0.0078125,0.48753943798288885,0.034880885717494974,,,,
W1,fluxv_old,0.015625,0.5398632069629739,0.029642126820851905,,,,
W1,fluxv_old,0.0234375,0.593258125429791,0.022712345310636785,,,,
W1,fluxv_old,0.03125,0.6476780616361537,0.014056204083126736,,,,
W1,fluxv_old,0.0390625,0.7030399111129616,0.0036447959346239765,,,,
W1,fluxv_old,0.046875,0.7592473024988702,-0.008539889680430113,,,,
W1,fluxv_old,0.0546875,0.8161937972389792,-0.02250321645266658,,,,
W1,fluxv_old,0.0625,0.8737594206905519,-0.03823699601101151,,,,
W1,fluxv_old,0.0703125,0.9318097628909296,-0.055718199499054134,,,,
W1,fluxv_old,0.078125,0.9901954559393211,-0.07490762255944974,,,,
W1,fluxv_old,0.0859375,1.0487519382364403,-0.0957485778456816,,,,
W1,fluxv_old,0.09375,1.1072993568485632,-0.11816567315083586,,,,
W1,fluxv_old,0.1015625,1.165642767556328,-0.14206372366874143,,,,
W1,fluxv_old,0.109375,1.2235726458067624,-0.16732686065767732,,,,
W1,fluxv_old,0.1171875,1.2808656778181116,-0.1938179004640581,,,,
W1,fluxv_old,0.125,1.337286034865709,-0.22137804185453266,,,,
W1,fluxv_old,0.1328125,1.3925869995109168,-0.24982696074230104,,,,
W1,fluxv_old,0.140625,1.4465130426946644,-0.27896336737461846,,,,
W1,fluxv_old,0.1484375,1.498802409959364,-0.30856608826023296,,,,
W1,fluxv_old,0.15625,1.5491901151022767,-0.3383957183293372,,,,
W1,fluxv_old,0.1640625,1.5974113504464516,-0.3681968761369725,,,,
W1,fluxv_old,0.171875,1.64320532624294,-0.39770107648047204,,,,
W1,fluxv_old,0.1796875,1.6863193333303674,-0.4266301991135996,,,,
W1,fluxv_old,0.1875,1.7265130280006902,-0.4547005152273708,,,,
W1,fluxv_old,0.1953125,1.763562794194112,-0.48162719465867593,,,,
W1,fluxv_old,0.203125,1.797265946663069,-0.5071291811934155,,,,
W1,fluxv_old,0.2109375,1.8274448155758447,-0.5309343145479479,,,,
W1,fluxv_old,0.21875,1.8539502629078484,-0.5527845149432584,,,,
W1,fluxv_old,0.2265625,1.8766648024432524,-0.5724408804104403,,,,
W1,fluxv_old,0.234375,1.8955048724873667,-0.5896884838659034,,,,
W1,fluxv_old,0.2421875,1.9104224025983028,-0.6043407074326257,,,,
W1,fluxv_old,0.25,1.921405376953107,-0.6162429280409036,,,,
W1,fluxv_old,0.2578125,1.9284775189359102,-0.6252754212064285,,,,
W1,fluxv_old,0.265625,1.9316970202921855,-0.6313553660501816,,,,
W1,fluxv_old,0.2734375,1.9311543178863748,-0.634437881316743,,,,
W1,fluxv_old,0.28125,1.9269691239326543,-0.6345160778254465,,,,
W1,fluxv_old,0.2890625,1.9192867287665656,-0.6316201430385969,,,,
W1,fluxv_old,0.296875,1.908273784414659,-0.6258155349058431,,,,
W1,fluxv_old,0.3046875,1.8941137361397924,-0.6172003910653906,,,,
W1,fluxv_old,0.3125,1.8770020535700824,-0.6059022899642639,,,,
W1,fluxv_old,0.3203125,1.8571414928370609,-0.5920745306421229,,,,
W1,fluxv_old,0.328125,1.8347375366077459,-0.5758920988146616,,,,
W1,fluxv_old,0.3359375,1.809994128646789,-0.5575474846203698,,,,
W1,fluxv_old,0.34375,1.7831098599007065,-0.537246514579068,,,,
W1,fluxv_old,0.3515625,1.7542747038166935,-0.5152043390309315,,,,
W1,fluxv_old,0.359375,1.7236673324799643,-0.49164168869595376,,,,
W1,fluxv_old,0.3671875,1.691453035292859,-0.4667814885741014,,,,
W1,fluxv_old,0.375,1.6577822645556692,-0.440845891660223,,,,
W1,fluxv_old,0.3828125,1.6227897880503181,-0.414053765354349,,,,
W1,fluxv_old,0.390625,1.5865943902601027,-0.3866186373664361,,,,
W1,fluxv_old,0.3984375,1.5492990505392465,-0.3587470868885104,,,,
W1,fluxv_old,0.40625,1.510991540411825,-0.33063755096888525,,,,
W1,fluxv_old,0.4140625,1.4717453757850987,-0.3024795029546118,,,,
W1,fluxv_old,0.421875,1.4316210511151597,-0.27445295097868544,,,,
W1,fluxv_old,0.4296875,1.390667484109369,-0.2467282001338252,,,,
W1,fluxv_old,0.4375,1.3489236001986373,-0.21946582124286151,,,,
W1,fluxv_old,0.4453125,1.3064199971275707,-0.19281677112417553,,,,
W1,fluxv_old,0.453125,1.263180645394464,-0.16692261275418083,,,,
W1,fluxv_old,0.4609375,1.2192245873116536,-0.1419157884624292,,,,
W1,fluxv_old,0.46875,1.1745676030240024,-0.11791990499803622,,,,
W1,fluxv_old,0.4765625,1.1292238204874951,-0.09504999525894597,,,,
W1,fluxv_old,0.484375,1.0832072546572613,-0.0734127273105271,,,,
W1,fluxv_old,0.4921875,1.0365332623465382,-0.05310653751099968,,,,
