case_id,model,quantity,phase,experiment,prediction
W1,fluxv_old,CL,0.255,2.81,1.925931547822101
W1,fluxv_old,CL,0.2575,2.81,1.928194633256598
W1,fluxv_old,CL,0.26,2.8208,1.9293789793156673
W1,fluxv_old,CL,0.2625,2.83,1.9304092197496754
W1,fluxv_old,CL,0.265,2.83,1.9314394601836835
W1,fluxv_old,CL,0.2675,2.8389,1.9315667717147909
W1,fluxv_old,CL,0.27,2.8416,1.9313931069449315
W1,fluxv_old,CL,0.2725,2.85,1.9312194421750721
W1,fluxv_old,CL,0.275,2.85,1.9303172790956307
W1,fluxv_old,CL,0.2775,2.85,1.92897801703044
W1,fluxv_old,CL,0.28,2.86,1.9276387549652496
W1,fluxv_old,CL,0.2825,2.86,1.9257399407060802
W1,fluxv_old,CL,0.285,2.86,1.9232815742529317
W1,fluxv_old,CL,0.2875,2.86,1.9208232077997833
W1,fluxv_old,CL,0.29,2.86,1.9179651754443368
W1,fluxv_old,CL,0.2925,2.86,1.9144410332517268
W1,fluxv_old,CL,0.295,2.86,1.9109168910591166
W1,fluxv_old,CL,0.2975,2.86,1.9071409805526696
W1,fluxv_old,CL,0.3,2.86,1.9026097651047122
W1,fluxv_old,CL,0.3025,2.86,1.898078549656755
W1,fluxv_old,CL,0.305,2.86,1.893429268837004
W1,fluxv_old,CL,0.3075,2.86,1.8879535304146968
W1,fluxv_old,CL,0.31,2.8552,1.8824777919923896
W1,fluxv_old,CL,0.3125,2.85,1.8770020535700824
W1,fluxv_old,CL,0.315,2.85,1.8706466741355154
W1,fluxv_old,CL,0.3175,2.8471,1.8642912947009487
W1,fluxv_old,CL,0.32,2.84,1.8579359152663817
W1,fluxv_old,CL,0.3225,2.84,1.8508683850928527
W1,fluxv_old,CL,0.325,2.839,1.8436991190994718
W1,fluxv_old,CL,0.3275,2.83,1.836529853106091
W1,fluxv_old,CL,0.33,2.8236,1.8287991186971162
W1,fluxv_old,CL,0.3325,2.82,1.82088122814961
W1,fluxv_old,CL,0.335,2.81,1.812963337602104
W1,fluxv_old,CL,0.3375,2.8055,1.8046172748975724
W1,fluxv_old,CL,0.34,2.8,1.796014308898826
W1,fluxv_old,CL,0.3425,2.7901,1.7874113429000795
W1,fluxv_old,CL,0.345,2.7874,1.7784962349272644
W1,fluxv_old,CL,0.3475,2.78,1.7692689849803804
W1,fluxv_old,CL,0.35,2.772,1.7600417350334963
W1,fluxv_old,CL,0.3525,2.7593,1.750601819256286
W1,fluxv_old,CL,0.355,2.75,1.7408074604285326
W1,fluxv_old,CL,0.3575,2.7439,1.7310131016007793
W1,fluxv_old,CL,0.36,2.7312,1.7210901887049959
W1,fluxv_old,CL,0.3625,2.72,1.7107816136051222
W1,fluxv_old,CL,0.365,2.7158,1.7004730385052484
W1,fluxv_old,CL,0.3675,2.7031,1.6901062044633715
W1,fluxv_old,CL,0.37,2.6904,1.6793315578274706
W1,fluxv_old,CL,0.3725,2.6777,1.66855691119157
W1,fluxv_old,CL,0.375,2.665,1.6577822645556692
W1,fluxv_old,CL,0.3775,2.6523,1.646584672073957
W1,fluxv_old,CL,0.38,2.6296,1.6353870795922445
W1,fluxv_old,CL,0.3825,2.6169,1.6241894871105322
W1,fluxv_old,CL,0.385,2.6042,1.6126550766690577
W1,fluxv_old,CL,0.3875,2.5915,1.6010725493761888
W1,fluxv_old,CL,0.39,2.5776,1.58949002208332
W1,fluxv_old,CL,0.3925,2.5561,1.5776435087270972
W1,fluxv_old,CL,0.395,2.5368,1.565709000016423
W1,fluxv_old,CL,0.3975,2.5207,1.5537744913057492
W1,fluxv_old,CL,0.4,2.498,1.5416375485137621
W1,fluxv_old,CL,0.4025,2.4806,1.5293791452729872
W1,fluxv_old,CL,0.405,2.4626,1.5171207420322124
W1,fluxv_old,CL,0.4075,2.4398,1.504712154071549
W1,fluxv_old,CL,0.41,2.4172,1.4921533813909964
W1,fluxv_old,CL,0.4125,2.399,1.4795946087104441
W1,fluxv_old,CL,0.415,2.3736,1.4669304568247061
W1,fluxv_old,CL,0.4175,2.3482,1.4540906729303256
W1,fluxv_old,CL,0.42,2.3228,1.4412508890359452
W1,fluxv_old,CL,0.4225,2.2974,1.4283447657546966
W1,fluxv_old,CL,0.425,2.272,1.4152396243128433
W1,fluxv_old,CL,0.4275,2.2449,1.4021344828709903
W1,fluxv_old,CL,0.43,2.2112,1.3889977287529396
W1,fluxv_old,CL,0.4325,2.1858,1.3756396859015056
W1,fluxv_old,CL,0.435,2.1604,1.3622816430500715
W1,fluxv_old,CL,0.4375,2.125,1.3489236001986373
W1,fluxv_old,CL,0.44,2.0944,1.335322447215896
W1,fluxv_old,CL,0.4425,2.0563,1.3217212942331547
W1,fluxv_old,CL,0.445,2.0282,1.3081201412504133
W1,fluxv_old,CL,0.4475,1.9901,1.2943129786423009
W1,fluxv_old,CL,0.45,1.952,1.2804763860877066
W1,fluxv_old,CL,0.4525,1.9226,1.2666397935331126
W1,fluxv_old,CL,0.455,1.8858,1.2526311914545896
W1,fluxv_old,CL,0.4575,1.8477,1.2385652528680902
W1,fluxv_old,CL,0.46,1.8096,1.2244993142815908
W1,fluxv_old,CL,0.4625,1.762,1.2102931904541232
W1,fluxv_old,CL,0.465,1.7334,1.1960029554820748
W1,fluxv_old,CL,0.4675,1.6953,1.1817127205100264
W1,fluxv_old,CL,0.47,1.6496,1.1673125978181613
W1,fluxv_old,CL,0.4725,1.6091,1.1528025874064791
W1,fluxv_old,CL,0.475,1.571,1.1382925769947967
W1,fluxv_old,CL,0.4775,1.5272,1.1237018325878672
W1,fluxv_old,CL,0.48,1.4848,1.1089765315221924
W1,fluxv_old,CL,0.4825,1.4456,1.0942512304565175
W1,fluxv_old,CL,0.485,1.3986,1.0794733352724035
W1,fluxv_old,CL,0.4875,1.3605,1.0645376577329722
W1,fluxv_old,CL,0.49,1.3132,1.0496019801935408
W1,fluxv_old,CL,0.4925,1.2624,1.0346407278026517
W1,fluxv_old,CL,0.495,1.2162,1.0195004514515595
W1,fluxv_old,CL,0.4975,1.1781,1.0043601751004672
W1,fluxv_old,CL,0.5,1.14,0.9892198987493749
W1,fluxv_old,CL,0.5025,1.0919,0.9738820681511979
W1,fluxv_old,CL,0.505,1.0376,0.9585442375530202
W1,fluxv_old,CL,0.5075,0.9938,0.9432064069548431
W1,fluxv_old,CL,0.51,0.966799999999,0.9277033180927025
W1,fluxv_old,CL,0.5125,0.919499999999,0.912176620907139
W1,fluxv_old,CL,0.515,0.875199999999,0.896649923721575
W1,fluxv_old,CL,0.5175,0.833299999999,0.8809895844246344
W1,fluxv_old,CL,0.52,0.795199999999,0.8652846977572339
W1,fluxv_old,CL,0.5225,0.752799999998,0.8495798110898343
W1,fluxv_old,CL,0.525,0.715999999999,0.8337716686355999
W1,fluxv_old,CL,0.5275,0.671199999998,0.8179015727092659
W1,fluxv_old,CL,0.53,0.632799999998,0.8020314767829312
W1,fluxv_old,CL,0.5325,0.594699999998,0.7860865593333055
W1,fluxv_old,CL,0.535,0.556599999998,0.7700668203603875
W1,fluxv_old,CL,0.5375,0.518499999998,0.7540470813874702
W1,fluxv_old,CL,0.54,0.483599999998,0.7379781295800486
W1,fluxv_old,CL,0.5425,0.452299999997,0.7218271563817885
W1,fluxv_old,CL,0.545,0.422799999998,0.7056761831835278
W1,fluxv_old,CL,0.5475,0.387399999998,0.6894977719449042
W1,fluxv_old,CL,0.55,0.357999999997,0.6732370465851897
W1,fluxv_old,CL,0.5525,0.326599999998,0.6569763212254759
W1,fluxv_old,CL,0.555,0.301199999998,0.6407049705869154
W1,fluxv_old,CL,0.5575,0.265799999998,0.6243592429964345
W1,fluxv_old,CL,0.56,0.240399999998,0.6080135154059529
W1,fluxv_old,CL,0.5625,0.214999999997,0.591667787815472
W1,fluxv_old,CL,0.565,0.189599999997,0.5752652467159538
W1,fluxv_old,CL,0.5675,0.164199999997,0.5588627056164348
W1,fluxv_old,CL,0.57,0.144399999999,0.5424601645169165
W1,fluxv_old,CL,0.5725,0.123399999997,0.5260356226857988
W1,fluxv_old,CL,0.575,0.107999999997,0.509607937893025
W1,fluxv_old,CL,0.5775,0.0862999999984,0.49318025310025043
W1,fluxv_old,CL,0.58,0.0671999999967,0.4767601841727152
W1,fluxv_old,CL,0.5825,0.0508999999983,0.4603426538669254
W1,fluxv_old,CL,0.585,0.0281999999983,0.4439251235611364
W1,fluxv_old,CL,0.5875,0.0154999999982,0.4275382772932805
W1,fluxv_old,CL,0.59,-0.00440000000366,0.41116984144818564
W1,fluxv_old,CL,0.5925,-0.0199000000019,0.39480140560309007
W1,fluxv_old,CL,0.595,-0.0326000000019,0.37847879145233615
W1,fluxv_old,CL,0.5975,-0.045300000002,0.3622019989959224
W1,fluxv_old,CL,0.6,-0.058000000002,0.3459252065395095
W1,fluxv_old,CL,0.6025,-0.0707000000021,0.32970005080231213
W1,fluxv_old,CL,0.605,-0.0834000000021,0.3135609562638096
W1,fluxv_old,CL,0.6075,-0.0961000000022,0.29742186172530627
W1,fluxv_old,CL,0.61,-0.1,0.2813295396781977
W1,fluxv_old,CL,0.6125,-0.12,0.2653775351052703
W1,fluxv_old,CL,0.615,-0.124200000002,0.2494255305323436
W1,fluxv_old,CL,0.6175,-0.136900000002,0.23350347266545501
W1,fluxv_old,CL,0.62,-0.149600000002,0.21779104174083874
W1,fluxv_old,CL,0.6225,-0.16,0.20207861081622178
W1,fluxv_old,CL,0.625,-0.165,0.1863661798916055
W1,fluxv_old,CL,0.6275,-0.177699999998,0.1709485566186942
W1,fluxv_old,CL,0.63,-0.19,0.15553093334578222
W1,fluxv_old,CL,0.6325,-0.193099999998,0.1401133100728709
W1,fluxv_old,CL,0.635,-0.205799999998,0.12500400250419302
W1,fluxv_old,CL,0.6375,-0.218499999998,0.10993874003612072
W1,fluxv_old,CL,0.64,-0.221199999998,0.09487347756804773
W1,fluxv_old,CL,0.6425,-0.233899999998,0.08011698840126173
W1,fluxv_old,CL,0.645,-0.246599999998,0.0654634236682372
W1,fluxv_old,CL,0.6475,-0.25,0.0508098589352133
W1,fluxv_old,CL,0.65,-0.261999999998,0.03645140892621534
W1,fluxv_old,CL,0.6525,-0.274699999998,0.02227002775163396
W1,fluxv_old,CL,0.655,-0.28,0.008088646577051953
W1,fluxv_old,CL,0.6575,-0.290099999998,-0.005826188368031043
W1,fluxv_old,CL,0.66,-0.3,-0.01947447708361626
W1,fluxv_old,CL,0.6625,-0.305499999998,-0.03312276579920087
W1,fluxv_old,CL,0.665,-0.318199999998,-0.046548449956571626
W1,fluxv_old,CL,0.6675,-0.320899999998,-0.059603126516917695
W1,fluxv_old,CL,0.67,-0.333599999998,-0.07265780307726434
W1,fluxv_old,CL,0.6725,-0.34,-0.08554926082683924
W1,fluxv_old,CL,0.675,-0.348999999998,-0.09795106214410118
W1,fluxv_old,CL,0.6775,-0.36,-0.11035286346136258
W1,fluxv_old,CL,0.68,-0.364399999999,-0.12266591529086947
W1,fluxv_old,CL,0.6825,-0.37,-0.1343577207060906
