case_id,model,quantity,observation_count,mae,rmse,bias,max_abs_error,range_nrmse,correlation,observed_mean,predicted_mean,observed_max,predicted_max,max_phase_error_cycle,observed_min,predicted_min,min_phase_error_cycle
W1,fluxv_old,CL,400,0.42258528504360926,0.5332285830237422,-0.2928437214300751,1.0153269614947518,0.1615844190981037,0.9796501667662436,1.0399112499998224,0.7470675285697475,2.86,1.9315667717147909,-0.012500000000000011,-0.44,-0.37831397710533426,0.06499999999999995
W1,fluxv_old,CD,400,0.2122741944901919,0.22984198379389734,-0.2122741944901919,0.3516563413868341,0.3780788332767357,0.9292433562837425,0.03218049504951393,-0.18009369944067793,0.29702970297,0.06291576215530925,0.0625,-0.310891089109,-0.6345035663840539,0.012499999999999956
W1,fluxv_old_filtered,CL,400,0.42258533150041994,0.533228587804656,-0.29284371206154797,1.0153281541058903,0.16158442054686545,0.9796501627043349,1.0399112499998224,0.7470675379382746,2.86,1.9315730411427257,-0.012500000000000011,-0.44,-0.37830702995272397,0.06499999999999995
W1,fluxv_old_filtered,CD,400,0.2122741940391791,0.22984196626839143,-0.2122741940391791,0.35165694581570345,0.3780788044481348,0.9292434601702068,0.03218049504951393,-0.18009369898966518,0.29702970297,0.06290821386895534,0.0625,-0.310891089109,-0.6345014022163911,0.012499999999999956
W1,fluxv_v4b,CL,400,0.3979855922607571,0.5182419224630304,-0.2670037717877768,1.088608410390078,0.1570430068069789,0.9784639100734149,1.0399112499998224,0.7729074782120458,2.86,2.052390651914826,0.0,-0.44,-0.33938535642565626,0.06499999999999995
W1,fluxv_v4b,CD,400,0.14083207423328614,0.1610374287885482,-0.14083207423328614,0.30363498506800213,0.26489870207897287,0.9006794148394005,0.03218049504951393,-0.10865157918377219,0.29702970297,0.08998001031381257,0.0675,-0.310891089109,-0.36340971842988695,0.012499999999999956
W1,fluxv_v4b_filtered,CL,400,0.39877515485467724,0.5156649730771129,-0.26702298626385274,1.0045387957388043,0.15626211305367058,0.9804926766340027,1.0399112499998224,0.7728882637359697,2.86,1.9198938883799561,-0.012500000000000011,-0.44,-0.32645313250135016,0.08499999999999996
W1,fluxv_v4b_filtered,CD,400,0.14083148669886167,0.16090663539311115,-0.14083148669886167,0.3061832787017753,0.2646835533340356,0.901754759551151,0.03218049504951393,-0.10865099164934772,0.29702970297,0.08042233480775404,0.06000000000000005,-0.310891089109,-0.351007467174092,0.012499999999999956
W1,fluxv_v4b_lcrit019,CL,400,0.3679063446003712,0.48127666523808005,-0.23772072976560743,1.187178152178347,0.14584141370850912,0.983519249296201,1.0399112499998224,0.8021905202342151,2.86,2.1136221711386285,-0.015000000000000013,-0.44,-0.3352371728357861,0.057499999999999996
W1,fluxv_v4b_lcrit019,CD,400,0.15235971042429827,0.17218474208549311,-0.15235971042429827,0.3258417799285139,0.283235487795452,0.8878821665694603,0.03218049504951393,-0.12017921537478435,0.29702970297,0.05157785678978563,0.05249999999999999,-0.310891089109,-0.3928210379053544,0.022499999999999964
W1,fluxv_v4b_lcrit019_filtered,CL,400,0.36653319435854137,0.47846674598607897,-0.23772409115942977,0.9769841674092647,0.14498992302608454,0.9854753354159296,1.0399112499998224,0.8021871588403927,2.86,2.045059949598331,-0.020000000000000018,-0.44,-0.3504992628396785,0.06499999999999995
W1,fluxv_v4b_lcrit019_filtered,CD,400,0.15235978812718134,0.1720745999513201,-0.15235978812718134,0.3335494085000731,0.28305430936627485,0.8887395788524529,0.03218049504951393,-0.12017929307766742,0.29702970297,0.04794327766035077,0.4650000000000001,-0.310891089109,-0.38269761573593575,0.012499999999999956
W1,published_standard_theodorsen_digitized,CL,400,0.4177775908908681,0.5278133783638072,-0.1689072217573263,0.9683559718953805,0.15994344798903248,0.9786502883782682,1.0399112499998224,0.8710040282424962,2.86,1.8991517043994832,0.030000000000000027,-0.44,-0.22473706621188783,0.10499999999999998
W2,fluxv_old,CL,400,0.944896338653482,1.0789472959879427,-0.9287585189046819,2.009758544147929,0.20784253860387902,0.9833824718144629,2.1151700367647135,1.1864115178600314,4.64705882353,4.105497514510586,0.15999999999999992,-0.544117647059,-2.154279981756421,-0.05249999999999999
W2,fluxv_old,CD,400,0.6198984380758502,0.7828095193434259,-0.5612989232817861,1.5999090681750923,0.19557952837350934,0.8789539783258357,-0.1251317132538862,-0.6864306365356722,1.69472361809,0.8701849416131308,-0.010000000000000009,-2.30778894472,-2.3923236067357276,0.022499999999999964
W2,fluxv_old_filtered,CL,400,0.9429781776411713,1.0783796093886717,-0.9287584717835915,2.0053574835706307,0.20773318254509596,0.9835072485462099,2.1151700367647135,1.186411564981122,4.64705882353,4.088865370448778,0.14250000000000007,-0.544117647059,-2.156061187507974,-0.05249999999999999
W2,fluxv_old_filtered,CD,400,0.6191280958503704,0.7890522113169248,-0.5612989171635521,1.653279507873988,0.19713922166004738,0.874374257896379,-0.1251317132538862,-0.6864306304174383,1.69472361809,0.8228593689292149,-0.01750000000000007,-2.30778894472,-2.368963750395836,0.03249999999999997
