dt_s,first_active_step,first_active_time_s,max_abs_A0_event,birth_gamma_max_abs_m2_s,birth_displacement_over_Udt_max_abs,lesp_residual_max_abs
0.01,4,0.04,0.057362140900051053,0.037699047008107875,0.040561158813804316,6.938893903907228e-18
0.005,8,0.04,0.05633756743432774,0.03245241392089796,0.03983667596836756,1.3877787807814457e-17
0.0025,15,0.0375,0.0518854692911342,0.009654785922616675,0.03668856718080738,0.0
0.00125,29,0.03625,0.050699317825476535,0.0035809424157368774,0.03584983143592659,1.3877787807814457e-17
