benchmark,condition,step,phase,strip_index,airplane_index,wing_index,spanwise_index,chord_m,strip_width_m,v_perp_m_s,lift_direction_x_gp1,lift_direction_y_gp1,lift_direction_z_gp1,lift_direction_surface_normal_projection,lift_direction_surface_normal_angle_deg,gamma_eq_m2_s,delta_t_tilde,y_gamma,x_state,y_phi,normal_x_gp1,normal_y_gp1,normal_z_gp1
yang2025,aoa15_smoke,20,0.0,0,0,0,0,0.13,0.0625,5.592938583383239,0.18154374000534304,-0.05714470462169517,0.9817211178326416,0.9968618894105878,4.54030878235412,0.06652933230843962,1.720904179502535,0.1628995707306385,0.08849362426606047,0.14176805402841475,0.2588190451025208,-0.05613026998143504,0.9642935728729247
yang2025,aoa15_smoke,20,0.0,1,0,0,1,0.13,0.06250000000000001,5.7240387347975545,0.27703431731021383,-0.05583589457069266,0.9592363316252955,0.99982127075624,1.0832829500366161,0.025661699546938147,1.761242687630017,0.06283363586206549,0.041902137846019455,0.031377676117105346,0.2588190451025208,-0.056130269981435,0.9642935728729247
yang2025,aoa15_smoke,20,0.0,2,0,0,2,0.12999999999999995,0.06250000000000001,5.907535132715594,0.36498256714810245,-0.054101552700846885,0.9294410942460734,0.9937552478133187,6.406509860562992,-0.0409872611371552,1.8177031177586451,-0.1003588494427168,-0.038764936632483586,-0.13460231370934125,0.2588190451025208,-0.056130269981435,0.9642935728729247
yang2025,aoa15_smoke,20,0.0,3,0,0,3,0.13,0.062499999999999986,6.1387309533742975,0.44415360993491987,-0.052063989404689294,0.8944366449274355,0.9803772870293376,11.36919968324826,-0.10421181663427598,1.8888402933459376,-0.25516654993740345,-0.11764092969832084,-0.2849935857485461,0.2588190451025208,-0.056130269981435055,0.9642935728729247
yang2025,aoa15_smoke,21,0.04999999999999982,0,0,0,0,0.13000000000000003,0.062499999999999986,5.586739769721803,0.17553051091157643,-0.23590446490127645,0.9557918827750962,0.9963594928217077,4.890467965778863,0.04184054097181246,1.7189968522220929,0.10244813718927578,0.05557082853494397,0.08940785736835757,0.25881904510252074,-0.23145986300914229,0.9377841082616022
yang2025,aoa15_smoke,21,0.04999999999999982,1,0,0,1,0.13,0.0625,5.709477364090257,0.2683891017881778,-0.23083318697575766,0.9352450640511021,0.9999507872733397,0.568431485228819,-0.012287435353398426,1.7567622658739253,-0.030086247298699527,-0.008707820603136837,-0.0490921564373383,0.25881904510252074,-0.2314598630091423,0.9377841082616022
yang2025,aoa15_smoke,21,0.04999999999999982,2,0,0,2,0.13,0.0625,5.881614426818203,0.354338038080877,-0.22407739785007824,0.9078732700888008,0.9949634814741882,5.752879724786993,-0.08457421885616272,1.8097275159440624,-0.20708315367837044,-0.09679668365796856,-0.22731783322202037,0.25881904510252074,-0.2314598630091423,0.9377841082616022
yang2025,aoa15_smoke,21,0.04999999999999982,3,0,0,3,0.13000000000000003,0.06249999999999999,6.09896964566001,0.43217101989372714,-0.21609172245294522,0.8755184618563647,0.9829179511847859,10.605417618245928,-0.14374440425168777,1.8766060448184643,-0.35196357659162714,-0.1703942147330941,-0.36872629727978556,0.25881904510252085,-0.2314598630091421,0.9377841082616022
yang2025,aoa15_smoke,22,0.09999999999999987,0,0,0,0,0.13,0.0625,5.567560522905524,0.15531289221354433,-0.39658855137943055,0.9047626354061207,0.9944025672977538,6.065056579849469,0.031392704912477046,1.713095545509392,0.07686621790532226,0.04044668531525255,0.07082548881754802,0.25881904510252074,-0.38778071613382237,0.8846687617899478
yang2025,aoa15_smoke,22,0.09999999999999987,1,0,0,1,0.13000000000000003,0.0625,5.6637626768580684,0.23873039403153096,-0.389852274622724,0.8893947396612137,0.9997849099383678,1.1883806915992425,-0.026823637684527897,1.7426962082640207,-0.0656786850645947,-0.030107029023637735,-0.07387562559057358,0.2588190451025208,-0.38778071613382226,0.8846687617899478
yang2025,aoa15_smoke,22,0.09999999999999987,2,0,0,2,0.12999999999999998,0.06250000000000001,5.799465447944054,0.3171862441840253,-0.38073004871150135,0.868583626663875,0.9981424132941279,3.492845924732159,-0.0998505964745979,1.7844509070597092,-0.24448793845548367,-0.11950920439964227,-0.2526922329397824,0.25881904510252063,-0.3877807161338226,0.8846687617899476
yang2025,aoa15_smoke,22,0.09999999999999987,3,0,0,3,0.13000000000000003,0.062499999999999986,5.971976694746503,0.38963799606189986,-0.36973197910145733,0.8434930323687247,0.9904326022340273,7.9319763374933245,-0.15251677719152898,1.8375312906912313,-0.37344306145349343,-0.18507951363570824,-0.3783691127266088,0.2588190451025207,-0.3877807161338219,0.884668761789948
yang2025,aoa15_smoke,23,0.1499999999999999,0,0,0,0,0.13000000000000003,0.06249999999999999,5.538561054507657,0.11779686579941813,-0.5234656162575438,0.8438647089456601,0.9896888452858824,8.235029560822026,0.035496983908868615,1.7041726321562016,0.08691569929153704,0.04310008823512001,0.08798898352348258,0.25881904510252074,-0.5091739735187399,0.8208255396753666
yang2025,aoa15_smoke,23,0.1499999999999999,1,0,0,1,0.13000000000000003,0.0625,5.593956031119279,0.18250993197180573,-0.5182819206031152,0.8355082139079144,0.9969391918152466,4.484009497564032,-0.017761151362765223,1.7212172403443933,-0.043488846682883664,-0.022717053389009898,-0.04057095654017946,0.2588190451025208,-0.5091739735187395,0.820825539675367
yang2025,aoa15_smoke,23,0.1499999999999999,2,0,0,2,0.13000000000000003,0.06250000000000001,5.67279952870685,0.2449372534838581,-0.511078570802022,0.8238958892498169,0.9998971206620676,0.8218743638358872,-0.08619753008788993,1.7454767780636458,-0.21105789224307778,-0.10710638132461332,-0.20632558663385447,0.2588190451025208,-0.5091739735187398,0.8208255396753668
yang2025,aoa15_smoke,23,0.1499999999999999,3,0,0,3,0.13,0.0625,5.774131086051967,0.3044626648338077,-0.5021095351612851,0.8094371503843982,0.9988685291389385,2.725839465123058,-0.12984180350225275,1.7766557187852206,-0.31792253611307836,-0.1617956233056345,-0.3094194703657924,0.2588190451025207,-0.5091739735187395,0.820825539675367
yang2025,aoa15_smoke,24,0.19999999999999996,0,0,0,0,0.13000000000000003,0.0625,5.511204657819793,0.063733853476703,-0.6036270147917006,0.7947153093622082,0.9804575677997581,11.345842463406738,0.05774537483579598,1.6957552793291666,0.1413917207047888,0.06738248147475928,0.15133185733769416,0.2588190451025207,-0.5842467368005975,0.7691998780746607
