benchmark,condition,step,phase,old_fx_w_n,old_fy_w_n,old_fz_w_n,lineitem_fx_w_n,lineitem_fy_w_n,lineitem_fz_w_n,delta_fx_w_n,delta_fy_w_n,delta_fz_w_n,f_kj_fx_w_n,f_kj_fy_w_n,f_kj_fz_w_n,old_fd_gamma_fx_w_n,old_fd_gamma_fy_w_n,old_fd_gamma_fz_w_n,delta_phi_gamma_fx_w_n,delta_phi_gamma_fy_w_n,delta_phi_gamma_fz_w_n,kinematic_added_mass_fx_w_n,kinematic_added_mass_fy_w_n,kinematic_added_mass_fz_w_n,old_lift_n,old_drag_n,old_CL,old_CD,lineitem_lift_n,lineitem_drag_n,lineitem_CL,lineitem_CD
yang2025,aoa15_smoke,20,0.0,0.031420707892856226,0.022708336008721998,0.08239710148154923,0.022741565895495176,0.03216915630428542,0.0429950680316171,-0.008679141997361051,0.009460820295563423,-0.03940203344993212,0.015526618040347377,0.019261373463221827,0.023179787371731517,0.01589408985250885,0.0034469625455001694,0.059217314109817704,0.00711113937335646,0.0011706008509468897,0.02011041239140684,0.00010380848179134229,0.011737181990116703,-0.0002951317315212541,-0.08239710148154923,-0.031420707892856226,-0.13627873037433394,-0.051967534077155625,-0.0429950680316171,-0.022741565895495176,-0.07111067232163425,-0.03761287316224736
yang2025,aoa15_smoke,21,0.04999999999999982,0.0390714631742485,0.04270198054657271,0.09713690462627766,0.032390718579639766,0.045262396953871874,0.0676238498792289,-0.006680744594608733,0.002560416407299166,-0.02951305474704876,0.034329527128444406,0.038461303949048085,0.07995535500582189,0.004741936045804092,0.004240676597524618,0.01718154962045576,0.004027064681630751,0.00285690840516117,0.011575066477133973,-0.005965873230435392,0.003944184599662623,-0.023906571603726973,-0.09713690462627766,-0.0390714631742485,-0.16065727794959067,-0.06462131919102083,-0.0676238498792289,-0.032390718579639766,-0.11184486151651211,-0.053571860230230285
yang2025,aoa15_smoke,22,0.09999999999999987,0.030356020570574342,0.04323232420135247,0.07096484714899307,0.02517248897923881,0.038169688251057085,0.05173845892561559,-0.005183531591335531,-0.005062635950295386,-0.01922638822337748,0.0369017933995794,0.05303965686605433,0.09333893766965151,-0.006545772829005052,-0.009807332664701856,-0.02237409052065845,0.0013456779302361706,0.001897259685667971,0.00432833894797038,-0.013074982350576747,-0.01676722830066521,-0.04592881769200631,-0.07096484714899307,-0.030356020570574342,-0.11737062465527412,-0.05020661974986324,-0.05173845892561559,-0.02517248897923881,-0.08557159617424626,-0.041633440700832754
yang2025,aoa15_smoke,23,0.1499999999999999,0.005546197757608227,0.0035938862410798446,0.00975639997294153,0.004050260372270419,-0.0037153104920049675,0.007695245416321838,-0.0014959373853378082,-0.007309196733084813,-0.0020611545566196904,0.025364295912409955,0.0425819745445032,0.07260803867986479,-0.01981809815480173,-0.03898808830342336,-0.06285163870692326,-0.0007912857794929409,-0.0015680563413044673,-0.0025278210582875566,-0.02052274976064659,-0.04472922869520371,-0.06238497220525539,-0.00975639997294153,-0.005546197757608227,-0.016136366175870713,-0.009173002147182033,-0.007695245416321838,-0.004050260372270419,-0.01272736851659864,-0.006698832013430575
yang2025,aoa15_smoke,24,0.19999999999999996,-0.028156106101831918,-0.08253227968943465,-0.08450423763484388,-0.020243824515869438,-0.07536110385810095,-0.06103592615490683,0.007912281585962482,0.007171175831333691,0.023468311479937064,0.006984033651421963,-0.003208472689748103,0.019930856015326463,-0.035140139753253884,-0.07932380699968655,-0.10443509365017034,-0.0016576571235286698,-0.007675233821248392,-0.010104958312353793,-0.02557020104376273,-0.06447739734710448,-0.0708618238578795,0.08450423763484388,0.028156106101831918,0.13976377820409472,0.04656812342727745,0.06103592615490683,0.020243824515869438,0.10094892143111235,0.0334817930890599
yang2025,aoa15_smoke,25,0.25,-0.05156619565265994,-0.19135831438459502,-0.21439636817655167,-0.029572647583395124,-0.1547417485621883,-0.16840751986132857,0.021993548069264814,0.0366165658224067,0.04598884831522313,-0.0037311222714625546,-0.07875067858936875,-0.07586855565981407,-0.047835073381197385,-0.11260763579522629,-0.1385278125167376,-0.00012097762745755251,-0.014980850483045009,-0.018429162750831087,-0.025720547684475015,-0.06101021948977456,-0.0741098014506834,0.21439636817655167,0.05156619565265994,0.35459578464069247,0.08528668542245506,0.16840751986132857,0.029572647583395124,0.2785336204736697,0.04891097859037125
yang2025,aoa15_smoke,26,0.30000000000000004,-0.047753075947832554,-0.2769214475468011,-0.3750141492733695,-0.015081025879934224,-0.21633117550454453,-0.32415675986712017,0.032672050067898334,0.06059027204225655,0.050857389406249426,0.003391217469225117,-0.16069930923215392,-0.2236042570576972,-0.051144293417057674,-0.11622213831464717,-0.15140989221567233,0.0033397127842550566,-0.019627163341880263,-0.02556954061581712,-0.021811956133414398,-0.036004702930510335,-0.07498296219360581,0.3750141492733695,0.047753075947832554,0.6202457515672412,0.0789800665876215,0.32415675986712017,0.015081025879934224,0.5361313794131584,0.024942904819535722
yang2025,aoa15_smoke,27,0.3500000000000001,-0.02174884306867768,-0.3074759861948114,-0.5506621553694406,0.013145986163213972,-0.23632690906586712,-0.5111659432737341,0.03489482923189165,0.07114907712894432,0.039496212095706536,0.023697181397194213,-0.21489750363373467,-0.40855052424442745,-0.045446024465871884,-0.09257848256107679,-0.14211163112501313,0.0064272701043679836,-0.018729371724717253,-0.028750326124542955,-0.016978465338348223,-0.0027000337074152224,-0.07386509290476367,0.5506621553694406,0.02174884306867768,0.9107546024024364,0.03597098280421574,0.5111659432737341,-0.013145986163213972,0.8454307798138037,-0.021742491806493063
yang2025,aoa15_smoke,28,0.40000000000000013,0.01219652464923893,-0.27330044240753987,-0.7255010585433598,0.043741928617493986,-0.19486772199766567,-0.6989323567784769,0.03154540396825506,0.07843272040987427,0.02656870176488296,0.049308409422620936,-0.21147963910798384,-0.6015599796247695,-0.037111884773382,-0.06182080329955613,-0.12394107891859038,0.0076355512581596265,-0.01359095938592401,-0.02724775609381734,-0.013202032063286568,0.03020287649624217,-0.0701246210598901,0.7255010585433598,-0.01219652464923893,1.1999252566628684,-0.020172152470068885,0.6989323567784769,-0.043741928617493986,1.155982582963074,-0.07234592466158124
yang2025,aoa15_smoke,29,0.44999999999999973,0.04682276744080538,-0.1723536599183769,-0.8854626204181628,0.0741450707529766,-0.08365432742697723,-0.8621941103216915,0.027322303312171222,0.08869933249139965,0.023268510096471264,0.07705370148623664,-0.13700941562457036,-0.7783183257492081,-0.030230934045431257,-0.035344244293806504,-0.10714429466895461,0.007376186668007571,-0.00769259878805367,-0.023319725397600195,-0.010284817401267602,0.06104768698564681,-0.06055605917488311,0.8854626204181628,-0.04682276744080538,1.4644898853819386,-0.07744140491245935,0.8621941103216915,-0.0741450707529766,1.4260054853650332,-0.12263048000533658
