phase,current_fluxv_CL,v5b_no_lev_CL,current_fluxv_CD,v5b_no_lev_CD
0.0,-0.13627873037433394,-0.20870427102620265,-0.051967534077155625,-0.05601679992005696
0.05,-0.1606572779495905,-0.16885659671773395,-0.06462131919102079,-0.04660273376007556
0.1,-0.11737062465527384,-0.07213765154190122,-0.050206619749863124,-0.021104620050375788
0.15,-0.016136366175870446,0.08089878659693456,-0.00917300214718194,0.02550864426715106
0.2,0.13976377820409494,0.2788440429624897,0.04656812342727749,0.09382496148169284
0.25,0.3545957846406925,0.49314849630497853,0.08528668542245504,0.17028922986656964
0.3,0.6202457515672409,0.686296431495825,0.07898006658762151,0.23182201340916686
0.35,0.9107546024024358,0.845571041209136,0.035970982804215824,0.2704060316682935
0.4,1.1999252566628675,0.9847632439572369,-0.020172152470068754,0.2948693069132313
0.45,1.46448988538194,1.1121213701983168,-0.07744140491245964,0.3137868226848442
0.5,1.6751426404953442,1.2150031849175402,-0.1321519719403077,0.32930242820411687
0.55,1.7892975539157452,1.2602068314307053,-0.17796084849366448,0.33786272328413497
0.6,1.7600867839918468,1.2036514933498996,-0.19794948540437615,0.3306794814565146
0.65,1.5732539478061685,1.0185829623768248,-0.1648307619947621,0.2955583753386159
0.7,1.279888953510568,0.7331289521971031,-0.06586662316319475,0.22596294109051793
0.75,0.9574431689422922,0.42677509917318945,0.0534549204649216,0.1354719831193877
0.8,0.6488000823742027,0.17120097142879778,0.11399494249745165,0.0533232503403739
0.85,0.37027841443338744,-0.010741344032669709,0.09652920701396654,-0.0031781018479047868
0.9,0.13595551711187412,-0.12901902821523603,0.04081568681801438,-0.036134717836592084
0.95,-0.036794332572716575,-0.19477143473699937,-0.014692641919744365,-0.05260010204733407
