benchmark,case_id,phase,strip_id,a0_pre,j,j_rate,supercritical_gate,chi_equilibrium,chi,chi_previous_cycle,chi_cycle_difference,loss_fraction,separated_CSf,target_CS,delta_CS_2d,delta_CS_projected,delta_CL_projected,delta_CD_projected,delta_CN,transient_owner,incidence_source,canonical_eligible
yang2025,aoa_0,0.0,0,0.11088891040798658,1.618766527604702,6.476228712451579,0.38224568957470006,0.7122724856930253,0.04671275383576057,0.04671275383576057,0.0,0.017855748801883512,0.047727851528368864,0.046875635000624714,-0.0008522165277441499,-0.00020478098033067805,-0.0,0.00020478098033067805,0.0,0.9165369575333344,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_0,0.0078125,0,0.09986345921770093,1.312868398590308,0.6732742802931103,0.2383090330502664,0.1382633548360598,0.0643594767167088,0.0643594767167088,0.0,0.015337444663980009,0.04772785152836884,0.04699582824662183,-0.0007320232817470129,-0.00017589948138865168,-0.0,0.00017589948138865168,0.0,0.9207721664016607,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_0,0.015625,0,0.09804180606168475,1.2654080391875009,1.3849506846489836,0.20974107241954565,0.22509516407217586,0.07509781520698602,0.07509781520698602,0.0,0.015751096297878114,0.04772785152836884,0.04697608554285468,-0.0007517659855141648,-0.0001806434990182057,-0.0,0.0001806434990182057,0.0,0.9251795541665687,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_0,0.0234375,0,0.10723272248747852,1.5137795984118396,2.231044082681732,0.33940185146560586,0.43091945242742896,0.09343535976821082,0.09343535976821082,0.0,0.03171213409768574,0.04772785152836898,0.046214299500506914,-0.0015135520278620682,-0.0003636947394901163,-0.0,0.0003636947394901163,0.0,0.9297478182231831,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_0,0.03125,0,0.09813388973704848,1.2677861704936464,4.323771320324735,0.21122345134067577,0.47733786671375517,0.10903911741107342,0.10903911741107342,0.0,0.023031618710708097,0.04772785152836883,0.04662860185008615,-0.0010992496782826766,-0.0002641411183878019,-0.0,0.0002641411183878019,0.0,0.9344655425599937,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_0,0.0390625,0,0.10443019813401366,1.4356883864609151,2.4175851724405613,0.3034700221647131,0.42318716949035057,0.11653041757241683,0.11653041757241683,0.0,0.03536348840356461,0.04772785152836884,0.046040028204318316,-0.0016878233240505275,-0.0004055707718306727,-0.0,0.0004055707718306727,0.0,0.9393212153295134,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_0,0.046875,0,0.10637726658349428,1.48972339047267,0.37067519357007606,0.3287344439945238,0.10861817656187227,0.1216571209974397,0.1216571209974397,0.0,0.039992886029067844,0.04772785152836884,0.04581907700178252,-0.0019087745265863251,-0.00045866362134427263,-0.0,0.00045866362134427263,0.0,0.9443032427455038,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_0,0.0546875,0,0.10623892039842388,1.4858510681787003,3.081963887682724,0.3269850381264914,0.5019315292824411,0.14322271420850824,0.14322271420850824,0.0,0.046831684666048645,0.04772785152836884,0.04549267583580429,-0.0022351756925645533,-0.0005370952740687603,-0.0,0.0005370952740687603,0.0,0.9493999594612778,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_0,0.0625,0,0.09889795053487738,1.2876047404783022,0.16087146750446796,0.223364151619593,0.034686530570448536,0.14794833562087,0.14794833562087,0.0,0.03304635446948644,0.04772785152836877,0.04615062002869527,-0.0015772314996734954,-0.00037899641956783337,-0.0,0.00037899641956783337,0.0,0.9545996356362308,kinematic_proxy_no_uvlm_induction,false
yang2025,aoa_0,0.0703125,0,0.10666750177301201,1.4978634751842208,2.00006059371819,0.33238241230429166,0.3993218216845274,0.1589581550369297,0.1589581550369297,0.0,0.05283489502661429,0.047727851528368864,0.045206155503021664,-0.0025216960253472004,-0.0006059438738339101,-0.0,0.0006059438738339101,0.0,0.9598904809624559,kinematic_proxy_no_uvlm_induction,false
