paper,case_id,view,x_name,x_value,replicate,observable,units,model_id,model_label,data_role,value,uncertainty_minus,uncertainty_plus,uncertainty_kind,canonical_eligible,source_path
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,drag,gf,experiment,Wind-tunnel experiment,experiment,21.0,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,lift,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,48.2,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,drag,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,17.5,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,lift,gf,experiment,Wind-tunnel experiment,experiment,45.3,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,drag,gf,experiment,Wind-tunnel experiment,experiment,27.8,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,lift,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,53.3,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,drag,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,24.9,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,lift,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,0.1744532346082159,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,drag,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,-6.544081171770722,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,lift,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,13.45581469978265,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,drag,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,-6.010020467157974,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,lift,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,26.557987056664906,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,drag,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,-4.418352662796681,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,lift,gf,ptera_free_wake_uvlm,Ptera free-wake UVLM,existing_model,39.30206685608714,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
