figure,case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
15,razak2014_fig15,old,0.0,-0.36643908204179076,-0.09356987512698851,,,,
15,razak2014_fig15,old,0.0078125,-0.3600962340427403,-0.09424233637254242,,,,
15,razak2014_fig15,old,0.015625,-0.3505347377592072,-0.09402886031922429,,,,
15,razak2014_fig15,old,0.0234375,-0.3378410499047757,-0.09292189566291767,,,,
15,razak2014_fig15,old,0.03125,-0.3221251013823587,-0.09092317654425196,,,,
15,razak2014_fig15,old,0.0390625,-0.30351544729550206,-0.08804355925572824,,,,
15,razak2014_fig15,old,0.046875,-0.28215751159527347,-0.08430296869342797,,,,
15,razak2014_fig15,old,0.0546875,-0.2582103866006589,-0.07973020321540626,,,,
15,razak2014_fig15,old,0.0625,-0.23184348525807813,-0.07436264815738858,,,,
15,razak2014_fig15,old,0.0703125,-0.2032331305960703,-0.06824588642826104,,,,
15,razak2014_fig15,old,0.078125,-0.17255907410508103,-0.06143322085171204,,,,
15,razak2014_fig15,old,0.0859375,-0.14000102653014623,-0.05398512051923194,,,,
15,razak2014_fig15,old,0.09375,-0.10573541035682898,-0.045968594437011435,,,,
15,razak2014_fig15,old,0.1015625,-0.06993227976528539,-0.037456497272635315,,,,
15,razak2014_fig15,old,0.109375,-0.0327524817004949,-0.028526743562872648,,,,
15,razak2014_fig15,old,0.1171875,0.0056548562194281005,-0.019261486727705893,,,,
15,razak2014_fig15,old,0.125,0.04515437171224108,-0.009746273407069642,,,,
15,razak2014_fig15,old,0.1328125,0.08562586712530146,-6.918625683503588e-05,,,,
15,razak2014_fig15,old,0.140625,0.12696549636126184,0.009680086199053988,,,,
15,razak2014_fig15,old,0.1484375,0.16908634741656658,0.019411121374461632,,,,
15,razak2014_fig15,old,0.15625,0.21191851356581487,0.029033660430051098,,,,
15,razak2014_fig15,old,0.1640625,0.25540867815532586,0.03845849854210412,,,,
15,razak2014_fig15,old,0.171875,0.299519572580186,0.04759837994985539,,,,
15,razak2014_fig15,old,0.1796875,0.3442288565289033,0.05636887876649624,,,,
15,razak2014_fig15,old,0.1875,0.38952827979960625,0.06468936190398669,,,,
