paper,reference,model,model_label,channel,units,mae,rmse,bias,max_abs_error,range_nrmse,prediction_half_amplitude,reference_half_amplitude,half_amplitude_error,positive_peak_phase_error_cycle,negative_peak_phase_error_cycle
yang2025,wind_tunnel_test,authors_proposed_modified_uvlm,Authors' modified UVLM,lift,gf,3.35,4.159126510859382,1.5833333333333346,8.0,0.09605373004294185,26.65,21.65,5.0,,
yang2025,wind_tunnel_test,authors_proposed_modified_uvlm,Authors' modified UVLM,drag,gf,1.9333333333333336,2.3629078131263044,-1.3,3.5,0.08349497572884468,12.45,14.15,-1.700000000000001,,
yang2025,wind_tunnel_test,fluxv_uvpm,FluxV old (UVLM load channel),lift,gf,6.8548706331454285,9.375462869464469,3.5572875216245214,19.723502890498253,0.2165233919044912,32.42191503515225,21.65,10.771915035152254,,
yang2025,wind_tunnel_test,fluxv_uvpm,FluxV old (UVLM load channel),drag,gf,12.921663799275619,14.251234016522304,-12.921663799275619,21.090226484425216,0.5035771737287033,6.637023466658571,14.15,-7.51297653334143,,
yang2025,wind_tunnel_test,fluxv_periodic_v1,FluxV augmented v1 (exploratory),lift,gf,3.951623329809685,4.52601775712588,-2.0890029390434797,7.342817620049104,0.10452696898674088,25.04900284237636,21.65,3.399002842376362,,
yang2025,wind_tunnel_test,fluxv_periodic_v1,FluxV augmented v1 (exploratory),drag,gf,2.0624943150103707,2.373474865219063,-1.7904726187006303,4.279288592146338,0.08386836979572661,15.411294096580146,14.15,1.261294096580146,,
yang2025,wind_tunnel_test,ptera_free_wake_uvlm,Ptera free-wake UVLM,lift,gf,6.277646526108161,8.490165251267518,2.707064856460086,17.737092491386115,0.19607771942881105,31.431319628388948,21.65,9.78131962838895,,
yang2025,wind_tunnel_test,ptera_free_wake_uvlm,Ptera free-wake UVLM,drag,gf,13.069547969495678,14.45765693782116,-13.069547969495678,21.59886643894297,0.5108712698876735,6.3726073664138765,14.15,-7.777392633586124,,
yang2025,wind_tunnel_test,robofalcon2_coefficient_transfer,RoboFalcon2 coefficient transfer,lift,gf,73.88924977959965,74.02270112653729,73.88924977959965,81.00802887632447,1.7095312038461268,23.630204759710175,21.65,1.9802047597101762,,
yang2025,wind_tunnel_test,robofalcon2_coefficient_transfer,RoboFalcon2 coefficient transfer,drag,gf,8.905111237361849,10.785608006489522,-8.905111237361849,16.15926635955334,0.38111689068867566,6.8548321727487185,14.15,-7.295167827251282,,
izraelevitz2017_fig11,paper_uvlm,6_state,6-State ULLT,lift,paper_scaled_coefficient,0.12356808507812496,0.1443012184133164,0.0002930680468749662,0.2718087199999992,0.0126864519964958,5.85465031,5.687217295,0.1674330150000003,0.015625,0.0
izraelevitz2017_fig11,paper_uvlm,6_state,6-State ULLT,drag,paper_scaled_coefficient,0.27944185648437503,0.3429531637998674,-0.27944185648437503,0.6155447000000001,0.0962730117078236,1.78834518,1.781149035,0.007196144999999987,0.0078125,0.015625
