model,theta_max_deg,phase_offset_deg,phase,lift_n,drag_n,CL,CD,CT
fluxv_uvpm,15.0,15.0,0.0,220.6419104091934,55.43607986589471,1.5338377029317343,0.3853753316554913,-0.3853753316554913
fluxv_uvpm,15.0,15.0,0.0078125,230.79224222262053,53.47234256325225,1.6043998259836443,0.37172400717293747,-0.37172400717293747
fluxv_uvpm,15.0,15.0,0.015625,240.5641077686107,50.693035226814374,1.672330962795424,0.352403079554258,-0.352403079554258
fluxv_uvpm,15.0,15.0,0.0234375,249.93749291335948,47.12096573301566,1.7374919809920686,0.3275711024519946,-0.3275711024519946
fluxv_uvpm,15.0,15.0,0.03125,258.891160799166,42.785578457032074,1.7997352481814688,0.297432764507124,-0.297432764507124
fluxv_uvpm,15.0,15.0,0.0390625,267.40109989485507,37.72224584128942,1.858893843257143,0.2622339645415738,-0.2622339645415738
fluxv_uvpm,15.0,15.0,0.046875,275.44040273229086,31.97207090288859,1.9147807134101278,0.22226043864789635,-0.22226043864789635
fluxv_uvpm,15.0,15.0,0.0546875,282.9794006317172,25.58176499914805,1.9671896106999396,0.17783691045125105,-0.17783691045125105
fluxv_uvpm,15.0,15.0,0.0625,289.98586911849156,18.603518756647993,2.015896520051327,0.1293261938460602,-0.1293261938460602
fluxv_uvpm,15.0,15.0,0.0703125,296.42535875692244,11.094861635806797,2.0606619591138595,0.07712821673022575,-0.07712821673022575
fluxv_uvpm,15.0,15.0,0.078125,302.2616157392645,3.1184888994831663,2.101233902072988,0.02167881814171452,-0.02167881814171452
fluxv_uvpm,15.0,15.0,0.0859375,307.4570836066887,-5.257959634863067,2.1373512674667454,-0.036551789791383675,0.036551789791383675
fluxv_uvpm,15.0,15.0,0.09375,311.97347201408263,-13.962183002048839,2.168747872071452,-0.09706099201216296,0.09706099201216296
fluxv_uvpm,15.0,15.0,0.1015625,315.77244937148885,-22.917564987016476,2.19515724594139,-0.15931617511506752,0.15931617511506752
fluxv_uvpm,15.0,15.0,0.109375,318.81630452930136,-32.043619548707376,2.216317232249782,-0.22275782380172793,0.22275782380172793
fluxv_uvpm,15.0,15.0,0.1171875,321.0687030879566,-41.25652036798211,2.2319752449314496,-0.2868032021424398,0.2868032021424398
fluxv_uvpm,15.0,15.0,0.125,322.49551005672333,-50.46972113452176,2.2418939875648936,-0.3508506656283672,0.3508506656283672
fluxv_uvpm,15.0,15.0,0.1328125,323.0654629889277,-59.59470168057665,2.24585613281051,-0.4142848480740356,0.4142848480740356
fluxv_uvpm,15.0,15.0,0.140625,322.7509912395819,-68.54178890484417,2.243670017648803,-0.47648236843881825,0.47648236843881825
fluxv_uvpm,15.0,15.0,0.1484375,321.52895012054086,-77.2210771697878,2.2351747470112264,-0.5368182291585449,0.5368182291585449
fluxv_uvpm,15.0,15.0,0.15625,319.3811805546241,-85.54344772692838,2.220244084331127,-0.5946729028904639,0.5946729028904639
fluxv_uvpm,15.0,15.0,0.1640625,316.29518664419567,-93.4216300520903,2.198791161801339,-0.6494397106038922,0.6494397106038922
fluxv_uvpm,15.0,15.0,0.171875,312.2645865119874,-100.77132768409959,2.1707716144870624,-0.7005326480799005,0.7005326480799005
fluxv_uvpm,15.0,15.0,0.1796875,307.2894399846961,-107.51237203259257,2.1361858582859083,-0.747394406844035,0.747394406844035
fluxv_uvpm,15.0,15.0,0.1875,301.3765840133626,-113.56986262151017,2.0950814216717735,-0.7895043008039128,0.7895043008039128
fluxv_uvpm,15.0,15.0,0.1953125,294.5396848200015,-118.87529578830997,2.0475533082028834,-0.826386112634359,0.826386112634359
fluxv_uvpm,15.0,15.0,0.203125,286.799253452001,-123.36763247529227,1.993744104651408,-0.8576155167488267,0.8576155167488267
fluxv_uvpm,15.0,15.0,0.2109375,278.18250837240714,-126.9942827331631,1.9338430257715098,-0.8828269232787694,0.8828269232787694
fluxv_uvpm,15.0,15.0,0.21875,268.7230504766787,-129.71198795976858,1.8680836551113513,-0.901719611137986,0.901719611137986
fluxv_uvpm,15.0,15.0,0.2265625,258.4605143866366,-131.48756641368308,1.7967415209111377,-0.9140629106139401,0.9140629106139401
