model,theta_max_deg,phase_offset_deg,phase,CT
v5c0_corrected_v4b_075c,15.0,15.0,0.3359375,0.3382477576746788
v4b_legacy_025c,15.0,15.0,0.34375,0.294585200000436
v5c0_corrected_v4b_075c,15.0,15.0,0.34375,0.29569877491706764
v4b_legacy_025c,15.0,15.0,0.3515625,0.2500317269845452
v5c0_corrected_v4b_075c,15.0,15.0,0.3515625,0.2507032651654364
v4b_legacy_025c,15.0,15.0,0.359375,0.20287870921784498
v5c0_corrected_v4b_075c,15.0,15.0,0.359375,0.20311773427641266
v4b_legacy_025c,15.0,15.0,0.3671875,0.15298336784136887
v5c0_corrected_v4b_075c,15.0,15.0,0.3671875,0.1529913932605642
v4b_legacy_025c,15.0,15.0,0.375,0.10280380107986009
v5c0_corrected_v4b_075c,15.0,15.0,0.375,0.10269079464704874
v4b_legacy_025c,15.0,15.0,0.3828125,0.052578820299604485
v5c0_corrected_v4b_075c,15.0,15.0,0.3828125,0.052366783902598496
v4b_legacy_025c,15.0,15.0,0.390625,0.0015977786609032581
v5c0_corrected_v4b_075c,15.0,15.0,0.390625,0.001307279620492346
v4b_legacy_025c,15.0,15.0,0.3984375,-0.06317961839931123
v5c0_corrected_v4b_075c,15.0,15.0,0.3984375,-0.06352708730575929
v4b_legacy_025c,15.0,15.0,0.40625,-0.13586636079397643
v5c0_corrected_v4b_075c,15.0,15.0,0.40625,-0.13624845374009018
v4b_legacy_025c,15.0,15.0,0.4140625,-0.159340956352209
v5c0_corrected_v4b_075c,15.0,15.0,0.4140625,-0.1597345628825044
v4b_legacy_025c,15.0,15.0,0.421875,-0.19719942151372824
v5c0_corrected_v4b_075c,15.0,15.0,0.421875,-0.19758077725938275
v4b_legacy_025c,15.0,15.0,0.4296875,-0.22533464931701613
v5c0_corrected_v4b_075c,15.0,15.0,0.4296875,-0.225679474921228
v4b_legacy_025c,15.0,15.0,0.4375,-0.23754021349755536
v5c0_corrected_v4b_075c,15.0,15.0,0.4375,-0.23782388670784285
v4b_legacy_025c,15.0,15.0,0.4453125,-0.2747483709233494
v5c0_corrected_v4b_075c,15.0,15.0,0.4453125,-0.27494613523398664
v4b_legacy_025c,15.0,15.0,0.453125,-0.27516137884199793
v5c0_corrected_v4b_075c,15.0,15.0,0.453125,-0.27524858991171924
v4b_legacy_025c,15.0,15.0,0.4609375,-0.29666836485126397
v5c0_corrected_v4b_075c,15.0,15.0,0.4609375,-0.2966207732922699
v4b_legacy_025c,15.0,15.0,0.46875,-0.3346540679875323
v5c0_corrected_v4b_075c,15.0,15.0,0.46875,-0.33444813421639324
v4b_legacy_025c,15.0,15.0,0.4765625,-0.3423524512418096
v5c0_corrected_v4b_075c,15.0,15.0,0.4765625,-0.34196568516513826
v4b_legacy_025c,15.0,15.0,0.484375,-0.350626174262362
v5c0_corrected_v4b_075c,15.0,15.0,0.484375,-0.3500374899442133
v4b_legacy_025c,15.0,15.0,0.4921875,-0.36376316987646656
v5c0_corrected_v4b_075c,15.0,15.0,0.4921875,-0.36295324330136397
v4b_legacy_025c,15.0,15.0,0.5,-0.3454626077262365
v5c0_corrected_v4b_075c,15.0,15.0,0.5,-0.34413666663215225
v4b_legacy_025c,15.0,15.0,0.5078125,-0.3519298927704306
v5c0_corrected_v4b_075c,15.0,15.0,0.5078125,-0.34942066128394894
v4b_legacy_025c,15.0,15.0,0.515625,-0.3234362470207295
v5c0_corrected_v4b_075c,15.0,15.0,0.515625,-0.32037172914109324
v4b_legacy_025c,15.0,15.0,0.5234375,-0.2902424768950307
v5c0_corrected_v4b_075c,15.0,15.0,0.5234375,-0.28729847853216833
v4b_legacy_025c,15.0,15.0,0.53125,-0.23971151034975702
v5c0_corrected_v4b_075c,15.0,15.0,0.53125,-0.2364357174432705
v4b_legacy_025c,15.0,15.0,0.5390625,-0.18662403730293112
v5c0_corrected_v4b_075c,15.0,15.0,0.5390625,-0.18276073630462722
v4b_legacy_025c,15.0,15.0,0.546875,-0.1442456259100727
v5c0_corrected_v4b_075c,15.0,15.0,0.546875,-0.13975291428412265
v4b_legacy_025c,15.0,15.0,0.5546875,-0.09334921056520298
v5c0_corrected_v4b_075c,15.0,15.0,0.5546875,-0.08819012696697223
v4b_legacy_025c,15.0,15.0,0.5625,-0.07107100049153622
v5c0_corrected_v4b_075c,15.0,15.0,0.5625,-0.06521516051161413
v4b_legacy_025c,15.0,15.0,0.5703125,-0.05608590605481917
v5c0_corrected_v4b_075c,15.0,15.0,0.5703125,-0.04951110129330681
v4b_legacy_025c,15.0,15.0,0.578125,-0.040372753017585666
v5c0_corrected_v4b_075c,15.0,15.0,0.578125,-0.03306642389629078
v4b_legacy_025c,15.0,15.0,0.5859375,-0.0238978424271932
v5c0_corrected_v4b_075c,15.0,15.0,0.5859375,-0.015858341355505838
v4b_legacy_025c,15.0,15.0,0.59375,-0.013438196274392435
v5c0_corrected_v4b_075c,15.0,15.0,0.59375,-0.004675769363298044
v4b_legacy_025c,15.0,15.0,0.6015625,0.010603592656172308
v5c0_corrected_v4b_075c,15.0,15.0,0.6015625,0.020066161733365645
v4b_legacy_025c,15.0,15.0,0.609375,0.040751695953755794
v5c0_corrected_v4b_075c,15.0,15.0,0.609375,0.05087881867191884
v4b_legacy_025c,15.0,15.0,0.6171875,0.078124216655891
v5c0_corrected_v4b_075c,15.0,15.0,0.6171875,0.0888676290629305
v4b_legacy_025c,15.0,15.0,0.625,0.11690921302261394
v5c0_corrected_v4b_075c,15.0,15.0,0.625,0.12820850370442297
v4b_legacy_025c,15.0,15.0,0.6328125,0.16620527300374882
