model,theta_max_deg,phase_offset_deg,phase,CT
v5c0_corrected_v4b_075c,15.0,45.0,0.9921875,-0.22043415464403476
v4b_legacy_025c,15.0,60.0,0.0,-0.1261155398919485
v5c0_corrected_v4b_075c,15.0,60.0,0.0,-0.1239451441557775
v4b_legacy_025c,15.0,60.0,0.0078125,-0.10918297449788744
v5c0_corrected_v4b_075c,15.0,60.0,0.0078125,-0.10687079885015888
v4b_legacy_025c,15.0,60.0,0.015625,-0.089172005901329
v5c0_corrected_v4b_075c,15.0,60.0,0.015625,-0.08641937127153715
v4b_legacy_025c,15.0,60.0,0.0234375,-0.06621041254072413
v5c0_corrected_v4b_075c,15.0,60.0,0.0234375,-0.06267496152139235
v4b_legacy_025c,15.0,60.0,0.03125,-0.04040336620385275
v5c0_corrected_v4b_075c,15.0,60.0,0.03125,-0.035927178644274915
v4b_legacy_025c,15.0,60.0,0.0390625,-0.011796688618878011
v5c0_corrected_v4b_075c,15.0,60.0,0.0390625,-0.006524943695647653
v4b_legacy_025c,15.0,60.0,0.046875,0.01941792671932513
v5c0_corrected_v4b_075c,15.0,60.0,0.046875,0.02520637014820409
v4b_legacy_025c,15.0,60.0,0.0546875,0.05261135781490203
v5c0_corrected_v4b_075c,15.0,60.0,0.0546875,0.0589186613170954
v4b_legacy_025c,15.0,60.0,0.0625,0.0874133427188392
v5c0_corrected_v4b_075c,15.0,60.0,0.0625,0.0942020777046803
v4b_legacy_025c,15.0,60.0,0.0703125,0.12345987062756028
v5c0_corrected_v4b_075c,15.0,60.0,0.0703125,0.13050997328983266
v4b_legacy_025c,15.0,60.0,0.078125,0.16038418052609266
v5c0_corrected_v4b_075c,15.0,60.0,0.078125,0.16748790153646795
v4b_legacy_025c,15.0,60.0,0.0859375,0.19782118226715842
v5c0_corrected_v4b_075c,15.0,60.0,0.0859375,0.20482859166355383
v4b_legacy_025c,15.0,60.0,0.09375,0.23539462073022355
v5c0_corrected_v4b_075c,15.0,60.0,0.09375,0.24222277014529034
v4b_legacy_025c,15.0,60.0,0.1015625,0.2727287764299554
v5c0_corrected_v4b_075c,15.0,60.0,0.1015625,0.27935806128417173
v4b_legacy_025c,15.0,60.0,0.109375,0.29990202212812456
v5c0_corrected_v4b_075c,15.0,60.0,0.109375,0.30636211882072706
v4b_legacy_025c,15.0,60.0,0.1171875,0.3266760619696984
v5c0_corrected_v4b_075c,15.0,60.0,0.1171875,0.3330253288417413
v4b_legacy_025c,15.0,60.0,0.125,0.354891635933378
v5c0_corrected_v4b_075c,15.0,60.0,0.125,0.36119262683872516
v4b_legacy_025c,15.0,60.0,0.1328125,0.3836389667016286
v5c0_corrected_v4b_075c,15.0,60.0,0.1328125,0.38987854559776747
v4b_legacy_025c,15.0,60.0,0.140625,0.4122512923140696
v5c0_corrected_v4b_075c,15.0,60.0,0.140625,0.4183810782618243
v4b_legacy_025c,15.0,60.0,0.1484375,0.4396786687968413
v5c0_corrected_v4b_075c,15.0,60.0,0.1484375,0.4456518107467848
v4b_legacy_025c,15.0,60.0,0.15625,0.4675524311669721
v5c0_corrected_v4b_075c,15.0,60.0,0.15625,0.47332464400442525
v4b_legacy_025c,15.0,60.0,0.1640625,0.49077436406715447
v5c0_corrected_v4b_075c,15.0,60.0,0.1640625,0.4963048798792757
v4b_legacy_025c,15.0,60.0,0.171875,0.5117887470613586
v5c0_corrected_v4b_075c,15.0,60.0,0.171875,0.5170411522617249
v4b_legacy_025c,15.0,60.0,0.1796875,0.52645914612627
v5c0_corrected_v4b_075c,15.0,60.0,0.1796875,0.5314020811598619
v4b_legacy_025c,15.0,60.0,0.1875,0.5446407870938623
v5c0_corrected_v4b_075c,15.0,60.0,0.1875,0.5492484920031364
v4b_legacy_025c,15.0,60.0,0.1953125,0.5568171928715508
v5c0_corrected_v4b_075c,15.0,60.0,0.1953125,0.5610698886777113
v4b_legacy_025c,15.0,60.0,0.203125,0.5695400756818471
v5c0_corrected_v4b_075c,15.0,60.0,0.203125,0.5734241780154044
v4b_legacy_025c,15.0,60.0,0.2109375,0.5676651021349378
v5c0_corrected_v4b_075c,15.0,60.0,0.2109375,0.5711732695804601
v4b_legacy_025c,15.0,60.0,0.21875,0.5575734151906366
v5c0_corrected_v4b_075c,15.0,60.0,0.21875,0.560704440193979
v4b_legacy_025c,15.0,60.0,0.2265625,0.5668634622539732
v5c0_corrected_v4b_075c,15.0,60.0,0.2265625,0.5696220170356432
v4b_legacy_025c,15.0,60.0,0.234375,0.5464626626371388
v5c0_corrected_v4b_075c,15.0,60.0,0.234375,0.5488730435606597
v4b_legacy_025c,15.0,60.0,0.2421875,0.5497015557611339
v5c0_corrected_v4b_075c,15.0,60.0,0.2421875,0.5518442457090321
v4b_legacy_025c,15.0,60.0,0.25,0.5120142214610418
v5c0_corrected_v4b_075c,15.0,60.0,0.25,0.5139715069323634
v4b_legacy_025c,15.0,60.0,0.2578125,0.5240354213805174
v5c0_corrected_v4b_075c,15.0,60.0,0.2578125,0.5258769075624224
v4b_legacy_025c,15.0,60.0,0.265625,0.4992376512177259
v5c0_corrected_v4b_075c,15.0,60.0,0.265625,0.5010127060726796
v4b_legacy_025c,15.0,60.0,0.2734375,0.4958271925466693
v5c0_corrected_v4b_075c,15.0,60.0,0.2734375,0.4975603888702926
v4b_legacy_025c,15.0,60.0,0.28125,0.45247601445278335
v5c0_corrected_v4b_075c,15.0,60.0,0.28125,0.45408140946178266
v4b_legacy_025c,15.0,60.0,0.2890625,0.4219846867907453
v5c0_corrected_v4b_075c,15.0,60.0,0.2890625,0.4232305054054807
v4b_legacy_025c,15.0,60.0,0.296875,0.3889141221114421
v5c0_corrected_v4b_075c,15.0,60.0,0.296875,0.38971728768085634
v4b_legacy_025c,15.0,60.0,0.3046875,0.35443319798712497
v5c0_corrected_v4b_075c,15.0,60.0,0.3046875,0.3548326564065753
v4b_legacy_025c,15.0,60.0,0.3125,0.3442773015331855
v5c0_corrected_v4b_075c,15.0,60.0,0.3125,0.34438729329785267
v4b_legacy_025c,15.0,60.0,0.3203125,0.2870405167985875
v5c0_corrected_v4b_075c,15.0,60.0,0.3203125,0.28701854508320174
v4b_legacy_025c,15.0,60.0,0.328125,0.2778814153841509
v5c0_corrected_v4b_075c,15.0,60.0,0.328125,0.2778681927190934
v4b_legacy_025c,15.0,60.0,0.3359375,0.2474811932305913
v5c0_corrected_v4b_075c,15.0,60.0,0.3359375,0.2474893477477008
v4b_legacy_025c,15.0,60.0,0.34375,0.22982632949915552
v5c0_corrected_v4b_075c,15.0,60.0,0.34375,0.2298650305644734
v4b_legacy_025c,15.0,60.0,0.3515625,0.20028484356435958
v5c0_corrected_v4b_075c,15.0,60.0,0.3515625,0.20036307596163075
v4b_legacy_025c,15.0,60.0,0.359375,0.18083280074348596
v5c0_corrected_v4b_075c,15.0,60.0,0.359375,0.1809593953687374
v4b_legacy_025c,15.0,60.0,0.3671875,0.14183677330773262
v5c0_corrected_v4b_075c,15.0,60.0,0.3671875,0.14202043590843752
v4b_legacy_025c,15.0,60.0,0.375,0.11415421013861579
v5c0_corrected_v4b_075c,15.0,60.0,0.375,0.11440354316732618
v4b_legacy_025c,15.0,60.0,0.3828125,0.05660518270188365
v5c0_corrected_v4b_075c,15.0,60.0,0.3828125,0.05692869526135931
v4b_legacy_025c,15.0,60.0,0.390625,0.02523416501670127
v5c0_corrected_v4b_075c,15.0,60.0,0.390625,0.02564026602694386
v4b_legacy_025c,15.0,60.0,0.3984375,0.006497457817144343
v5c0_corrected_v4b_075c,15.0,60.0,0.3984375,0.006994427979068643
v4b_legacy_025c,15.0,60.0,0.40625,0.011258712112434758
v5c0_corrected_v4b_075c,15.0,60.0,0.40625,0.01185465101427842
v4b_legacy_025c,15.0,60.0,0.4140625,-0.020126581615603323
v5c0_corrected_v4b_075c,15.0,60.0,0.4140625,-0.019423835784753058
v4b_legacy_025c,15.0,60.0,0.421875,-0.07900734381299167
v5c0_corrected_v4b_075c,15.0,60.0,0.421875,-0.07819032301804499
v4b_legacy_025c,15.0,60.0,0.4296875,-0.10825315756570117
v5c0_corrected_v4b_075c,15.0,60.0,0.4296875,-0.10731490046069976
v4b_legacy_025c,15.0,60.0,0.4375,-0.12551081219343274
v5c0_corrected_v4b_075c,15.0,60.0,0.4375,-0.12444502576008623
v4b_legacy_025c,15.0,60.0,0.4453125,-0.12974984371431011
v5c0_corrected_v4b_075c,15.0,60.0,0.4453125,-0.12855108523345127
v4b_legacy_025c,15.0,60.0,0.453125,-0.14494596378149857
v5c0_corrected_v4b_075c,15.0,60.0,0.453125,-0.14360983632725485
v4b_legacy_025c,15.0,60.0,0.4609375,-0.15165539553418148
v5c0_corrected_v4b_075c,15.0,60.0,0.4609375,-0.15017874838019604
v4b_legacy_025c,15.0,60.0,0.46875,-0.15331084297811515
v5c0_corrected_v4b_075c,15.0,60.0,0.46875,-0.15169196693654718
v4b_legacy_025c,15.0,60.0,0.4765625,-0.15116165812315807
v5c0_corrected_v4b_075c,15.0,60.0,0.4765625,-0.1494004650749503
v4b_legacy_025c,15.0,60.0,0.484375,-0.14495841465519677
v5c0_corrected_v4b_075c,15.0,60.0,0.484375,-0.14305659050311367
v4b_legacy_025c,15.0,60.0,0.4921875,-0.1348966449272027
v5c0_corrected_v4b_075c,15.0,60.0,0.4921875,-0.1328577659703772
v4b_legacy_025c,15.0,60.0,0.5,-0.12208467812483624
v5c0_corrected_v4b_075c,15.0,60.0,0.5,-0.11991428238866522
v4b_legacy_025c,15.0,60.0,0.5078125,-0.1062504786856423
v5c0_corrected_v4b_075c,15.0,60.0,0.5078125,-0.10393712915562818
v4b_legacy_025c,15.0,60.0,0.515625,-0.08705295088806658
v5c0_corrected_v4b_075c,15.0,60.0,0.515625,-0.08427884731708589
v4b_legacy_025c,15.0,60.0,0.5234375,-0.06475835954158159
v5c0_corrected_v4b_075c,15.0,60.0,0.5234375,-0.06116211859725346
v4b_legacy_025c,15.0,60.0,0.53125,-0.039553925485679355
v5c0_corrected_v4b_075c,15.0,60.0,0.53125,-0.03497137717465371
v4b_legacy_025c,15.0,60.0,0.5390625,-0.011533778128569821
v5c0_corrected_v4b_075c,15.0,60.0,0.5390625,-0.006120762349650537
v4b_legacy_025c,15.0,60.0,0.546875,0.019104074568614987
v5c0_corrected_v4b_075c,15.0,60.0,0.546875,0.02505258893467922
v4b_legacy_025c,15.0,60.0,0.5546875,0.051750155092862016
v5c0_corrected_v4b_075c,15.0,60.0,0.5546875,0.05823638584927213
v4b_legacy_025c,15.0,60.0,0.5625,0.0860544502996019
v5c0_corrected_v4b_075c,15.0,60.0,0.5625,0.09303925618445504
v4b_legacy_025c,15.0,60.0,0.5703125,0.12166911322398544
v5c0_corrected_v4b_075c,15.0,60.0,0.5703125,0.12892227209421067
v4b_legacy_025c,15.0,60.0,0.578125,0.1582204724438518
v5c0_corrected_v4b_075c,15.0,60.0,0.578125,0.1655255111090607
v4b_legacy_025c,15.0,60.0,0.5859375,0.19533907445693502
v5c0_corrected_v4b_075c,15.0,60.0,0.5859375,0.20254058133254813
v4b_legacy_025c,15.0,60.0,0.59375,0.23264103023666716
v5c0_corrected_v4b_075c,15.0,60.0,0.59375,0.23965385858028787
v4b_legacy_025c,15.0,60.0,0.6015625,0.2697396019161878
v5c0_corrected_v4b_075c,15.0,60.0,0.6015625,0.2765447791295017
v4b_legacy_025c,15.0,60.0,0.609375,0.3005181738703518
v5c0_corrected_v4b_075c,15.0,60.0,0.609375,0.3071480376584423
v4b_legacy_025c,15.0,60.0,0.6171875,0.326664837429864
v5c0_corrected_v4b_075c,15.0,60.0,0.6171875,0.3331814622637186
v4b_legacy_025c,15.0,60.0,0.625,0.3542383205821292
v5c0_corrected_v4b_075c,15.0,60.0,0.625,0.36070797616125083
v4b_legacy_025c,15.0,60.0,0.6328125,0.38247135662847187
v5c0_corrected_v4b_075c,15.0,60.0,0.6328125,0.38888124114045003
v4b_legacy_025c,15.0,60.0,0.640625,0.4106538829794816
v5c0_corrected_v4b_075c,15.0,60.0,0.640625,0.4169543758547723
v4b_legacy_025c,15.0,60.0,0.6484375,0.4383329451284965
v5c0_corrected_v4b_075c,15.0,60.0,0.6484375,0.44447595461746936
v4b_legacy_025c,15.0,60.0,0.65625,0.46339154096745905
v5c0_corrected_v4b_075c,15.0,60.0,0.65625,0.46933156262238956
v4b_legacy_025c,15.0,60.0,0.6640625,0.48572783951645404
v5c0_corrected_v4b_075c,15.0,60.0,0.6640625,0.49142292849896896
v4b_legacy_025c,15.0,60.0,0.671875,0.5071685032815132
v5c0_corrected_v4b_075c,15.0,60.0,0.671875,0.5125811306802716
v4b_legacy_025c,15.0,60.0,0.6796875,0.5313443608809835
v5c0_corrected_v4b_075c,15.0,60.0,0.6796875,0.5364421304160158
v4b_legacy_025c,15.0,60.0,0.6875,0.5380202471363292
v5c0_corrected_v4b_075c,15.0,60.0,0.6875,0.5427764552852082
v4b_legacy_025c,15.0,60.0,0.6953125,0.5547568389203812
v5c0_corrected_v4b_075c,15.0,60.0,0.6953125,0.559150868269382
v4b_legacy_025c,15.0,60.0,0.703125,0.560581286164733
v5c0_corrected_v4b_075c,15.0,60.0,0.703125,0.5645988283538513
v4b_legacy_025c,15.0,60.0,0.7109375,0.5583645312940956
v5c0_corrected_v4b_075c,15.0,60.0,0.7109375,0.56199764203097
v4b_legacy_025c,15.0,60.0,0.71875,0.559610153260635
v5c0_corrected_v4b_075c,15.0,60.0,0.71875,0.5628571473258502
v4b_legacy_025c,15.0,60.0,0.7265625,0.5586404172799224
v5c0_corrected_v4b_075c,15.0,60.0,0.7265625,0.5615056160939861
v4b_legacy_025c,15.0,60.0,0.734375,0.548235086446686
v5c0_corrected_v4b_075c,15.0,60.0,0.734375,0.5507432914514115
v4b_legacy_025c,15.0,60.0,0.7421875,0.5406959140482492
v5c0_corrected_v4b_075c,15.0,60.0,0.7421875,0.5429310552342059
v4b_legacy_025c,15.0,60.0,0.75,0.5237895394668283
v5c0_corrected_v4b_075c,15.0,60.0,0.75,0.5258377583062057
v4b_legacy_025c,15.0,60.0,0.7578125,0.5251898532168566
v5c0_corrected_v4b_075c,15.0,60.0,0.7578125,0.5271243142127255
v4b_legacy_025c,15.0,60.0,0.765625,0.49183724183000477
v5c0_corrected_v4b_075c,15.0,60.0,0.765625,0.49371012831153827
v4b_legacy_025c,15.0,60.0,0.7734375,0.5067231816711754
v5c0_corrected_v4b_075c,15.0,60.0,0.7734375,0.5085607461351657
v4b_legacy_025c,15.0,60.0,0.78125,0.4493038750211502
v5c0_corrected_v4b_075c,15.0,60.0,0.78125,0.45101463425999355
v4b_legacy_025c,15.0,60.0,0.7890625,0.4113021082382187
v5c0_corrected_v4b_075c,15.0,60.0,0.7890625,0.41263701523752744
v4b_legacy_025c,15.0,60.0,0.796875,0.3974835880870384
v5c0_corrected_v4b_075c,15.0,60.0,0.796875,0.3983500374177001
v4b_legacy_025c,15.0,60.0,0.8046875,0.37140578919565737
v5c0_corrected_v4b_075c,15.0,60.0,0.8046875,0.3718410167541878
v4b_legacy_025c,15.0,60.0,0.8125,0.33569416499075955
v5c0_corrected_v4b_075c,15.0,60.0,0.8125,0.3358170191020743
v4b_legacy_025c,15.0,60.0,0.8203125,0.3017644272335847
v5c0_corrected_v4b_075c,15.0,60.0,0.8203125,0.3017427924458642
v4b_legacy_025c,15.0,60.0,0.828125,0.2835327229810837
v5c0_corrected_v4b_075c,15.0,60.0,0.828125,0.2835195003160261
v4b_legacy_025c,15.0,60.0,0.8359375,0.26345992786606437
v5c0_corrected_v4b_075c,15.0,60.0,0.8359375,0.2634680823831738
v4b_legacy_025c,15.0,60.0,0.84375,0.20914181813366142
v5c0_corrected_v4b_075c,15.0,60.0,0.84375,0.20918051919897931
v4b_legacy_025c,15.0,60.0,0.8515625,0.22480515134488363
v5c0_corrected_v4b_075c,15.0,60.0,0.8515625,0.2248833837421548
v4b_legacy_025c,15.0,60.0,0.859375,0.1966376467596057
v5c0_corrected_v4b_075c,15.0,60.0,0.859375,0.1967642413848572
v4b_legacy_025c,15.0,60.0,0.8671875,0.157851318270956
v5c0_corrected_v4b_075c,15.0,60.0,0.8671875,0.15803498087166082
v4b_legacy_025c,15.0,60.0,0.875,0.11549605490804518
v5c0_corrected_v4b_075c,15.0,60.0,0.875,0.11574538793675555
v4b_legacy_025c,15.0,60.0,0.8828125,0.07487775541027425
v5c0_corrected_v4b_075c,15.0,60.0,0.8828125,0.07520126796974994
v4b_legacy_025c,15.0,60.0,0.890625,0.06442303688923524
v5c0_corrected_v4b_075c,15.0,60.0,0.890625,0.06482913789947801
v4b_legacy_025c,15.0,60.0,0.8984375,0.027967865874402163
v5c0_corrected_v4b_075c,15.0,60.0,0.8984375,0.02846483603632647
v4b_legacy_025c,15.0,60.0,0.90625,-0.023232000044597335
v5c0_corrected_v4b_075c,15.0,60.0,0.90625,-0.02263606114275383
v4b_legacy_025c,15.0,60.0,0.9140625,-0.04382380364840338
v5c0_corrected_v4b_075c,15.0,60.0,0.9140625,-0.04312105781755314
v4b_legacy_025c,15.0,60.0,0.921875,-0.08910029119722308
v5c0_corrected_v4b_075c,15.0,60.0,0.921875,-0.08828327040227642
v4b_legacy_025c,15.0,60.0,0.9296875,-0.11696183806989982
v5c0_corrected_v4b_075c,15.0,60.0,0.9296875,-0.11602358096489838
v4b_legacy_025c,15.0,60.0,0.9375,-0.1363894208444552
v5c0_corrected_v4b_075c,15.0,60.0,0.9375,-0.1353236344111087
v4b_legacy_025c,15.0,60.0,0.9453125,-0.14851194255617844
v5c0_corrected_v4b_075c,15.0,60.0,0.9453125,-0.14731318407531963
v4b_legacy_025c,15.0,60.0,0.953125,-0.15662847669054045
v5c0_corrected_v4b_075c,15.0,60.0,0.953125,-0.15529234923629673
v4b_legacy_025c,15.0,60.0,0.9609375,-0.15704093417075501
v5c0_corrected_v4b_075c,15.0,60.0,0.9609375,-0.15556428701676955
v4b_legacy_025c,15.0,60.0,0.96875,-0.15425006007013217
v5c0_corrected_v4b_075c,15.0,60.0,0.96875,-0.15263118402856427
v4b_legacy_025c,15.0,60.0,0.9765625,-0.15191316890282364
v5c0_corrected_v4b_075c,15.0,60.0,0.9765625,-0.1501519758546159
v4b_legacy_025c,15.0,60.0,0.984375,-0.14939163172348485
v5c0_corrected_v4b_075c,15.0,60.0,0.984375,-0.14748980757140165
v4b_legacy_025c,15.0,60.0,0.9921875,-0.13799796399299086
v5c0_corrected_v4b_075c,15.0,60.0,0.9921875,-0.1359590850361653
v4b_legacy_025c,15.0,75.0,0.0,-0.08018510609249642
v5c0_corrected_v4b_075c,15.0,75.0,0.0,-0.07866537980410006
v4b_legacy_025c,15.0,75.0,0.0078125,-0.06551439979731656
v5c0_corrected_v4b_075c,15.0,75.0,0.0078125,-0.06392938178222665
v4b_legacy_025c,15.0,75.0,0.015625,-0.0481941313171067
v5c0_corrected_v4b_075c,15.0,75.0,0.015625,-0.04655235253411127
v4b_legacy_025c,15.0,75.0,0.0234375,-0.02840712198943423
v5c0_corrected_v4b_075c,15.0,75.0,0.0234375,-0.026718369697230147
v4b_legacy_025c,15.0,75.0,0.03125,-0.006393857399856419
v5c0_corrected_v4b_075c,15.0,75.0,0.03125,-0.004636695070841182
v4b_legacy_025c,15.0,75.0,0.0390625,0.017429038137034916
v5c0_corrected_v4b_075c,15.0,75.0,0.0390625,0.019461099978653508
v4b_legacy_025c,15.0,75.0,0.046875,0.04281098919887499
v5c0_corrected_v4b_075c,15.0,75.0,0.046875,0.04532438670122327
v4b_legacy_025c,15.0,75.0,0.0546875,0.069556517056492
v5c0_corrected_v4b_075c,15.0,75.0,0.0546875,0.07268680577317009
v4b_legacy_025c,15.0,75.0,0.0625,0.09748487108595247
v5c0_corrected_v4b_075c,15.0,75.0,0.0625,0.10126918345208417
v4b_legacy_025c,15.0,75.0,0.0703125,0.12641388988173596
v5c0_corrected_v4b_075c,15.0,75.0,0.0703125,0.13078164571117992
v4b_legacy_025c,15.0,75.0,0.078125,0.15614459707053327
v5c0_corrected_v4b_075c,15.0,75.0,0.078125,0.16092740830679528
v4b_legacy_025c,15.0,75.0,0.0859375,0.18632888826995334
v5c0_corrected_v4b_075c,15.0,75.0,0.0859375,0.19140625434011166
v4b_legacy_025c,15.0,75.0,0.09375,0.21656220075365984
v5c0_corrected_v4b_075c,15.0,75.0,0.09375,0.22191766520716458
v4b_legacy_025c,15.0,75.0,0.1015625,0.24655226140829198
v5c0_corrected_v4b_075c,15.0,75.0,0.1015625,0.2521638339876711
v4b_legacy_025c,15.0,75.0,0.109375,0.27601230713513353
v5c0_corrected_v4b_075c,15.0,75.0,0.109375,0.281790880081708
v4b_legacy_025c,15.0,75.0,0.1171875,0.3046637572431613
v5c0_corrected_v4b_075c,15.0,75.0,0.1171875,0.31047048340342187
v4b_legacy_025c,15.0,75.0,0.125,0.33223867664294165
v5c0_corrected_v4b_075c,15.0,75.0,0.125,0.3379592585499312
v4b_legacy_025c,15.0,75.0,0.1328125,0.358482044608644
v5c0_corrected_v4b_075c,15.0,75.0,0.1328125,0.364028716307094
v4b_legacy_025c,15.0,75.0,0.140625,0.38315378335295713
v5c0_corrected_v4b_075c,15.0,75.0,0.140625,0.388464085995762
v4b_legacy_025c,15.0,75.0,0.1484375,0.40603052117991467
v5c0_corrected_v4b_075c,15.0,75.0,0.1484375,0.41106402363088057
v4b_legacy_025c,15.0,75.0,0.15625,0.4269074165323701
v5c0_corrected_v4b_075c,15.0,75.0,0.15625,0.4316414871040578
v4b_legacy_025c,15.0,75.0,0.1640625,0.44084284813182506
v5c0_corrected_v4b_075c,15.0,75.0,0.1640625,0.44526837465386765
v4b_legacy_025c,15.0,75.0,0.171875,0.45376064827083096
v5c0_corrected_v4b_075c,15.0,75.0,0.171875,0.4578783116278778
v4b_legacy_025c,15.0,75.0,0.1796875,0.46781160815570433
v5c0_corrected_v4b_075c,15.0,75.0,0.1796875,0.4716290115030118
v4b_legacy_025c,15.0,75.0,0.1875,0.48132921397538386
v5c0_corrected_v4b_075c,15.0,75.0,0.1875,0.4848589094018103
v4b_legacy_025c,15.0,75.0,0.1953125,0.49345914673676666
v5c0_corrected_v4b_075c,15.0,75.0,0.1953125,0.49671741392146046
v4b_legacy_025c,15.0,75.0,0.203125,0.5037687303363869
v5c0_corrected_v4b_075c,15.0,75.0,0.203125,0.5067748573471791
v4b_legacy_025c,15.0,75.0,0.2109375,0.5115209377446673
v5c0_corrected_v4b_075c,15.0,75.0,0.2109375,0.5142967258896937
v4b_legacy_025c,15.0,75.0,0.21875,0.5166060976494594
v5c0_corrected_v4b_075c,15.0,75.0,0.21875,0.5191753434360125
v4b_legacy_025c,15.0,75.0,0.2265625,0.5218362576548289
v5c0_corrected_v4b_075c,15.0,75.0,0.2265625,0.5242240344338647
v4b_legacy_025c,15.0,75.0,0.234375,0.5184697601637711
v5c0_corrected_v4b_075c,15.0,75.0,0.234375,0.5207014094110457
v4b_legacy_025c,15.0,75.0,0.2421875,0.5188359105069457
v5c0_corrected_v4b_075c,15.0,75.0,0.2421875,0.5209049262080675
v4b_legacy_025c,15.0,75.0,0.25,0.5096724054595397
v5c0_corrected_v4b_075c,15.0,75.0,0.25,0.51146067208634
v4b_legacy_025c,15.0,75.0,0.2578125,0.5055266290487906
v5c0_corrected_v4b_075c,15.0,75.0,0.2578125,0.5069451524421719
v4b_legacy_025c,15.0,75.0,0.265625,0.4852924612274777
v5c0_corrected_v4b_075c,15.0,75.0,0.265625,0.48630327814358115
v4b_legacy_025c,15.0,75.0,0.2734375,0.46971193280696744
v5c0_corrected_v4b_075c,15.0,75.0,0.2734375,0.4703292418528939
v4b_legacy_025c,15.0,75.0,0.28125,0.44856264895696174
v5c0_corrected_v4b_075c,15.0,75.0,0.28125,0.44884788117646085
v4b_legacy_025c,15.0,75.0,0.2890625,0.42534749398753136
v5c0_corrected_v4b_075c,15.0,75.0,0.2890625,0.4253990950406112
v4b_legacy_025c,15.0,75.0,0.296875,0.40431842610574403
v5c0_corrected_v4b_075c,15.0,75.0,0.296875,0.40425758993966565
v4b_legacy_025c,15.0,75.0,0.3046875,0.3824673927774473
v5c0_corrected_v4b_075c,15.0,75.0,0.3046875,0.3824213548751048
v4b_legacy_025c,15.0,75.0,0.3125,0.352704077662191
v5c0_corrected_v4b_075c,15.0,75.0,0.3125,0.35273409892713403
v4b_legacy_025c,15.0,75.0,0.3203125,0.33229159373906
v5c0_corrected_v4b_075c,15.0,75.0,0.3203125,0.3323542779859303
v4b_legacy_025c,15.0,75.0,0.328125,0.30064566243158425
v5c0_corrected_v4b_075c,15.0,75.0,0.328125,0.300735098817656
v4b_legacy_025c,15.0,75.0,0.3359375,0.2725476283446345
v5c0_corrected_v4b_075c,15.0,75.0,0.3359375,0.27266750194910944
v4b_legacy_025c,15.0,75.0,0.34375,0.2452343804299625
v5c0_corrected_v4b_075c,15.0,75.0,0.34375,0.24538825777466106
v4b_legacy_025c,15.0,75.0,0.3515625,0.22219943530866051
v5c0_corrected_v4b_075c,15.0,75.0,0.3515625,0.2223908390865821
v4b_legacy_025c,15.0,75.0,0.359375,0.18775711166882655
v5c0_corrected_v4b_075c,15.0,75.0,0.359375,0.18798958999266166
v4b_legacy_025c,15.0,75.0,0.3671875,0.13443707951338457
v5c0_corrected_v4b_075c,15.0,75.0,0.3671875,0.13471426482293863
v4b_legacy_025c,15.0,75.0,0.375,0.0864672021513425
v5c0_corrected_v4b_075c,15.0,75.0,0.375,0.08679285498073004
v4b_legacy_025c,15.0,75.0,0.3828125,0.055301168437118096
v5c0_corrected_v4b_075c,15.0,75.0,0.3828125,0.05567920152295934
v4b_legacy_025c,15.0,75.0,0.390625,0.027147181216589787
v5c0_corrected_v4b_075c,15.0,75.0,0.390625,0.02758165995932584
v4b_legacy_025c,15.0,75.0,0.3984375,0.0014617989320028471
v5c0_corrected_v4b_075c,15.0,75.0,0.3984375,0.001956915028807757
v4b_legacy_025c,15.0,75.0,0.40625,-0.02188601423563694
v5c0_corrected_v4b_075c,15.0,75.0,0.40625,-0.021325998073712268
v4b_legacy_025c,15.0,75.0,0.4140625,-0.04282191936660948
v5c0_corrected_v4b_075c,15.0,75.0,0.4140625,-0.042192754325537214
v4b_legacy_025c,15.0,75.0,0.421875,-0.06108200202440164
v5c0_corrected_v4b_075c,15.0,75.0,0.421875,-0.0603795668151052
v4b_legacy_025c,15.0,75.0,0.4296875,-0.07652841019371212
v5c0_corrected_v4b_075c,15.0,75.0,0.4296875,-0.07574885067856608
v4b_legacy_025c,15.0,75.0,0.4375,-0.08913037025013683
v5c0_corrected_v4b_075c,15.0,75.0,0.4375,-0.08827026045630713
v4b_legacy_025c,15.0,75.0,0.4453125,-0.0987819997404727
v5c0_corrected_v4b_075c,15.0,75.0,0.4453125,-0.09783851780029917
v4b_legacy_025c,15.0,75.0,0.453125,-0.10538902177181042
v5c0_corrected_v4b_075c,15.0,75.0,0.453125,-0.10436013268392966
v4b_legacy_025c,15.0,75.0,0.4609375,-0.10890213870837517
v5c0_corrected_v4b_075c,15.0,75.0,0.4609375,-0.1077867745361097
v4b_legacy_025c,15.0,75.0,0.46875,-0.10929601435455609
v5c0_corrected_v4b_075c,15.0,75.0,0.46875,-0.1080942417297427
v4b_legacy_025c,15.0,75.0,0.4765625,-0.10657319222245676
v5c0_corrected_v4b_075c,15.0,75.0,0.4765625,-0.10528635693124239
v4b_legacy_025c,15.0,75.0,0.484375,-0.10076161309552291
v5c0_corrected_v4b_075c,15.0,75.0,0.484375,-0.09939245216118495
v4b_legacy_025c,15.0,75.0,0.4921875,-0.09192078093718364
v5c0_corrected_v4b_075c,15.0,75.0,0.4921875,-0.09047349398499724
v4b_legacy_025c,15.0,75.0,0.5,-0.08014677689087511
