aoa_deg,model,phase,lift_n,drag_n,CL,CD,CT
0.0,fluxv_periodic_v3_persistent,0.0,-0.5773074677835255,-0.11755160422531506,-0.9548239844671936,-0.19442168582688985,0.19442168582688985
0.0,fluxv_periodic_v3_persistent,0.0078125,-0.5724705088358608,-0.1182904649711659,-0.9468240110165727,-0.19564370702129474,0.19564370702129474
0.0,fluxv_periodic_v3_persistent,0.015625,-0.566138179434559,-0.11863973699150877,-0.936350805095431,-0.1962213771896837,0.1962213771896837
0.0,fluxv_periodic_v3_persistent,0.0234375,-0.5583217356489828,-0.11859442963088633,-0.9234229834125384,-0.19614644215591165,0.19614644215591165
0.0,fluxv_periodic_v3_persistent,0.03125,-0.5490347468388413,-0.11814976515518971,-0.9080629886883291,-0.19541099990004449,0.19541099990004449
0.0,fluxv_periodic_v3_persistent,0.0390625,-0.5380582814579754,-0.11723264331540999,-0.8899087242881767,-0.1938941480002026,0.1938941480002026
0.0,fluxv_periodic_v3_persistent,0.046875,-0.5253605154134219,-0.11581342956713657,-0.8689075555088408,-0.1915468731050073,0.1915468731050073
0.0,fluxv_periodic_v3_persistent,0.0546875,-0.5112972561024416,-0.11398021615172998,-0.8456479615502526,-0.1885148732862667,0.1885148732862667
0.0,fluxv_periodic_v3_persistent,0.0625,-0.49590543792638064,-0.1117319397751111,-0.8201910291889136,-0.184796389933975,0.184796389933975
0.0,fluxv_periodic_v3_persistent,0.0703125,-0.47922480048631605,-0.10906824084712935,-0.7926024847948415,-0.18039082831253725,0.18039082831253725
0.0,fluxv_periodic_v3_persistent,0.078125,-0.4609228370138308,-0.10585452214523905,-0.762332386690162,-0.17507557454026793,0.17507557454026793
0.0,fluxv_periodic_v3_persistent,0.0859375,-0.44143367198903183,-0.10221435956015622,-0.7300987447551941,-0.16905501402865422,0.16905501402865422
0.0,fluxv_periodic_v3_persistent,0.09375,-0.42089061781539344,-0.09818058313628472,-0.6961220478756139,-0.16238344525044637,0.16238344525044637
0.0,fluxv_periodic_v3_persistent,0.1015625,-0.39936285949963185,-0.09376515001006078,-0.6605167229512361,-0.15508064442766115,0.15508064442766115
0.0,fluxv_periodic_v3_persistent,0.109375,-0.3768385898367213,-0.0889452207781217,-0.6232632417355415,-0.14710883687117954,0.14710883687117954
0.0,fluxv_periodic_v3_persistent,0.1171875,-0.35334342091383103,-0.08370484811176226,-0.5844039647322238,-0.13844164687518504,0.13844164687518504
0.0,fluxv_periodic_v3_persistent,0.125,-0.3292230321644277,-0.07817732337027287,-0.544510620235875,-0.1292995285198255,0.1292995285198255
0.0,fluxv_periodic_v3_persistent,0.1328125,-0.3045761212271583,-0.07239805151825089,-0.5037464468634356,-0.1197410390059918,0.1197410390059918
0.0,fluxv_periodic_v3_persistent,0.140625,-0.27950370312309747,-0.0664053946802492,-0.4622785160115113,-0.10982962645909759,0.10982962645909759
0.0,fluxv_periodic_v3_persistent,0.1484375,-0.2540833636509142,-0.06022388592635661,-0.42023514887038155,-0.09960586676814598,0.09960586676814598
0.0,fluxv_periodic_v3_persistent,0.15625,-0.2285555614600685,-0.05397395206180024,-0.37801404631625096,-0.08926893698942044,0.08926893698942044
0.0,fluxv_periodic_v3_persistent,0.1640625,-0.20305504578281655,-0.047732057936762606,-0.335838073643658,-0.07894530434705593,0.07894530434705593
0.0,fluxv_periodic_v3_persistent,0.171875,-0.17768277104691624,-0.04155928327240671,-0.2938742020323301,-0.06873599019619776,0.06873599019619776
