gate,model,channel,units,mae,rmse,bias,max_abs_error,range_nrmse,prediction_half_amplitude,reference_half_amplitude,half_amplitude_error,positive_peak_phase_error_cycle,negative_peak_phase_error_cycle,observation_count
yang2025_experiment,fluxv_periodic_v3_persistent,lift,gf,3.579140887281918,3.994509560495535,-1.5500386666077184,6.254446888733906,0.09225195289828027,25.144701505231755,21.65,3.494701505231756,,,
yang2025_experiment,fluxv_periodic_v3_persistent,drag,gf,3.8910606280721987,4.247283825094796,-3.647627358235656,5.941994699500527,0.15008070053338504,17.486147254505077,14.15,3.336147254505077,,,
izraelevitz2017_fig11_numerical,fluxv_periodic_v3_persistent,lift,paper_scaled_coefficient,0.11508190349543071,0.15462413244751905,-0.0024957016177840604,0.33170303509569976,0.013594006033799615,5.838721955715249,5.687217295,0.15150466071524882,0.015625,0.0078125,
izraelevitz2017_fig11_numerical,fluxv_periodic_v3_persistent,drag,paper_scaled_coefficient,0.2520183180377571,0.3142000340902896,-0.2178361784371527,0.5780507289832031,0.08820150024399548,1.7171179674594812,1.781149035,-0.0640310675405189,0.0078125,0.015625,
izraelevitz2017_fig14_scherer_experiment,fluxv_periodic_v3_persistent,mean_CT,coefficient,0.033951069917194224,0.0471854978167865,0.01634010064380129,0.11796963878143447,,,,,,,14
izraelevitz2017_fig14_scherer_experiment,fluxv_periodic_v3_mean_passthrough,mean_CT,coefficient,0.03494645023827676,0.052043586911637955,0.028297514526308555,0.1297709521489841,,,,,,,14
